treatment,feature,beta,p
treatment_gilteritinib,tp53_mutation,0.09498652182117563,0.39012258827767654
treatment_ivosidenib,ldh_u_l,0.0004421534714486863,0.3909410202557507
treatment_gilteritinib,idh2_mutation,-0.09540980843930949,0.39256849468507693
treatment_venetoclax_azacitidine,nlr,0.00933171467557413,0.39804256411011285
treatment_7plus3,albumin_g_dl,0.03695056871168687,0.4214323297838727
treatment_gilteritinib,idh1_mutation,0.09701459475761592,0.4231229268867076
treatment_ivosidenib,flt3_itd,-0.08644167531508709,0.4255612887424769
treatment_ivosidenib,ecog_ps,-0.051697679469097126,0.4288252871677194
treatment_venetoclax_azacitidine,flt3_itd,0.045435355829621396,0.42949087711767586
treatment_midostaurin,nlr,-0.012113910059555854,0.43068824176640474
treatment_7plus3,sex_female,-0.03477417213865411,0.4522659677561207
treatment_gilteritinib,secondary_aml,0.05599601179315526,0.45271966570089417
treatment_enasidenib,complex_karyotype,-0.09376405347471578,0.4642994382388773
treatment_ivosidenib,nlr,0.014383773577324331,0.4781146690618485
treatment_ivosidenib,sex_female,0.05966260654749062,0.4839445155283446
treatment_venetoclax_azacitidine,age_years,-0.0014402533390002576,0.4973923262047799
treatment_midostaurin,ecog_ps,-0.033480390812757645,0.4987100219493781
treatment_7plus3,ldh_u_l,0.00018863925241086458,0.508690175741124
treatment_gilteritinib,ecog_ps,0.032514869862224675,0.5094264482567363
treatment_venetoclax_azacitidine,albumin_g_dl,0.030290044687346026,0.5113752363276509
treatment_venetoclax_azacitidine,ldh_u_l,0.00018684174155814156,0.5130376885353811
treatment_venetoclax_azacitidine,crp_mg_l,-0.0018716351596512223,0.513091882357925
treatment_midostaurin,complex_karyotype,0.05970659082091503,0.5202265952309943
treatment_ivosidenib,complex_karyotype,-0.07754484067806397,0.535427411642823
treatment_ivosidenib,secondary_aml,-0.061408731451245785,0.5378357239254172
treatment_enasidenib,ecog_ps,-0.038363177588673414,0.5525071158037418
treatment_7plus3,unfit_for_intensive,-0.027282590002770155,0.5558701387691758
treatment_gilteritinib,albumin_g_dl,0.037572027860787505,0.5596716449133687
treatment_enasidenib,npm1_mutation,0.05118793081527901,0.5641774901631598
treatment_7plus3,age_years,0.0012205988674927602,0.5641919118323664
treatment_gilteritinib,ldh_u_l,-0.00022847111910732158,0.5683287792795384
treatment_7plus3,flt3_itd,0.032732486905003806,0.5683450564764809
treatment_ivosidenib,hemoglobin_g_dl,-0.013470591425298271,0.5686481046424976
treatment_midostaurin,wbc_k_per_ul,0.0007224040077854879,0.5714298079218539
treatment_enasidenib,idh1_mutation,0.09097065091830307,0.5716539685716484
treatment_7plus3,tp53_mutation,-0.04541194035845074,0.5721722673557641
treatment_midostaurin,unfit_for_intensive,0.035986696100214884,0.5776888344536764
treatment_7plus3,idh2_mutation,-0.042734623529002334,0.5860580862581998
treatment_gilteritinib,nlr,-0.008455566999599299,0.5876287649640913
treatment_midostaurin,idh2_mutation,-0.05501189920160008,0.6121854795248682
treatment_gilteritinib,age_years,-0.0014906507270523095,0.6145795563908636
treatment_gilteritinib,crp_mg_l,-0.0018671476178597777,0.6441753905144059
treatment_venetoclax_azacitidine,flt3_tkd,-0.04662078480054777,0.647215090896096
treatment_midostaurin,hemoglobin_g_dl,-0.00817095087064933,0.6484388476696029
treatment_gilteritinib,wbc_k_per_ul,0.0005774371223802397,0.6579780942577595
treatment_7plus3,ecog_ps,-0.015293261120971813,0.6634755731104403
treatment_ivosidenib,age_years,-0.0016005711780262301,0.6873129948150153
treatment_enasidenib,blast_pct_marrow,0.0008689847251426627,0.695118957981142
treatment_gilteritinib,npm1_mutation,-0.02622644697921308,0.6996418183772735
treatment_midostaurin,age_years,0.0011127646265545914,0.703514564402896
treatment_venetoclax_azacitidine,idh1_mutation,-0.03198706446050086,0.7179311884920516
treatment_7plus3,wbc_k_per_ul,0.0003419406987529606,0.7194067355153733
treatment_7plus3,crp_mg_l,-0.0009911240063833638,0.7271228454254115
treatment_venetoclax_azacitidine,hemoglobin_g_dl,0.0043800863253179055,0.7335847790272956
treatment_midostaurin,tp53_mutation,0.03701406004524898,0.7394463131544255
treatment_midostaurin,crp_mg_l,0.0011155965882303457,0.7676927533174152
treatment_enasidenib,idh2_mutation,0.03939309403314767,0.7881346577585762
treatment_midostaurin,ldh_u_l,0.00010522200606691005,0.7904227668347428
treatment_venetoclax_azacitidine,secondary_aml,0.01327347684057099,0.8040839808838569
treatment_midostaurin,sex_female,0.015960451025367323,0.8045415051856737
treatment_ivosidenib,flt3_tkd,0.04837400322806911,0.8056860077976912
treatment_venetoclax_azacitidine,sex_female,0.011334831081454128,0.8069283601338237
treatment_7plus3,blast_pct_marrow,-0.0002546329007146639,0.8323640084036918
treatment_gilteritinib,blast_pct_marrow,-0.0003275851995305725,0.8479126065578304
treatment_midostaurin,flt3_tkd,-0.02285813910643293,0.869951433542969
treatment_7plus3,flt3_tkd,0.015449307464443363,0.878652608048778
treatment_midostaurin,idh1_mutation,0.018542449006983194,0.8809555460697198
treatment_midostaurin,blast_pct_marrow,0.00023262445476887733,0.8901127669265404
treatment_venetoclax_azacitidine,idh2_mutation,0.010699348703506865,0.8916233095225583
treatment_ivosidenib,idh2_mutation,-0.01874841736806029,0.9017189992207992
treatment_ivosidenib,albumin_g_dl,-0.01023461245318654,0.9041716171885233
treatment_enasidenib,albumin_g_dl,0.009670590006666958,0.9100642317694234
treatment_enasidenib,flt3_itd,0.01061062307175348,0.9201032886426261
treatment_midostaurin,albumin_g_dl,-0.005698119018982004,0.929232463798193
treatment_midostaurin,npm1_mutation,0.0055246666054450146,0.9345278946705993
treatment_gilteritinib,hemoglobin_g_dl,0.0009372379588392731,0.9587455028375976
treatment_enasidenib,ldh_u_l,-1.4568964300582166e-05,0.9776815420690976
treatment_ivosidenib,tp53_mutation,-0.0009148828438851729,0.9950182661042479
