,coef,se,t,p,abs_t
feature_005,-0.0005100220973411722,0.001271806664487891,-0.40102172097560046,0.688405849775333,0.40102172097560046
feature_087,-0.003026765704432909,0.007682328785663264,-0.3939906490440046,0.6935896272484987,0.3939906490440046
feature_069,0.0031832587002263695,0.008302454603593693,0.3834117561869601,0.7014161219965325,0.3834117561869601
ins_medicare,0.00445556292548796,0.011736274631601484,0.37964030881577726,0.7042140511769553,0.37964030881577726
feature_029,-0.005185657562385702,0.014119501797248768,-0.3672691598365138,0.7134198141160478,0.3672691598365138
feature_034,0.005185947369731359,0.014214987033034317,0.364822518492609,0.7152454413028686,0.364822518492609
feature_103,-0.0025784001391699306,0.007630961523305757,-0.33788666491047376,0.7354500189906424,0.33788666491047376
feature_079,0.006473099904419351,0.019308277028448964,0.3352500015864614,0.7374379162195114,0.3352500015864614
feature_032,0.0035007828579601084,0.010680695345225734,0.32776731708998297,0.7430889762272904,0.32776731708998297
feature_106,-0.0027159504743201933,0.008514379496173634,-0.31898395831906984,0.7497400129751174,0.31898395831906984
feature_011,-0.0024602475595876597,0.0077980397829890274,-0.31549564096281574,0.7523866801089473,0.31549564096281574
race_black,-0.005502981437953991,0.01904167249737628,-0.28899674851104795,0.7725850667696165,0.28899674851104795
feature_044,-8.492032046570464e-05,0.0003137559437515281,-0.2706572485936884,0.7866557803868403,0.2706572485936884
feature_025,0.003115234106252241,0.01171656345869666,0.2658829201270572,0.7903304784446524,0.2658829201270572
feature_035,0.002501797813532883,0.00954417671272382,0.2621281949020926,0.7932236926158689,0.2621281949020926
ins_uninsured,0.005661695267100853,0.02166652869037282,0.2613106763898242,0.7938540128272407,0.2613106763898242
feature_084,-0.002916636185112148,0.012090727252257046,-0.24122917705944302,0.8093784900224558,0.24122917705944302
feature_015,-0.0028729997511323865,0.012727731061126192,-0.2257275658430022,0.8214142417369694,0.2257275658430022
feature_118,0.0001713610961902814,0.0007698799093899027,0.22258159240196024,0.8238620755547337,0.22258159240196024
feature_102,0.0017048936936702964,0.008014344727571055,0.21273026699302047,0.8315382267343931,0.21273026699302047
feature_023,-0.002391459036353585,0.01181257131637661,-0.20245033636648904,0.8395655059578686,0.20245033636648904
feature_002,0.0027736988684146416,0.014092248237334156,0.19682444005395586,0.8439657267249367,0.19682444005395586
feature_051,0.0015856518750865332,0.009266218417222704,0.1711217892446128,0.8641286973469477,0.1711217892446128
feature_111,0.00213769094708965,0.012749889550226918,0.1676634874889253,0.8668487019737655,0.1676634874889253
feature_058,-0.004403514852263212,0.02793546823806908,-0.1576316822304886,0.8747476749225458,0.1576316822304886
race_white,-0.002475132081826587,0.016264273708913216,-0.15218214634878868,0.8790438905975794,0.15218214634878868
feature_105,-0.0015811606001593075,0.015896643214100933,-0.09946506182869835,0.9207694266395609,0.09946506182869835
feature_093,0.0011687619223959222,0.011756058974928102,0.09941783423241718,0.9208069227656942,0.09941783423241718
feature_037,0.00043555358132672936,0.007805470805487378,0.05580106468664617,0.9555005102657204,0.05580106468664617
feature_055,8.869989125057109e-05,0.0018392025381051154,0.048227364530475464,0.9615352349006333,0.048227364530475464
feature_115,-0.000475938038970709,0.009940988125827067,-0.04787633109974287,0.9618149944774892,0.04787633109974287
feature_053,-0.0004396047812487598,0.010750851337061015,-0.04089022975634742,0.9673835701164893,0.04089022975634742
feature_028,0.000420462224263448,0.012833960640172764,0.03276168877652004,0.9738647608127999,0.03276168877652004
feature_065,1.551625919176357e-05,0.0007670972584494464,0.02022723849010618,0.9838621800606743,0.02022723849010618
feature_040,8.050852113297962e-05,0.011785475446693651,0.006831164469954908,0.9945495890462955,0.006831164469954908
