feature,rate,mean_pos,mean_neg,diff,p
feature_034,0.07848,3.710271007681498,3.7470130002279203,-0.036741992546422075,0.2790784388870249
feature_102,0.35022,3.731780546126772,3.7507853516395686,-0.019004805512796707,0.3163398326884282
feature_069,0.30478,3.7312190837622823,3.7497893275564693,-0.018570243794187036,0.34713108640597257
feature_083,0.3003,3.7571055678369767,3.7385603639151532,0.01854520392182346,0.3482115746226729
feature_106,0.28004,3.7575497811463463,3.7389094504425997,0.0186403307037466,0.35468542673681713
feature_107,0.17156,3.725982658482112,3.747887479797795,-0.02190482131568272,0.3604477394936153
feature_017,0.37852,3.7546526319631863,3.737720239431955,0.016932392531231244,0.3645269476481187
feature_066,0.30374,3.732147516885388,3.7493565648954545,-0.017209048010066397,0.3809926324612431
feature_053,0.14854,3.762742253883932,3.7408824304852337,0.021859823398698186,0.39171008331497975
feature_021,0.06064,3.714814548686461,3.746021902593819,-0.03120735390735785,0.41302848885139387
feature_068,0.04022,3.7095813574791,3.7455772431755894,-0.03599588569648926,0.4261348467799313
feature_100,0.00522,3.6485917626568085,3.744630812493022,-0.09603904983621359,0.44034548677070356
feature_025,0.12114,3.762188679665925,3.741640252142715,0.020548427523209956,0.45737642265510736
feature_042,0.19884,3.756278298600931,3.7411142740015317,0.015164024599399362,0.5044032799416598
feature_113,0.0204,3.701774872662247,3.7450115161806523,-0.043236643518405504,0.5081437469448142
feature_048,0.09824,3.726286223775768,3.7460733787583673,-0.019787154982599198,0.5136569893753067
feature_036,0.03056,3.7781049535272238,3.743058468056904,0.035046485470319855,0.5150508959684567
feature_088,0.42294,3.737438608074847,3.7490333825836157,-0.01159477450876878,0.5265407298740665
feature_052,0.02006,3.705593756682085,3.744918339790022,-0.03932458310793718,0.5296345647871189
feature_079,0.04086,3.7175680033209013,3.7452610255407808,-0.02769302221987946,0.5434217372526351
feature_076,0.20054,3.7550200723266776,3.7413976475977346,0.013622424728942928,0.5474131379254585
feature_047,0.39958,3.7507789878659934,3.7397042414999224,0.011074746366070976,0.5493145928869954
feature_022,0.04986,3.721723295627088,3.74530528672923,-0.023581991102141764,0.5730235756621893
feature_035,0.20076,3.7340850920293533,3.7466525268718582,-0.012567434842504888,0.5796698157999965
feature_074,0.44906,3.7387609462471443,3.7485052784897346,-0.009744332242590303,0.5924244655893314
feature_029,0.07964,3.760013895356657,3.7427549893809737,0.01725890597568336,0.6041161781910757
feature_080,0.01022,3.790992777260596,3.74364560050645,0.047347176754146236,0.6138141769301894
feature_121,0.05072,3.7637632819494193,3.7430804557058006,0.020682826243618724,0.6205510662104471
feature_081,0.20112,3.7529745066583438,3.7419027336693254,0.011071772989018402,0.6235063050305542
feature_110,0.22202,3.7523830666008875,3.7417740818609055,0.010608984739981953,0.6255102585799355
feature_114,0.08034,3.7308936917126645,3.7452857463200324,-0.014392054607367921,0.6632363516445257
feature_012,0.44742,3.7484342621062274,3.7406439449515156,0.00779031715471179,0.6686298820000135
feature_037,0.39948,3.748567201641493,3.741177417806457,0.007389783835035857,0.6894444034561088
feature_041,0.03022,3.7633009288507826,3.7435320738549014,0.019768854995881213,0.70440545539208
feature_061,0.3012,3.7491869615103415,3.7419495933685774,0.007237368141764122,0.7123679152776637
feature_072,0.00976,3.7116652545002697,3.7444494625231806,-0.03278420802291082,0.7217503596701003
feature_112,0.3977,3.748054514168271,3.741537785768148,0.006516728400122851,0.7247577600497979
feature_063,0.29982,3.7401898889654306,3.745816441691082,-0.005626552725651379,0.7757184484522537
feature_046,0.29812,3.7478908059083964,3.7425318880655754,0.005358917842821054,0.7872359995905126
feature_108,0.44844,3.745817216623887,3.7427572993510423,0.0030599172728447144,0.8664585672973378
feature_024,0.15008,3.740667185986576,3.744740866646287,-0.00407368065971081,0.8723124127178055
feature_058,0.0191,3.7512894440911726,3.7439900706195695,0.007299373471603143,0.9131748537652414
feature_049,0.18054,3.7461622468826534,3.743681639861229,0.002480607021424497,0.9154861435285394
feature_015,0.10024,3.741281690428439,3.744446754694952,-0.0031650642665126405,0.9164393175634732
feature_002,0.07996,3.7416164317283798,3.744347896582622,-0.0027314648542420272,0.9348606546514436
feature_040,0.11946,3.742300447265959,3.744377628753362,-0.0020771814874027683,0.9405239586697174
feature_091,0.14784,3.742696213808507,3.744378145422722,-0.0016819316142151486,0.9478790851152062
feature_004,0.0184,3.7476019371290596,3.7440643979316444,0.0035375391974152848,0.9583317015810846
feature_095,0.4802,3.743666128756715,3.7445575483337863,-0.0008914195770715061,0.9607827740917367
feature_093,0.12016,3.745260325103631,3.743975049995936,0.0012852751076950497,0.9629450942991952
feature_085,0.17992,3.7442404379207423,3.7441051471346416,0.00013529078610075018,0.9953705778234199
feature_001,0.0292,3.7439263244013277,3.7441355994853303,-0.00020927508400259143,0.9967641487606065
