feature,n1,n0,mean_1,mean_0,diff_1_minus_0,t,p
feature_116,2541,47459,3.796353555475024,3.7413333624429885,0.055020193032035536,1.339511318022625,0.18051216543794643
feature_077,27469,22531,3.7331844749084477,3.7574732631211964,-0.024288788212748713,-1.334897173194961,0.18191631517390416
feature_097,11006,38994,3.7217853216758274,3.7504360974067725,-0.0286507757309451,-1.3107914276017483,0.18994525224285164
feature_030,12567,37433,3.7251323222224495,3.7505072139362152,-0.025374891713765724,-1.2164053309672265,0.22384382870243524
feature_086,5982,44018,3.7734936513109467,3.7401389297674084,0.03335472154353836,1.1985184713180894,0.23075207379461188
feature_119,1443,48557,3.68479124483118,3.745892881898644,-0.061101637067463965,-1.1371927938599564,0.25563573907128373
feature_027,29962,20038,3.7522147012486817,3.7320400016883344,0.020174699560347342,1.0958423259198038,0.2731538499996449
feature_087,22548,27452,3.7332789566398468,3.7530416916191376,-0.01976273497929082,-1.0856457914872641,0.27764117612917444
feature_034,3924,46076,3.710271007681498,3.7470130002279203,-0.036741992546422075,-1.0825195369359335,0.2790784388870249
feature_102,17511,32489,3.731780546126772,3.7507853516395686,-0.019004805512796707,-1.0020217521270876,0.3163398326884282
feature_069,15239,34761,3.7312190837622823,3.7497893275564693,-0.018570243794187036,-0.9401839700144504,0.34713108640597257
feature_083,15015,34985,3.7571055678369767,3.7385603639151532,0.01854520392182346,0.9380794349258759,0.3482115746226729
feature_106,14002,35998,3.7575497811463463,3.7389094504425997,0.0186403307037466,0.9255561404222487,0.35468542673681713
feature_107,8578,41422,3.725982658482112,3.747887479797795,-0.02190482131568272,-0.9145460571245857,0.3604477394936153
feature_017,18926,31074,3.7546526319631863,3.737720239431955,0.016932392531231244,0.9067831573627482,0.3645269476481187
feature_066,15187,34813,3.732147516885388,3.7493565648954545,-0.017209048010066397,-0.8760821092908367,0.3809926324612431
feature_053,7427,42573,3.762742253883932,3.7408824304852337,0.021859823398698186,0.85655674121153,0.39171008331497975
feature_021,3032,46968,3.714814548686461,3.746021902593819,-0.03120735390735785,-0.8186754453881709,0.41302848885139387
feature_068,2011,47989,3.7095813574791,3.7455772431755894,-0.03599588569648926,-0.7959715915271408,0.4261348467799313
feature_100,261,49739,3.6485917626568085,3.744630812493022,-0.09603904983621359,-0.7727826654871818,0.44034548677070356
feature_025,6057,43943,3.762188679665925,3.741640252142715,0.020548427523209956,0.7432106624103212,0.45737642265510736
feature_042,9942,40058,3.756278298600931,3.7411142740015317,0.015164024599399362,0.6675934082244208,0.5044032799416598
feature_113,1020,48980,3.701774872662247,3.7450115161806523,-0.043236643518405504,-0.6619552676947001,0.5081437469448142
feature_048,4912,45088,3.726286223775768,3.7460733787583673,-0.019787154982599198,-0.653192563137989,0.5136569893753067
feature_036,1528,48472,3.7781049535272238,3.743058468056904,0.035046485470319855,0.6511362308320907,0.5150508959684567
feature_088,21147,28853,3.737438608074847,3.7490333825836157,-0.01159477450876878,-0.6333002890871061,0.5265407298740665
feature_052,1003,48997,3.705593756682085,3.744918339790022,-0.03932458310793718,-0.6287735325799573,0.5296345647871189
feature_079,2043,47957,3.7175680033209013,3.7452610255407808,-0.02769302221987946,-0.6077404892648964,0.5434217372526351
feature_076,10027,39973,3.7550200723266776,3.7413976475977346,0.013622424728942928,0.6016542739227694,0.5474131379254585
feature_047,19979,30021,3.7507789878659934,3.7397042414999224,0.011074746366070976,0.5987922673763355,0.5493145928869954
feature_022,2493,47507,3.721723295627088,3.74530528672923,-0.023581991102141764,-0.5636714859342008,0.5730235756621893
feature_035,10038,39962,3.7340850920293533,3.7466525268718582,-0.012567434842504888,-0.5538788323890101,0.5796698157999965
feature_074,22453,27547,3.7387609462471443,3.7485052784897346,-0.009744332242590303,-0.5353295643447772,0.5924244655893314
feature_029,3982,46018,3.760013895356657,3.7427549893809737,0.01725890597568336,0.5185253239121024,0.6041161781910757
feature_080,511,49489,3.790992777260596,3.74364560050645,0.047347176754146236,0.5049411819091703,0.6138141769301894
feature_121,2536,47464,3.7637632819494193,3.7430804557058006,0.020682826243618724,0.49512443537122003,0.6205510662104471
feature_081,10056,39944,3.7529745066583438,3.7419027336693254,0.011071772989018402,0.4908968956498574,0.6235063050305542
feature_110,11101,38899,3.7523830666008875,3.7417740818609055,0.010608984739981953,0.4880642838993275,0.6255102585799355
feature_114,4017,45983,3.7308936917126645,3.7452857463200324,-0.014392054607367921,-0.43547648312915815,0.6632363516445257
feature_012,22371,27629,3.7484342621062274,3.7406439449515156,0.00779031715471179,0.4280318110574551,0.6686298820000135
feature_037,19974,30026,3.748567201641493,3.741177417806457,0.007389783835035857,0.39961187678082055,0.6894444034561088
feature_041,1511,48489,3.7633009288507826,3.7435320738549014,0.019768854995881213,0.3794477807170819,0.70440545539208
feature_061,15060,34940,3.7491869615103415,3.7419495933685774,0.007237368141764122,0.36868139790308724,0.7123679152776637
feature_072,488,49512,3.7116652545002697,3.7444494625231806,-0.03278420802291082,-0.3563225188616783,0.7217503596701003
feature_112,19885,30115,3.748054514168271,3.741537785768148,0.006516728400122851,0.3521096722464698,0.7247577600497979
feature_063,14991,35009,3.7401898889654306,3.745816441691082,-0.005626552725651379,-0.2849057234293722,0.7757184484522537
feature_046,14906,35094,3.7478908059083964,3.7425318880655754,0.005358917842821054,0.26990413678090486,0.7872359995905126
feature_108,22422,27578,3.745817216623887,3.7427572993510423,0.0030599172728447144,0.16815942618135432,0.8664585672973378
feature_024,7504,42496,3.740667185986576,3.744740866646287,-0.00407368065971081,-0.16072592367434294,0.8723124127178055
feature_058,955,49045,3.7512894440911726,3.7439900706195695,0.007299373471603143,0.10906269178013658,0.9131748537652414
feature_049,9027,40973,3.7461622468826534,3.743681639861229,0.002480607021424497,0.10612326171853653,0.9154861435285394
feature_015,5012,44988,3.741281690428439,3.744446754694952,-0.0031650642665126405,-0.1049242550389276,0.9164393175634732
feature_002,3998,46002,3.7416164317283798,3.744347896582622,-0.0027314648542420272,-0.08173532510336703,0.9348606546514436
feature_040,5973,44027,3.742300447265959,3.744377628753362,-0.0020771814874027683,-0.07461376761417039,0.9405239586697174
feature_091,7392,42608,3.742696213808507,3.744378145422722,-0.0016819316142151486,-0.06537203942913339,0.9478790851152062
feature_004,920,49080,3.7476019371290596,3.7440643979316444,0.0035375391974152848,0.05226096718564293,0.9583317015810846
feature_095,24010,25990,3.743666128756715,3.7445575483337863,-0.0008914195770715061,-0.049171559236124804,0.9607827740917367
feature_093,6008,43992,3.745260325103631,3.743975049995936,0.0012852751076950497,0.04645964155511421,0.9629450942991952
feature_085,8996,41004,3.7442404379207423,3.7441051471346416,0.00013529078610075018,0.0058022611351903714,0.9953705778234199
feature_001,1460,48540,3.7439263244013277,3.7441355994853303,-0.00020927508400259143,-0.004056200717654293,0.9967641487606065
