feature,n1,p1,p0,diff,log_or,p
feature_036,2464,0.16355519480519481,0.16921911814203972,-0.0056639233368449005,-0.03989051208478853,0.4814059653319218
feature_009,1519,0.1619486504279131,0.16915905199975248,-0.007210401571839387,-0.050611884425608475,0.48159454003626045
feature_088,15151,0.17074780542538445,0.1681540359838159,0.0025937694415685553,0.018515552740767247,0.48495291638085747
feature_087,9910,0.16659939455095862,0.1695185831878274,-0.002919188636868769,-0.020695642777551527,0.49682498009814713
feature_052,264,0.15151515151515152,0.16903249155541258,-0.017517340040261065,-0.12012136700145905,0.4995155734701594
feature_108,978,0.1605316973415133,0.16910774754191996,-0.008576050200406665,-0.05979046057595236,0.505639033253345
feature_113,1467,0.16223585548738922,0.16914264521047534,-0.006906789723086115,-0.04832634691944035,0.5091188462561029
feature_095,22417,0.17018334299861712,0.16792952180691006,0.002253821191707056,0.01606235212873449,0.5112445776723168
feature_002,17316,0.17036267036267036,0.1681862685105862,0.0021764018520841477,0.015539405470983132,0.5448990416756159
feature_069,15019,0.16745455756042346,0.16957777078985736,-0.0021232132294339012,-0.01506142645651019,0.5701499697054165
feature_083,12462,0.1705986198042048,0.16838936544301775,0.0022092543611870463,0.015818428465663743,0.5778622377591959
feature_022,5079,0.16617444378814727,0.16925268805235857,-0.0030782442642112995,-0.021631412976786828,0.5925183355797236
feature_061,2503,0.16500199760287654,0.16914752510684886,-0.004145527503972318,-0.028869611756354514,0.6085706665125763
feature_041,1961,0.17338092809790923,0.16875871687587168,0.004622211222037542,0.03370916932483296,0.6137648634527899
feature_004,3050,0.16557377049180327,0.16915867944621937,-0.0035849089544160995,-0.024982850943175008,0.6262050248958319
feature_107,7402,0.1669818967846528,0.1692802478989624,-0.0022983511143095936,-0.016164931647981745,0.6381433360372275
feature_091,9153,0.16737681634436796,0.16929027835581562,-0.001913462011447653,-0.013464823784172209,0.669996133534826
feature_110,20206,0.1698010491933089,0.1683560448412432,0.0014450043520657097,0.01032185699132758,0.6810720333253273
feature_047,9980,0.17034068136272545,0.16859070464767617,0.001749976715049284,0.012608190884719444,0.6873269315164132
feature_058,1018,0.1738703339882122,0.16883753215466907,0.005032801833543127,0.03762479918682299,0.7025285003644036
feature_114,7702,0.1704752012464295,0.16866045675918484,0.0018147444872446683,0.013134191663889011,0.7081006399810921
feature_098,1511,0.1727332892124421,0.16882179463383448,0.003911494578607622,0.029087390906642467,0.7153024625785731
feature_086,27510,0.1683751363140676,0.1696309470875945,-0.0012558107735268775,-0.008960139069912925,0.7182324873400854
feature_073,14999,0.1698779918661244,0.16853804177023513,0.0013399500958892752,0.009620332799318584,0.7237821412233081
feature_008,286,0.17832167832167833,0.16888602808062114,0.009435650241057192,0.07336628341988174,0.7297079195205769
feature_060,487,0.162217659137577,0.16900611960495224,-0.006788460467375246,-0.044094984482633985,0.7360463585133659
feature_106,11073,0.16996297299738103,0.16864900968479463,0.0013139633125864025,0.009493215511855706,0.7556331995642853
feature_029,17760,0.16841216216216215,0.16923076923076924,-0.0008186070686070912,-0.005773506295587966,0.8248425210673297
feature_072,953,0.1657922350472193,0.16900116215059025,-0.003208927103370951,-0.020541501265613958,0.8272717643410803
feature_024,17544,0.1694596443228454,0.1686591077150604,0.0008005366077850073,0.005759704372805503,0.8293846934286073
feature_089,20112,0.1694013524264121,0.16862955032119914,0.0007718021052129653,0.005532983105294069,0.8307989754418225
feature_105,19278,0.16848220769789396,0.16922726385000977,-0.0007450561521158139,-0.005262677022449533,0.8382368746910955
feature_050,468,0.16452991452991453,0.1689816684163773,-0.004451753886462767,-0.026893551242776228,0.8462984250159804
feature_122,8418,0.16963649322879543,0.16879899956712038,0.0008374936616750428,0.006179079769303484,0.8641731103976235
feature_115,22479,0.16864629209484408,0.1691798989862287,-0.0005336068913846248,-0.0037815108916316046,0.883597218391233
feature_040,7532,0.1695432819968136,0.16883300367335405,0.0007102783234595456,0.005309049251829352,0.8926646301145917
feature_034,5038,0.16971020246129417,0.1688536986788844,0.0008565037824097843,0.006503302783062922,0.8933785264735903
feature_025,15052,0.16927982992293383,0.16879363625958568,0.00048619366334815006,0.003550041162157655,0.904418325981762
feature_037,22467,0.16918146615035384,0.1687429629898667,0.00043850316048713034,0.0031419142159753617,0.9059320931605461
feature_035,6368,0.16928391959798994,0.16888980564723138,0.0003941139507585567,0.0031202919553019533,0.951751827390736
feature_102,15044,0.16883807498005848,0.16898386543082733,-0.00014579045076884567,-0.0009491261052411151,0.9785464381083495
feature_001,5967,0.16876152170269818,0.1689641859514455,-0.00020266424874731959,-0.0011019491501527252,0.9834050009733002
