col,n1,rr0,rr1,diff,p,absdiff
feature_060,487,0.16900611960495224,0.162217659137577,-0.006788460467375246,0.7360463585133659,0.006788460467375246
feature_106,11073,0.16864900968479463,0.16996297299738103,0.0013139633125864025,0.7556331995642853,0.0013139633125864025
feature_029,17760,0.16923076923076924,0.16841216216216215,-0.0008186070686070912,0.8248425210673297,0.0008186070686070912
feature_072,953,0.16900116215059025,0.1657922350472193,-0.003208927103370951,0.8272717643410803,0.003208927103370951
feature_024,17544,0.1686591077150604,0.1694596443228454,0.0008005366077850073,0.8293846934286073,0.0008005366077850073
feature_089,20112,0.16862955032119914,0.1694013524264121,0.0007718021052129653,0.8307989754418225,0.0007718021052129653
feature_105,19278,0.16922726385000977,0.16848220769789396,-0.0007450561521158139,0.8382368746910955,0.0007450561521158139
feature_050,468,0.1689816684163773,0.16452991452991453,-0.004451753886462767,0.8462984250159804,0.004451753886462767
feature_122,8418,0.16879899956712038,0.16963649322879543,0.0008374936616750428,0.8641731103976235,0.0008374936616750428
feature_115,22479,0.1691798989862287,0.16864629209484408,-0.0005336068913846248,0.883597218391233,0.0005336068913846248
feature_040,7532,0.16883300367335405,0.1695432819968136,0.0007102783234595456,0.8926646301145917,0.0007102783234595456
feature_034,5038,0.1688536986788844,0.16971020246129417,0.0008565037824097843,0.8933785264735903,0.0008565037824097843
feature_025,15052,0.16879363625958568,0.16927982992293383,0.00048619366334815006,0.904418325981762,0.00048619366334815006
feature_037,22467,0.1687429629898667,0.16918146615035384,0.00043850316048713034,0.9059320931605461,0.00043850316048713034
feature_035,6368,0.16888980564723138,0.16928391959798994,0.0003941139507585567,0.951751827390736,0.0003941139507585567
feature_102,15044,0.16898386543082733,0.16883807498005848,-0.00014579045076884567,0.9785464381083495,0.00014579045076884567
feature_001,5967,0.1689641859514455,0.16876152170269818,-0.00020266424874731959,0.9834050009733002,0.00020266424874731959
