,beta,se,p,abs_z
feature_023,-0.006472283176298628,0.012114487973679604,0.5931618434733659,0.5342597384520548
feature_008,0.08210569333243059,0.15691483207041554,0.6008002577185247,0.5232500474880899
feature_058,0.041609831408493975,0.08462859683450377,0.6229485623123832,0.4916757805858989
feature_091,-0.014247396350037238,0.03131712387882608,0.6491527721644614,0.45493948949986723
feature_098,0.03030017906952774,0.06993988774719112,0.6648464243928471,0.4332317372177172
feature_057_former,0.011751108397637907,0.02862481201358993,0.6814232396254121,0.41052176664283224
feature_050,-0.05181600573835181,0.126499638085606,0.6820892240811817,0.4096138654822586
feature_101,-0.004950728767585521,0.012200441025733956,0.6849022189072382,0.40578277106074484
feature_025,0.010467602709349124,0.026313844801671125,0.6907788710255414,0.3977982992696055
feature_077,0.004753709621631404,0.012069988623846697,0.6936951758077953,0.39384541027979864
feature_060,-0.04754734935255607,0.12495794151882363,0.7035692326501013,0.3805068231329143
feature_110,0.00907778957766486,0.024584063992316708,0.71193763268581,0.3692550418231076
feature_073,0.009247601427886389,0.026310669159238635,0.7252303431006892,0.3514772418716389
feature_035,-0.01278673094555702,0.03671545654816505,0.7276407168324137,0.3482656120258995
feature_057_never,0.015711661296342692,0.04656024074792626,0.7357791864848795,0.3374480252669757
feature_064,0.001306633280819072,0.0044995686922936875,0.7715172932991378,0.2903907841338024
feature_029,-0.007285477345872934,0.02524601908284148,0.7729033735004917,0.2885792537020035
feature_102,-0.007537109520126419,0.026331136324390776,0.7746918352484842,0.2862432303441733
feature_034,0.011211507109967149,0.04004936811264518,0.7795218713623804,0.2799421723317335
feature_118,0.0033692616866756835,0.012068742699872521,0.7801124076611188,0.2791725509825702
feature_106,0.008021316523147009,0.02902896928111856,0.7823014564128227,0.27632109309386843
feature_109,-0.011266997374813079,0.04115070331035175,0.784239541136732,0.27379841578500524
feature_078,0.0032238574858639143,0.012163414346245278,0.790974458452999,0.26504543823742105
feature_041,0.01617471348094497,0.061592520953122724,0.7928524237165384,0.2626084016475854
feature_024,0.006005743651245019,0.02528649705718648,0.8122627655371912,0.23750793309420346
feature_089,0.005811373418381623,0.024613207537534407,0.8133489226427123,0.23610792740115044
feature_097,-0.00277311576868872,0.012083913719126878,0.8184894806554642,0.22948821326813407
feature_084,0.002527553721192741,0.012070604342347984,0.8341379863557071,0.20939744601893556
feature_090,-0.002301088238427864,0.012221879048606128,0.8506601866197121,0.1882761422590168
feature_107,-0.006310787375790182,0.034130687756567114,0.8533069376083593,0.18490068002148355
feature_094,0.0019434177361570479,0.012080520395204545,0.8721941989025588,0.16087202145103802
feature_105,-0.0038961929803562247,0.024818713494562543,0.875255804709063,0.15698609765610252
feature_040,0.004527614007566079,0.033724420961874016,0.8932022987380773,0.13425327636268736
feature_119,-0.001603236885629143,0.012092401669509149,0.8945238321205581,0.13258217262760022
feature_037,0.0029635561404629134,0.024266131481338573,0.902798233377347,0.12212725966402936
feature_072,-0.010329421466662627,0.08887762775538285,0.9074776196131127,0.11622071524109764
feature_065,0.0013322203249305784,0.012076079449975673,0.9121564343248799,0.1103189433664468
feature_082,0.000905133873552386,0.012072200675825148,0.9402332434781936,0.0749767087093687
feature_115,0.0017879246235888498,0.02427376131313874,0.9412835709636876,0.07365667811115428
feature_001,-0.001956009882031634,0.03725138173334158,0.9581236145419384,0.052508384683108845
feature_123_black,0.0027257143120914145,0.059335287731595375,0.9633600713230553,0.04593749211129219
feature_122,0.001190439278180593,0.03222420181827554,0.9705309343512948,0.03694239767035753
