,coef,se,z,pval,OR
feature_028,-0.04751311561017129,0.03842865157024841,-1.236398199487075,0.21631058506955136,0.9535979660314248
feature_026,-0.012902172394811364,0.01067115812404595,-1.2090695541037986,0.22663612487883655,0.9871807038208066
feature_093,-0.029037665821096077,0.024178526605238553,-1.2009692027637755,0.22976314798644393,0.9713798759569169
feature_010,0.024032792174108794,0.0200615269943069,1.1979542823898135,0.23093481554455197,1.0243239071477932
feature_085,0.043748381914869884,0.03658719803821616,1.195729223898854,0.2318022432119743,1.0447194515063218
feature_005_uninsured,0.08022906443939731,0.06860849615466648,1.169375061924316,0.2422525527991224,1.0835352386423085
feature_071,0.04130128864836231,0.036865389253645416,1.1203269376649332,0.2625744669337329,1.0421660510498862
feature_075,0.03769730428265984,0.033861078316839,1.1132930832835615,0.26558257607489344,1.0384168609647542
feature_081,-0.07062574983957204,0.06355208697240415,-1.111304965802924,0.2664371026538669,0.9318105571300503
feature_016,0.027903926863065084,0.025273135988437258,1.104094358366585,0.2695522082948919,1.0282968879679308
feature_111,0.035106420433575126,0.033497679986961425,1.04802542884283,0.29462689121016306,1.0357299257626171
feature_096,-0.007292104943208989,0.00708620688571389,-1.0290561736082247,0.30345327902792807,0.9927344179456554
feature_054,0.07174036561991208,0.07208914875491633,0.9951617803646147,0.31965758700197355,1.0743763628078793
feature_108,-0.08760794295309343,0.08888167747871807,-0.9856693239624148,0.3242954073949663,0.9161199776177447
feature_120,0.0523837243178733,0.05577383258243583,0.9392168673445235,0.3476194106195999,1.0537800259633598
feature_062,0.002243077174711638,0.0024173661225501226,0.9279013029045744,0.35345876851460634,1.0022455947543407
feature_068,-0.03748619103314108,0.040418834209180486,-0.9274436476603449,0.3536962374209497,0.9632077185324498
feature_015,-0.02486633946154676,0.026990214986118723,-0.921309425446804,0.35688890155530784,0.9754402811887452
feature_116,-0.1169758745732171,0.12758248776140957,-0.9168646624290023,0.35921356337736643,0.8896066550447437
feature_042,-0.010357057111600522,0.011327999907265116,-0.9142882412064739,0.3605654076607856,0.9896963925182966
feature_009,-0.06522080753080758,0.07147923586123524,-0.9124441069490821,0.3615349798663776,0.9368605746667482
feature_012,-0.02234801827126366,0.02450613842388422,-0.9119355275281883,0.36180265790345467,0.9778998488094782
feature_046,0.04871683767841679,0.053605220486816256,0.9088077100699227,0.3634516360633724,1.0499230100071715
feature_027,-0.03069940711905714,0.03412457242573855,-0.8996275978509267,0.36831846534188273,0.9697670343349357
feature_059,0.004307790897932162,0.004807115694608425,0.8961279843469762,0.37018441256674894,1.0043170827668273
feature_079,0.032549589206303485,0.03681495428014203,0.8841404218138801,0.37662041502402344,1.0330851217450006
feature_066,-0.005130634132148002,0.005834222080538446,-0.8794032968444169,0.3791826451917957,0.9948825050906984
feature_022,-0.03499848437713574,0.04019123909459186,-0.8707988398856095,0.3838639988204211,0.9656068797523223
feature_088,0.022531283164490264,0.026207022608088094,0.8597421958775503,0.38993116929771277,1.0227870296788708
feature_045,0.009372139696536006,0.010959629170683506,0.8551511689470334,0.39246746527337184,1.0094161957233005
feature_056,-0.0033976834242159743,0.004015796216317409,-0.8460796417931137,0.39750831689145616,0.9966080821703728
feature_104,0.02616688399181318,0.03140776446425106,0.8331342404709143,0.4047690245235216,1.0265122426406144
feature_121,-0.0003663681299204687,0.00044144558999442707,-0.82992816832782,0.4065793977015245,0.9996336989746876
feature_095,0.01968786684520016,0.02426621291547113,0.8113283648248217,0.4171771250841685,1.019882951056424
feature_004,-0.040742274378553885,0.050803999813328456,-0.8019501324355396,0.4225818049986737,0.9600765343866587
feature_030,0.02190313840877858,0.029052723996830693,0.7539099745403547,0.45090328080176956,1.0221447731061348
feature_002,0.01909823580822587,0.025342101200881713,0.7536169024359115,0.45107929200613883,1.0192817736682411
feature_083,0.02095239869311168,0.02783155118664572,0.7528289944243269,0.4515526810615125,1.0211734412902147
feature_113,-0.05371764349166011,0.07272730839663209,-0.7386172357527768,0.4601394551853185,0.9476996578939402
feature_014,-0.004834626795880175,0.006723655456189995,-0.7190473734684419,0.4721117312221518,0.9951770412012039
feature_049,-0.036594155069890916,0.05144573865203963,-0.7113155730429015,0.47688870340001943,0.9640673177971893
feature_087,-0.021265221422834792,0.030415573746265835,-0.6991556891293413,0.4844547390103905,0.9789592891596727
feature_114,0.02223754865279886,0.0333529195048782,0.6667346961799369,0.5049416122948095,1.0224866459488378
feature_061,-0.03718987930397364,0.055856508772103346,-0.6658110240242502,0.5055318976449881,0.9634931705663798
feature_017,-0.024853515318326448,0.037511151928961206,-0.6625633722311208,0.507610235143757,0.9754527904548241
feature_123_hispanic,-0.03819410836532832,0.05769463992600229,-0.6620044498815685,0.5079683698551991,0.9625260883913661
feature_086,-0.016041030656595515,0.024264320037646538,-0.6610954121816545,0.508551127292199,0.9840869414935548
feature_047,0.019819330164098085,0.03013537876090067,0.6576764911882507,0.5107460316168606,1.0200170370675603
feature_018,-0.007051703433072693,0.010803589635349128,-0.6527185566174839,0.5139377370803367,0.9929731014876862
feature_103,-0.015391426707305731,0.024073618183817706,-0.6393482936292415,0.5225963780237346,0.9847264159372682
feature_048,-0.002470124999110425,0.0040495488733141086,-0.6099753519183732,0.5418781353017026,0.9975329232492771
feature_019,-0.00010507703292350116,0.00017317444057563468,-0.6067698707397199,0.5440036457264732,0.9998949284874745
feature_003,-0.004090870488305015,0.0067574250052335845,-0.6053889588321973,0.544920585535456,0.9959174857237605
feature_036,-0.03376516573034196,0.057208328344107974,-0.5902141647496595,0.5550470768770348,0.9667985154047811
feature_055,8.764257554825294e-05,0.00014883243803665892,0.5888674317534575,0.5559502067413039,1.000087646416271
feature_080,0.04089066281658988,0.0696144914399088,0.5873872231313603,0.5569436729298023,1.0417381985979752
feature_052,-0.10032657796352822,0.173782719468526,-0.5773104384046567,0.5637297634611228,0.9045419663212888
feature_069,-0.015103718265253438,0.02639512038638948,-0.57221630529261,0.5671754423975759,0.9850097708000837
feature_123_other,0.05099196907984088,0.0951870154576413,0.5357029930466993,0.5921638347351195,1.0523144421960013
feature_023,-0.0002698892248651214,0.0005051648204805542,-0.5342597384520574,0.5931618434733641,0.9997301471919555
feature_008,0.08210569333243062,0.15691483207041554,0.5232500474880901,0.6008002577185245,1.0855705413343668
feature_058,0.04160983140849395,0.08462859683450376,0.49167578058589867,0.6229485623123834,1.0424876534512877
feature_091,-0.014247396350037262,0.03131712387882607,-0.4549394894998681,0.6491527721644608,0.9858536175041696
feature_098,0.03030017906952783,0.0699398877471911,0.43323173721771857,0.6648464243928461,1.030763901267183
feature_057_former,0.011751108397637832,0.028624812013589976,0.410521766642829,0.6814232396254144,1.011820423917231
feature_050,-0.05181600573835183,0.12649963808560596,-0.40961386548225887,0.6820892240811816,0.9495035539770279
feature_101,-0.00015020677543816803,0.0003701654829886377,-0.40578277106074384,0.6849022189072389,0.9998498045050347
feature_025,0.010467602709349119,0.02631384480167112,0.3977982992696054,0.6907788710255414,1.0105225797209818
feature_077,0.002395268634635918,0.006081748249746742,0.39384541027913517,0.6936951758082852,1.0023981395823247
feature_060,-0.047547349352556084,0.12495794151882361,-0.38050682313291445,0.7035692326501012,0.9535653213630948
feature_110,0.009077789577664865,0.024584063992316704,0.36925504182310787,0.7119376326858098,1.0091191176707242
feature_073,0.009247601427886321,0.02631066915923863,0.3514772418716364,0.725230343100691,1.009290492605525
feature_035,-0.012786730945557108,0.03671545654816504,-0.34826561202590195,0.7276407168324119,0.9872946719701291
feature_057_never,0.01571166129634273,0.04656024074792629,0.33744802526697626,0.735779186484879,1.0158357384142034
feature_064,0.0013066332808190696,0.004499568692293686,0.29039078413380204,0.7715172932991381,1.0013074872980063
feature_029,-0.007285477345872984,0.025246019082841478,-0.28857925370200554,0.7729033735004901,0.9927409974114422
feature_102,-0.007537109520126311,0.02633113632439077,-0.2862432303441693,0.7746918352484873,0.9924912232627171
feature_034,0.011211507109967085,0.04004936811264518,0.2799421723317319,0.7795218713623817,1.0112745915927506
feature_118,0.0006759024908388431,0.002421092218629457,0.2791725509825731,0.7801124076611167,1.0006761309644
feature_106,0.00802131652314704,0.029028969281118564,0.2763210930938695,0.7823014564128219,1.0080535734725806
feature_109,-0.01126699737481305,0.04115070331035175,-0.2737984157850045,0.7842395411367327,0.9887962375281323
feature_078,0.00032392117233852455,0.0012221344932123067,0.26504543823742127,0.7909744584529989,1.0003239736404665
feature_041,0.016174713480945003,0.06159252095312273,0.26260840164758587,0.7928524237165382,1.016306232295276
feature_024,0.006005743651244951,0.025286497057186476,0.23750793309420082,0.8122627655371932,1.006023814287404
feature_089,0.005811373418381701,0.024613207537534425,0.23610792740115344,0.81334892264271,1.005828292206807
feature_097,-0.00023133519564059738,0.001008048266820121,-0.22948821326814253,0.8184894806554577,0.9997686915602826
feature_084,0.000207454208937929,0.0009907198625487192,0.20939744601893184,0.8341379863557101,1.0002074757290504
feature_090,-0.0006927377701165623,0.003679370959085953,-0.1882761422590169,0.8506601866197121,0.9993075021172962
feature_107,-0.0063107873757901325,0.034130687756567114,-0.1849006800214821,0.8533069376083603,0.9937090838199236
feature_094,0.0038773149495568543,0.024101860066066128,0.16087202145098606,0.8721941989025997,1.003884841459572
feature_105,-0.003896192980356291,0.024818713494562536,-0.15698609765610524,0.8752558047090607,0.9961113873315323
feature_040,0.004527614007566151,0.03372442096187401,0.13425327636268952,0.8932022987380757,1.004537879138203
feature_119,-0.001431520165973885,0.010797229654659115,-0.1325821726276026,0.8945238321205562,0.9985695039702701
feature_037,0.002963556140462905,0.02426613148133857,0.12212725966402904,0.9027982333773472,1.0029679518141643
feature_072,-0.01032942146666263,0.08887762775538284,-0.1162207152410977,0.9074776196131126,0.9897237437943298
feature_065,0.004472760765555621,0.04054390505444464,0.11031894336644053,0.9121564343248849,1.0044827784900483
feature_082,9.083450122122816e-05,0.0012115029158367432,0.074976708709357,0.9402332434782029,1.0000908386267995
feature_115,0.001787924623588819,0.024273761313138728,0.07365667811115305,0.9412835709636886,1.0017895239138135
feature_001,-0.001956009882031696,0.03725138173334158,-0.05250838468311051,0.9581236145419371,0.9980459018586333
feature_123_black,0.0027257143120913295,0.05933528773159522,0.04593749211129087,0.9633600713230565,1.002729432448772
feature_122,0.001190439278180497,0.032224201818275525,0.036942397670354565,0.9705309343512972,1.0011911481322726
