feature,type,p,effect,detail
feature_044,cont,0.11523085625216269,-0.24287633365609196,mean_y1=27.796 mean_y0=28.039
feature_100,bin,0.11574326628411497,0.019385469332172556,rate1=0.188 (n=995) rate0=0.169 (n=49005)
feature_045,ord,0.1446295332731062,0.006523893403765249,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)] spearman_rho=0.0065"
feature_070,cont,0.16582400809924625,0.7825196339829716,mean_y1=104.975 mean_y0=104.192
feature_028,cont,0.1678473042402301,-0.0047028109042304145,mean_y1=0.667 mean_y0=0.671
feature_117,bin,0.17374300997982106,-0.008400223025381542,rate1=0.161 (n=4143) rate0=0.170 (n=45857)
feature_038,bin,0.17923590925972227,-0.0049612500146419825,rate1=0.165 (n=14976) rate0=0.170 (n=35024)
feature_032,bin,0.1825817697633948,0.005631890454357469,rate1=0.173 (n=10067) rate0=0.168 (n=39933)
feature_085,bin,0.21746234658697272,0.006426329933858194,rate1=0.175 (n=6060) rate0=0.168 (n=43940)
feature_005,cat,0.23151897695571896,0.010713639830228633,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_010,cont,0.24778186070572938,0.008985188473521255,mean_y1=1.812 mean_y0=1.803
feature_059,cont,0.25582203297899286,0.033036989640780945,mean_y1=7.528 mean_y0=7.495
feature_093,bin,0.2682219928886605,-0.0037537387521068277,rate1=0.167 (n=23978) rate0=0.171 (n=26022)
feature_057,cat,0.26858137121818315,0.008469719502900958,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_081,bin,0.2740012380258302,-0.009708317584347564,rate1=0.160 (n=1961) rate0=0.169 (n=48039)
feature_046,bin,0.27861548698102373,0.008397079656779438,rate1=0.177 (n=2589) rate0=0.169 (n=47411)
feature_090,cont,0.2881023622280091,-0.017928916476951606,mean_y1=2.215 mean_y0=2.233
feature_056,cont,0.29944394537723684,-0.028429827434649724,mean_y1=139.946 mean_y0=139.975
feature_062,cont,0.29996328749221124,0.0557062984977037,mean_y1=26.042 mean_y0=25.986
feature_104,bin,0.3018338227376992,0.004600189757409029,rate1=0.173 (n=8858) rate0=0.168 (n=41142)
feature_071,bin,0.30440613738862127,0.005400212516429526,rate1=0.174 (n=5976) rate0=0.168 (n=44024)
feature_055,cont,0.30556897850378106,0.642857665440232,mean_y1=224.264 mean_y0=223.621
feature_111,bin,0.3389751042562632,0.00455408801489024,rate1=0.173 (n=7546) rate0=0.168 (n=42454)
feature_016,bin,0.3583405793126079,0.0032734742082914936,rate1=0.171 (n=17443) rate0=0.168 (n=32557)
feature_012,bin,0.36199179382836344,-0.003138188695638283,rate1=0.167 (n=20896) rate0=0.170 (n=29104)
feature_015,bin,0.3761205445812471,-0.0033542404910958112,rate1=0.167 (n=13980) rate0=0.170 (n=36020)
feature_027,bin,0.37857380495364534,-0.00422226926890884,rate1=0.165 (n=7451) rate0=0.170 (n=42549)
feature_075,bin,0.38468538116615936,0.004193442910575718,rate1=0.173 (n=7350) rate0=0.168 (n=42650)
feature_109,bin,0.3854536658750173,-0.004407878755578104,rate1=0.165 (n=6517) rate0=0.170 (n=43483)
feature_068,bin,0.3911682553313359,-0.004876110242394482,rate1=0.165 (n=5056) rate0=0.169 (n=44944)
feature_103,cont,0.39121570366565483,-0.0035941840509368106,mean_y1=4.199 mean_y0=4.202
feature_042,ord,0.3983737468202942,-0.0037769304080738633,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)] spearman_rho=-0.0038"
feature_116,bin,0.39929412373266593,-0.015401796948049024,rate1=0.154 (n=488) rate0=0.169 (n=49512)
feature_054,cont,0.4001343762190719,0.0019382621262569177,mean_y1=1.059 mean_y0=1.057
feature_120,bin,0.41627353404434064,0.006595197550285314,rate1=0.175 (n=2397) rate0=0.169 (n=47603)
feature_121,cont,0.4232314380447385,-0.2789616548479614,mean_y1=107.545 mean_y0=107.824
feature_017,bin,0.4307368786095056,-0.004166364691141261,rate1=0.165 (n=5972) rate0=0.169 (n=44028)
feature_003,cont,0.43889820463447393,-0.012908377354001743,mean_y1=4.481 mean_y0=4.494
feature_049,bin,0.44134085513059573,-0.005609929078014192,rate1=0.164 (n=3000) rate0=0.169 (n=47000)
feature_080,bin,0.4449539745793255,0.007844457983769343,rate1=0.177 (n=1501) rate0=0.169 (n=48499)
feature_079,bin,0.45354710067712867,0.0039503651558500386,rate1=0.172 (n=6032) rate0=0.168 (n=43968)
feature_030,bin,0.4645280072229979,0.003018881432956949,rate1=0.171 (n=10981) rate0=0.168 (n=39019)
feature_026,ord,0.4713258975854288,-0.0032214563774754248,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)] spearman_rho=-0.0032"
feature_101,cont,0.4753747979771744,-0.12563450129006526,mean_y1=26.121 mean_y0=26.247
feature_036,bin,0.4814059653319218,-0.0056639233368449005,rate1=0.164 (n=2464) rate0=0.169 (n=47536)
feature_009,bin,0.48159454003626045,-0.007210401571839387,rate1=0.162 (n=1519) rate0=0.169 (n=48481)
feature_088,bin,0.48495291638085747,0.0025937694415685553,rate1=0.171 (n=15151) rate0=0.168 (n=34849)
feature_087,bin,0.49682498009814713,-0.002919188636868769,rate1=0.167 (n=9910) rate0=0.170 (n=40090)
feature_052,bin,0.4995155734701594,-0.017517340040261065,rate1=0.152 (n=264) rate0=0.169 (n=49736)
feature_048,cont,0.5010163576496314,-0.029800934216209995,mean_y1=12.974 mean_y0=13.004
feature_108,bin,0.505639033253345,-0.008576050200406665,rate1=0.161 (n=978) rate0=0.169 (n=49022)
feature_113,bin,0.5091188462561029,-0.006906789723086115,rate1=0.162 (n=1467) rate0=0.169 (n=48533)
feature_095,bin,0.5112445776723168,0.002253821191707056,rate1=0.170 (n=22417) rate0=0.168 (n=27583)
feature_066,cont,0.5232396366079521,-0.02165869564267897,mean_y1=3.477 mean_y0=3.498
feature_002,bin,0.5448990416756159,0.0021764018520841477,rate1=0.170 (n=17316) rate0=0.168 (n=32684)
feature_069,bin,0.5701499697054165,-0.0021232132294339012,rate1=0.167 (n=15019) rate0=0.170 (n=34981)
feature_083,bin,0.5778622377591959,0.0022092543611870463,rate1=0.171 (n=12462) rate0=0.168 (n=37538)
feature_020,cont,0.591033196295258,0.11853261334899567,mean_y1=5.888 mean_y0=5.770
feature_022,bin,0.5925183355797236,-0.0030782442642112995,rate1=0.166 (n=5079) rate0=0.169 (n=44921)
feature_061,bin,0.6085706665125763,-0.004145527503972318,rate1=0.165 (n=2503) rate0=0.169 (n=47497)
feature_041,bin,0.6137648634527899,0.004622211222037542,rate1=0.173 (n=1961) rate0=0.169 (n=48039)
feature_004,bin,0.6262050248958319,-0.0035849089544160995,rate1=0.166 (n=3050) rate0=0.169 (n=46950)
feature_107,bin,0.6381433360372275,-0.0022983511143095936,rate1=0.167 (n=7402) rate0=0.169 (n=42598)
feature_019,cont,0.6556219647636253,-0.4770058743693255,mean_y1=249.440 mean_y0=249.917
feature_091,bin,0.669996133534826,-0.001913462011447653,rate1=0.167 (n=9153) rate0=0.169 (n=40847)
feature_014,cont,0.6713864585207145,-0.011169201438988807,mean_y1=12.497 mean_y0=12.508
feature_110,bin,0.6810720333253273,0.0014450043520657097,rate1=0.170 (n=20206) rate0=0.168 (n=29794)
feature_047,bin,0.6873269315164132,0.001749976715049284,rate1=0.170 (n=9980) rate0=0.169 (n=40020)
feature_084,cont,0.6964956125126816,0.0015278846836004334,mean_y1=25.764 mean_y0=25.763
feature_018,ord,0.7024466864209777,-0.0017084858994159092,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)] spearman_rho=-0.0017"
feature_058,bin,0.7025285003644036,0.005032801833543127,rate1=0.174 (n=1018) rate0=0.169 (n=48982)
feature_114,bin,0.7081006399810921,0.0018147444872446683,rate1=0.170 (n=7702) rate0=0.169 (n=42298)
feature_098,bin,0.7153024625785731,0.003911494578607622,rate1=0.173 (n=1511) rate0=0.169 (n=48489)
feature_086,bin,0.7182324873400854,-0.0012558107735268775,rate1=0.168 (n=27510) rate0=0.170 (n=22490)
feature_073,bin,0.7237821412233081,0.0013399500958892752,rate1=0.170 (n=14999) rate0=0.169 (n=35001)
feature_008,bin,0.7297079195205769,0.009435650241057192,rate1=0.178 (n=286) rate0=0.169 (n=49714)
feature_060,bin,0.7360463585133659,-0.006788460467375246,rate1=0.162 (n=487) rate0=0.169 (n=49513)
feature_118,cont,0.7486354634191799,0.025864606236675414,mean_y1=15.008 mean_y0=14.982
feature_077,cont,0.7518593428995717,0.0063271579653161325,mean_y1=95.988 mean_y0=95.982
feature_106,bin,0.7556331995642853,0.0013139633125864025,rate1=0.170 (n=11073) rate0=0.169 (n=38927)
feature_097,cont,0.7770603273297669,-0.049860271217184504,mean_y1=77.904 mean_y0=77.954
feature_078,cont,0.8105588224981856,0.050905066345464434,mean_y1=65.030 mean_y0=64.980
feature_119,cont,0.8203365966067457,-0.001757061420296857,mean_y1=1.907 mean_y0=1.909
feature_029,bin,0.8248425210673297,-0.0008186070686070912,rate1=0.168 (n=17760) rate0=0.169 (n=32240)
feature_072,bin,0.8272717643410803,-0.003208927103370951,rate1=0.166 (n=953) rate0=0.169 (n=49047)
feature_024,bin,0.8293846934286073,0.0008005366077850073,rate1=0.169 (n=17544) rate0=0.169 (n=32456)
feature_089,bin,0.8307989754418225,0.0007718021052129653,rate1=0.169 (n=20112) rate0=0.169 (n=29888)
feature_096,cont,0.8322607671252439,-0.02057314506216401,mean_y1=1.966 mean_y0=1.986
feature_105,bin,0.8382368746910955,-0.0007450561521158139,rate1=0.168 (n=19278) rate0=0.169 (n=30722)
feature_050,bin,0.8462984250159804,-0.004451753886462767,rate1=0.165 (n=468) rate0=0.169 (n=49532)
feature_122,bin,0.8641731103976235,0.0008374936616750428,rate1=0.170 (n=8418) rate0=0.169 (n=41582)
feature_082,cont,0.8703104887152905,-0.010834788034557619,mean_y1=79.990 mean_y0=80.001
feature_023,cont,0.8768880429824925,-0.08821074043655486,mean_y1=27.320 mean_y0=27.408
feature_115,bin,0.883597218391233,-0.0005336068913846248,rate1=0.169 (n=22479) rate0=0.169 (n=27521)
feature_040,bin,0.8926646301145917,0.0007102783234595456,rate1=0.170 (n=7532) rate0=0.169 (n=42468)
feature_034,bin,0.8933785264735903,0.0008565037824097843,rate1=0.170 (n=5038) rate0=0.169 (n=44962)
feature_094,cont,0.9039859276186586,0.002069329753327409,mean_y1=9.398 mean_y0=9.396
feature_025,bin,0.904418325981762,0.00048619366334815006,rate1=0.169 (n=15052) rate0=0.169 (n=34948)
feature_037,bin,0.9059320931605461,0.00043850316048713034,rate1=0.169 (n=22467) rate0=0.169 (n=27533)
feature_065,cont,0.9167061835647038,0.0006983315193207495,mean_y1=1.003 mean_y0=1.003
feature_064,ord,0.9396590339155485,0.0003385420748795759,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10)] spearman_rho=0.0003"
feature_035,bin,0.951751827390736,0.0003941139507585567,rate1=0.169 (n=6368) rate0=0.169 (n=43632)
feature_102,bin,0.9785464381083495,-0.00014579045076884567,rate1=0.169 (n=15044) rate0=0.169 (n=34956)
feature_001,bin,0.9834050009733002,-0.00020266424874731959,rate1=0.169 (n=5967) rate0=0.169 (n=44033)
