run_id,model,workflow,version,replicate,status,primary,R,P,F1,E,B,calls,known_output_tokens,missing_token_calls,unaccounted_infrastructure_attempts,report_path,report_sha256
1a87643398283251__deliberative__luna_medium__r005,luna_medium,deliberative,surprising,r005,completed,0,0.3333333333333333,0.7,45.16129032258064,50.0,83.33333333333333,304,230578,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r005/report.json,0d8d861d6712730a6c36eceb6c4176d55ee000daed4ac30ad8bef596d54f16c3
1a87643398283251__deliberative__luna_medium__r006,luna_medium,deliberative,surprising,r006,completed,1,0.6666666666666666,1.0,80.0,57.333333333333336,100.0,303,217830,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r006/report.json,f56f534006828d4c18b8432c8826510e0d52f5b956da92a6b6fb576796a4876d
1a87643398283251__deliberative__luna_medium__r007,luna_medium,deliberative,surprising,r007,completed,1,0.16666666666666666,1.0,28.571428571428566,50.0,,301,204715,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r007/report.json,0e4935c05c122de8fe0fecf2a51ad1d83c71c345291a9a5e3cba38f09e8a8d94
1a87643398283251__deliberative__sol_medium__r001,sol_medium,deliberative,surprising,r001,completed,1,0.6666666666666666,0.9727272727272728,79.11275415896488,59.333333333333336,100.0,302,637958,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__sol_medium__r001/report.json,c1ffeace6b5510cdc8ef0b28d011266e4a3a5f2595c6a105b3b2ca9ff0a3d408
1a87643398283251__deliberative__sol_medium__r002,sol_medium,deliberative,surprising,r002,completed,1,0.6666666666666666,0.9629629629629629,78.78787878787878,60.666666666666664,100.0,300,490301,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__sol_medium__r002/report.json,a4d573c78b68036094eaddbfe8eda41ca5778be80d545eb66118abef4a47707c
1a87643398283251__deliberative__sol_medium__r003,sol_medium,deliberative,surprising,r003,completed,1,0.6666666666666666,0.927710843373494,77.58186397984886,62.666666666666664,83.33333333333333,304,558575,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__sol_medium__r003/report.json,21fee70a2e5a9a2fe1d3dacf6b081874d10a15a61d9443cee40d7420f0498fa8
1a87643398283251__deliberative__sol_medium__r004,sol_medium,deliberative,surprising,r004,completed,1,0.6666666666666666,1.0,80.0,62.666666666666664,100.0,300,524439,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__sol_medium__r004/report.json,c132870ed0edeb9e86f6ddac813feb1bbb8c855f926dea56268009c325cf675b
1a87643398283251__deliberative__sol_medium__r005,sol_medium,deliberative,surprising,r005,completed,1,0.6666666666666666,0.967741935483871,78.94736842105263,61.333333333333336,88.88888888888887,304,563892,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__sol_medium__r005/report.json,f73c3d0cda288cee255f3005540885a2e2ac68bcd8adc177dabb03d8444e229d
1a87643398283251__deliberative__terra_medium__r001,terra_medium,deliberative,surprising,r001,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,83.33333333333333,300,145811,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r001/report.json,e361a99ce328bdb158744021d88d7f34081e5510593513cf50aa7d85b5fea293
1a87643398283251__deliberative__terra_medium__r002,terra_medium,deliberative,surprising,r002,completed,1,0.6666666666666666,1.0,80.0,64.0,100.0,300,153189,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r002/report.json,bdd92d354380951dc7456b0e5f33e70cc560d7d0e5ac2f49566ac376557a99e9
1a87643398283251__deliberative__terra_medium__r003,terra_medium,deliberative,surprising,r003,completed,1,0.6666666666666666,0.64,65.3061224489796,62.0,80.0,300,175141,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r003/report.json,3d46925b6cc9ec10785edb41c59dacfa80a1ff4747cd0d65d86a7b6e5fec76eb
1a87643398283251__deliberative__terra_medium__r004,terra_medium,deliberative,surprising,r004,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,100.0,301,174559,1,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r004/report.json,5b4202beefea820b161c5d61a5271d093910e34ed5007214008b61d7550a1388
1a87643398283251__deliberative__terra_medium__r005,terra_medium,deliberative,surprising,r005,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,100.0,300,139791,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r005/report.json,eec203d8c8757d72d2ac10f87fb65cfa4a70160a45f2ddded53fd6012108cf36
1a87643398283251__deliberative__terra_medium__r006,terra_medium,deliberative,surprising,r006,completed,1,0.6666666666666666,0.98,79.35222672064778,50.666666666666664,83.33333333333333,300,168479,0,3,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r006/report.json,de8bee870a8b8691ef20f50f9f794bb5149250b8da3990cb2758ce3ec37697b9
1a87643398283251__deliberative__terra_medium__r007,terra_medium,deliberative,surprising,r007,completed,1,0.6666666666666666,1.0,80.0,58.666666666666664,100.0,300,163317,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r007/report.json,55d449d9f839f72f0da8aee4c2f5a171af5448dccd35f7e15e73acd76989a831
1a87643398283251__deliberative__terra_medium__r008,terra_medium,deliberative,surprising,r008,completed,1,0.6666666666666666,1.0,80.0,50.0,100.0,300,154113,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__terra_medium__r008/report.json,1d3b79e36938345856bc9f57a40dd0d36c4e717ca8ca7adf609a14ce9e7c7a0e
1a87643398283251__persistent__astra_medium__r001,astra_medium,persistent,surprising,r001,completed,1,0.8333333333333334,0.9814814814814815,90.13605442176872,66.0,95.23809523809524,105,93326,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r001/report.json,6e1df309317d58614626e5a16beac699f36ea2c8ccc11704ce5895b360f4e3fa
1a87643398283251__persistent__astra_medium__r002,astra_medium,persistent,surprising,r002,completed,1,0.6666666666666666,0.8392857142857143,74.30830039525691,64.0,100.0,104,86954,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r002/report.json,bff34f5c7d1b273c577c3f5895486300ae5ece66364d8156b446ef216481f399
1a87643398283251__persistent__astra_medium__r003,astra_medium,persistent,surprising,r003,completed,1,0.6666666666666666,1.0,80.0,64.66666666666667,100.0,103,82609,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r003/report.json,7f821fe185c45512acfcf44c3a019fa738b9ce22eb6283ac5236135b082c4954
1a87643398283251__persistent__astra_medium__r004,astra_medium,persistent,surprising,r004,completed,1,0.6666666666666666,1.0,80.0,64.0,100.0,102,89120,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r004/report.json,595f38d188e698abcad0cbd47023b3acc3ddc6f7ad3e45b5115cf91955be8eb6
1a87643398283251__persistent__astra_medium__r005,astra_medium,persistent,surprising,r005,completed,1,0.6666666666666666,0.9827586206896551,79.44250871080139,64.0,91.66666666666667,103,88373,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r005/report.json,62a0a48e833a03eb7149f8773841b26c0a00cf2ecc51a9b4df84c83cefe6c6b7
1a87643398283251__persistent__astra_medium__r006,astra_medium,persistent,surprising,r006,completed,1,0.6666666666666666,1.0,80.0,64.66666666666667,100.0,103,85904,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r006/report.json,245e8bcbe54e01148be7b8dba6bd314394da33510ba82e658c4bce2ccb8e1cfb
1a87643398283251__persistent__astra_medium__r007,astra_medium,persistent,surprising,r007,completed,1,0.6666666666666666,0.9,76.59574468085106,64.0,83.33333333333333,102,85936,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r007/report.json,f14049d22887c1ca75a79be02ac1ccefabd3b6c13dd17412425d08558ebb0a3e
1a87643398283251__persistent__astra_medium__r008,astra_medium,persistent,surprising,r008,completed,1,0.6666666666666666,0.8888888888888888,76.19047619047618,64.66666666666667,94.44444444444446,106,86023,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__astra_medium__r008/report.json,a37d941f6545da4a557c8a7768a351f0295754440381799f34213edbbe2e9150
1a87643398283251__persistent__luna_medium__r001,luna_medium,persistent,surprising,r001,completed,1,0.5,0.7291666666666666,59.32203389830509,60.0,83.33333333333333,112,71245,11,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r001/report.json,4a4fc815808f04f41b212e772ea4051b49c5329740b540add639a3328e62e16d
1a87643398283251__persistent__luna_medium__r002,luna_medium,persistent,surprising,r002,completed,0,0.5,0.7358490566037735,59.541984732824424,64.66666666666667,,101,71536,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r002/report.json,b030b45194337a9635acfacd39991c23c8e22125a27349f824fb5029a26da61e
1a87643398283251__persistent__luna_medium__r003,luna_medium,persistent,surprising,r003,completed,1,0.5,0.6333333333333333,55.88235294117647,44.0,,100,68104,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r003/report.json,f9b96cd686c7ab6696e930b2f623a67f4cd7d5a0d41e123fce0696ca07ff0636
1a87643398283251__persistent__luna_medium__r004,luna_medium,persistent,surprising,r004,failed,1,0.6666666666666666,1.0,80.0,60.0,100.0,103,69877,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r004/report.json,06d7b79e960e1544370836d91adf0e659cfded21c380c8cbda3f6301b50dc702
1a87643398283251__persistent__luna_medium__r005,luna_medium,persistent,surprising,r005,completed,1,0.5,1.0,66.66666666666667,43.333333333333336,100.0,101,72119,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r005/report.json,95762cdbb7999010a77fdd96f374b600a1b71d08fc98a5099ddc791940e2ec5e
1a87643398283251__persistent__luna_medium__r006,luna_medium,persistent,surprising,r006,completed,1,0.6666666666666666,1.0,80.0,60.666666666666664,100.0,102,77565,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r006/report.json,ea62fc92ee193fa2a765619d440d703961278e5dc515abdecf02860f29ece29c
1a87643398283251__persistent__luna_medium__r007,luna_medium,persistent,surprising,r007,completed,0,0.16666666666666666,0.9253731343283582,28.246013667425963,16.666666666666668,66.66666666666667,101,73917,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r007/report.json,c4983aaa4c0d98f41274460ba160e6ab1ceced56c5401a94617bd98a0f158a17
1a87643398283251__persistent__luna_medium__r008,luna_medium,persistent,surprising,r008,completed,0,0.16666666666666666,0.5,24.999999999999996,53.333333333333336,,104,76930,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__luna_medium__r008/report.json,57ae43b35099e3d0badf9357f26c2a0f8c0589d84f900f16d4ed73f624883128
1a87643398283251__persistent__qwen_3_8_27b__r001,qwen_3_8_27b,persistent,surprising,r001,completed,1,0.6666666666666666,1.0,80.0,60.666666666666664,61.111111111111114,105,170419,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_masked_vllm_recommended/runs/1a87643398283251__persistent__qwen_3_8_27b__r001/report.json,f620332ba653e80f4a2ab2b018230abb9a9bc010d72b8d23e5262d3994662dd9
1a87643398283251__persistent__sol_medium__r001,sol_medium,persistent,surprising,r001,completed,1,0.6666666666666666,0.9461538461538461,78.21939586645468,64.66666666666667,75.0,105,183603,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r001/report.json,7c96c8beeb11b9ffbe1cee665c26ff5be0e63f9fe4d29dd197a151ab9df6798b
1a87643398283251__persistent__sol_medium__r002,sol_medium,persistent,surprising,r002,completed,1,0.6666666666666666,0.7290322580645161,69.64560862865947,61.333333333333336,66.66666666666667,104,173565,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r002/report.json,5473db20ddeac5798d2c0180643aab59d457a664c175e1034f0cceb615da0874
1a87643398283251__persistent__sol_medium__r003,sol_medium,persistent,surprising,r003,completed,1,0.6666666666666666,1.0,80.0,63.333333333333336,100.0,100,161309,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r003/report.json,40e4a54ffc642fee58335ef4b8d780c05108af00f52cd59c2b97de51f7c0525f
1a87643398283251__persistent__sol_medium__r004,sol_medium,persistent,surprising,r004,completed,1,0.6666666666666666,0.9603960396039604,78.70182555780931,62.666666666666664,100.0,100,162542,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r004/report.json,dee2eb00c1ef52057046c7740a224ba7ad06b21f80b1bc3d8cce9119d6f4316e
1a87643398283251__persistent__sol_medium__r005,sol_medium,persistent,surprising,r005,completed,1,0.6666666666666666,0.9739130434782609,79.15194346289752,62.666666666666664,83.33333333333333,102,169085,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r005/report.json,00b5e9940227f4f87a040d4cfeadb55f367385e08206bd655f36e7b863b4b2fb
1a87643398283251__persistent__sol_medium__r006,sol_medium,persistent,surprising,r006,completed,1,0.6666666666666666,0.8918918918918919,76.30057803468208,62.666666666666664,100.0,103,181232,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r006/report.json,0e4a928def17cdaf51339c60cf6abc17e3a6609dc6e5085126efa3d4e194059a
1a87643398283251__persistent__sol_medium__r007,sol_medium,persistent,surprising,r007,completed,1,0.6666666666666666,0.9875776397515528,79.59949937421776,59.333333333333336,100.0,101,164275,0,3,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__sol_medium__r007/report.json,90db2499195cacae0047ed57960de907e686637af0bd5986db7dc48ab42f5aae
1a87643398283251__persistent__terra_medium__r001,terra_medium,persistent,surprising,r001,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,100.0,100,48544,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r001/report.json,7266922c7b16bff74bee35dd13001fef9b577168d8d82d11ae1ee4ac3eeb07b1
1a87643398283251__persistent__terra_medium__r002,terra_medium,persistent,surprising,r002,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,100.0,100,58805,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r002/report.json,71f63ba3f750698139915841f5a657310fb9fa8b7e27410ac90182034caf221c
1a87643398283251__persistent__terra_medium__r003,terra_medium,persistent,surprising,r003,completed,1,0.6666666666666666,1.0,80.0,64.0,100.0,101,58566,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r003/report.json,ed9054c9064ee67e273402e1ecc8de3b1bb66369448fa4705846f89885042e43
1a87643398283251__persistent__terra_medium__r004,terra_medium,persistent,surprising,r004,completed,1,0.3333333333333333,1.0,49.99999999999999,64.0,88.88888888888887,101,75008,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r004/report.json,b996d2a1d9714f002faefd709d3de349280fb73955206be3d8031677fe20eda1
1a87643398283251__persistent__terra_medium__r005,terra_medium,persistent,surprising,r005,completed,1,0.6666666666666666,1.0,80.0,64.66666666666667,100.0,101,67563,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r005/report.json,2a79da29539a017e26b2b81cbb8a9b341aba1e847767e70e26bbeef08bc66139
1a87643398283251__persistent__terra_medium__r006,terra_medium,persistent,surprising,r006,completed,0,0.5,0.7941176470588235,61.36363636363637,64.66666666666667,83.33333333333333,100,65482,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r006/report.json,7581bb0d4af6ff054a420eead50619d2ee3da1aaa8e8bdb2d67e25a09e806b4d
1a87643398283251__persistent__terra_medium__r007,terra_medium,persistent,surprising,r007,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,100.0,100,64260,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r007/report.json,2a224910ef2b9a44922787c17e883cfe7fb867ea9f4dee08836816b41be450ff
1a87643398283251__persistent__terra_medium__r008,terra_medium,persistent,surprising,r008,completed,1,0.6666666666666666,0.9878048780487805,79.6068796068796,65.33333333333333,100.0,100,69061,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r008/report.json,8164ac1fba326937c6de9792c03f1ad39ea4de8b96992161486776623a3d65e1
1a87643398283251__persistent__terra_medium__r009,terra_medium,persistent,surprising,r009,completed,1,0.6666666666666666,1.0,80.0,65.33333333333333,83.33333333333333,102,44688,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__persistent__terra_medium__r009/report.json,6d544f9719f9d83507440244c99991979b9a44b53e8f6e921cde14542128a4b4
1a87643398283251__sequential__astra_medium__r001,astra_medium,sequential,surprising,r001,completed,1,0.8333333333333334,0.94,88.34586466165415,68.0,100.0,108,85780,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r001/report.json,f823281f81caf19f90754eebf29c1ac5a72bed52b50bc9a8ef7d05241f9513a8
1a87643398283251__sequential__astra_medium__r002,astra_medium,sequential,surprising,r002,completed,1,0.6666666666666666,0.9827586206896551,79.44250871080139,64.66666666666667,100.0,106,76770,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r002/report.json,1319ca78366185ca960fc0a0eec4003d93275c56c5ddcad06d7285f8a538d565
1a87643398283251__sequential__astra_medium__r003,astra_medium,sequential,surprising,r003,completed,1,0.6666666666666666,0.78,71.88940092165898,64.66666666666667,100.0,107,80984,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r003/report.json,726d722eba3ba0088441fc8d8c20d5473ff1ffcdb17e6687d011cf9ca259cc9f
1a87643398283251__sequential__astra_medium__r004,astra_medium,sequential,surprising,r004,completed,1,0.6666666666666666,1.0,80.0,64.0,100.0,104,78271,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r004/report.json,795c4c804afaa9102e9825549b6e70d639c50bfa47f3cecee6b9cc0fa68e6661
1a87643398283251__sequential__astra_medium__r005,astra_medium,sequential,surprising,r005,completed,1,0.6666666666666666,0.7450980392156863,70.37037037037037,64.66666666666667,75.0,107,78444,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r005/report.json,cde936c4f194b0d3a6280119b3c8c7689ec2f82b20a09111c6ceb6eec0609b71
1a87643398283251__sequential__astra_medium__r006,astra_medium,sequential,surprising,r006,completed,1,0.6666666666666666,0.7692307692307693,71.42857142857142,64.66666666666667,86.66666666666667,108,83366,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r006/report.json,ed71bfa0233905d137e0f3cf41cdb3c301bddb69f9b824d6f9a556847ee68ad4
1a87643398283251__sequential__astra_medium__r007,astra_medium,sequential,surprising,r007,completed,1,0.6666666666666666,0.8955223880597015,76.43312101910827,64.66666666666667,100.0,106,82352,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__sequential__astra_medium__r007/report.json,427176890f8ee4291e09d0a71d1d0d0af6c56c7c1380d0ca75ab9ffb8bbc3d3c
