feature,kind,p,effect,rr1,rr0,n1,rrs
feature_075,binary,0.12001948571117892,0.005499906367293889,0.1726038293278791,0.1671039229605852,17601.0,
feature_016,binary,0.12970775173148213,-0.005596104539803554,0.16511612341878054,0.1707122279585841,14941.0,
feature_021,binary,0.13274745869174762,0.00781473686740547,0.17590759075907592,0.16809285389167045,6060.0,
feature_020,continuous,0.13343405613353407,0.0067114113776795895,,,,
feature_024,binary,0.13439642888044567,-0.0070876589479727525,0.16302186878727634,0.1701095277352491,7545.0,
feature_034,binary,0.13877682985578113,-0.005578207624281212,0.1650214592274678,0.17059966685174902,13980.0,
feature_044,continuous,0.14179769165048378,-0.006570239816433743,,,,
feature_119,continuous,0.15280771958178843,-0.006393835953134103,,,,
feature_053,binary,0.16039464118351254,-0.024707776197919223,0.14457831325301204,0.16928608945093127,498.0,
feature_110,binary,0.1630689199309271,0.0051444244111240045,0.1726360555518639,0.1674916311407399,15049.0,
feature_038,binary,0.17236371562053943,-0.008594882172951152,0.16112789526686808,0.16972277743981923,3972.0,
feature_097,continuous,0.19403500379355648,0.00580821420654527,,,,
feature_114,binary,0.21863139402061474,0.010887253036026001,0.17950025497195307,0.16861300193592707,1961.0,
feature_055,continuous,0.23410369489009664,-0.005321285198888045,,,,
feature_076,binary,0.2777529157049008,0.00671728184157544,0.17519826964671953,0.1684809878051441,4161.0,
feature_080,binary,0.2831094274429714,-0.005644577451016736,0.1640690464219876,0.16971362387300434,5967.0,
feature_083,binary,0.2891225999333762,-0.0041592532216807865,0.165918563642193,0.1700778168638738,12476.0,
feature_123,continuous,0.3014486521085267,-0.00462129114087218,,,,
feature_098,binary,0.30643225351009956,0.008242943078325543,0.1768877763871506,0.16864483330882507,2397.0,
feature_081,binary,0.30757537738289503,0.00534485654384767,0.17374005305039789,0.16839519650655022,6032.0,
feature_082,continuous,0.3230428702400358,0.004419561780785651,,,,
feature_007,binary,0.32626455224926015,0.0033495340429150477,0.170890885521434,0.16754135147851895,22371.0,
feature_015,binary,0.3325375049696313,0.003969490709570228,0.1721304072970288,0.16816091658745858,11073.0,
feature_047,binary,0.3326128846496671,0.004102578367267989,0.17231164214476152,0.16820906377749353,10127.0,
feature_094,continuous,0.3343179848456864,-0.004317724728387546,,,,
feature_068,binary,0.3349722388962291,0.004592388929625962,0.1729393055923668,0.16834691666274085,7546.0,
feature_064,ordinal,0.33745715055935377,0.004289767865050409,,,,
feature_042,ordinal,0.36896680729513376,-0.004017897573452436,,,,
feature_109,binary,0.3691612042175564,-0.00671842494425498,0.16269982238010658,0.16941824732436156,2815.0,
feature_002,binary,0.36969267084626134,-0.003051393111569878,0.16743380769393185,0.17048520080550172,23681.0,
feature_018,ordinal,0.3715569443123925,0.003996209196553777,,,,
feature_074,binary,0.39379263638612694,0.0038600229359728733,0.17223710259694888,0.168377079660976,8587.0,
feature_065,continuous,0.39773835627921206,0.0037820202760364885,,,,
feature_067,binary,0.40188709962345504,0.003574999999999995,0.1719,0.168325,10000.0,
feature_107,binary,0.41473731678589343,0.019884930614302604,0.1888111888111888,0.1689262581968862,286.0,
feature_060,binary,0.415090529930918,0.006434139886319246,0.17514792899408285,0.1687137891077636,2535.0,
feature_086,continuous,0.41796627584953383,-0.0036223057144819564,,,,
feature_116,binary,0.4472070955426565,-0.009720939115103716,0.15950920245398773,0.16923014156909144,978.0,
feature_004,binary,0.45744378599965274,-0.0033025228561129327,0.16633510167992926,0.1696376245360422,9048.0,
feature_113,binary,0.46425732986683266,-0.00391436243170365,0.16558330482381114,0.1694976672555148,5846.0,
feature_079,binary,0.48228199984288034,0.007220561421757837,0.17604235605559232,0.16882179463383448,1511.0,
feature_105,binary,0.486215716896951,-0.0024261294110187737,0.16757951861715492,0.1700056480281737,19901.0,
feature_069,binary,0.4907592891860041,-0.0033149507898714847,0.16622162883845126,0.16953657962832275,7490.0,
feature_103,continuous,0.49433988236901377,0.003056427778741419,,,,
feature_036,binary,0.5006395655122212,-0.003993776030712576,0.1654199615302415,0.16941373756095407,4679.0,
feature_085,binary,0.5050378030449794,-0.0022862780485337075,0.16801163213376955,0.17029791018230325,27510.0,
feature_071,binary,0.5139872628279252,0.0031417664041337168,0.17171043860818558,0.16856867220405186,7501.0,
feature_009,binary,0.5197074327017673,-0.0037131053273115056,0.16569709127382146,0.16941019660113296,4985.0,
feature_008,binary,0.5325181330858355,0.008003695654068749,0.17688442211055277,0.16888072645648403,995.0,
feature_032,binary,0.5392618163788894,-0.005566317075008709,0.16369199388067313,0.16925831095568183,1961.0,
feature_070,binary,0.5396987655708188,0.002105876568860604,0.17019486271036316,0.16808898614150256,22580.0,
feature_087,categorical,0.5402723157880647,0.005635197408490333,,,,"{'medicaid': 0.16871653885110693, 'medicare': 0.1718131055218823, 'private': 0.16655052264808362, 'uninsured': 0.16617790811339198}"
feature_003,continuous,0.5418355731525887,-0.002728243176369304,,,,
feature_066,continuous,0.5444590547251835,-0.00271055229772899,,,,
feature_048,continuous,0.5455271966176838,0.00270336166214392,,,,
feature_029,binary,0.5540707004010454,-0.002123811508498441,0.16765850308995192,0.16978231459845036,17476.0,
feature_096,ordinal,0.5555926608535557,0.002635940357485919,,,,
feature_040,binary,0.5562519353207174,0.002521647022893675,0.17105393861130427,0.1685322915884106,10067.0,
feature_112,binary,0.5634538880214438,-0.002570811616409735,0.16693980115809023,0.16951061277449997,9153.0,
feature_017,binary,0.5719778923253279,-0.0019444290134429942,0.1679704862654458,0.1699149152788888,22498.0,
feature_100,binary,0.5780894999477996,-0.007102083689136757,0.16208251473477406,0.16918459842391081,1018.0,
feature_050,binary,0.5868557158199176,0.005680838574128599,0.17455029980013326,0.16886946122600466,1501.0,
feature_061,binary,0.5893542658525355,0.0034632981992932244,0.17222498755599802,0.1687616893567048,4018.0,
feature_115,binary,0.5933853421874593,-0.001992687169557056,0.16765324914496185,0.1696459363145189,15204.0,
feature_025,binary,0.5960467106789531,-0.0018267796547662973,0.168033152125479,0.1698599317802453,22442.0,
feature_089,binary,0.6117145550316699,-0.0017804725387588205,0.1679669804197916,0.16974745295855043,19867.0,
feature_001,binary,0.6236470402462395,-0.0023774234360258995,0.16702071163037704,0.16939813506640294,7532.0,
feature_056,continuous,0.6584447515986055,-0.0019770063233775725,,,,
feature_104,binary,0.6677848702134612,0.0019405323013091669,0.17063139172965763,0.16869085942834847,8996.0,
feature_041,binary,0.6971231784493142,0.0022737859997926935,0.17108386075949367,0.16881007475970097,5056.0,
feature_122,binary,0.7015008091689285,-0.0013311790866392115,0.16831070022559383,0.16964187931223304,22607.0,
feature_106,continuous,0.7057413987045615,0.0016886374841848816,,,,
feature_049,binary,0.7159061314390989,-0.001525719485229865,0.16785295972610145,0.16937867921133132,11099.0,
feature_118,binary,0.7175997366933216,-0.002124223324114771,0.16712981341802302,0.1692540367421378,5038.0,
feature_088,binary,0.7374416624195319,-0.0012705734554245285,0.16815387666071782,0.16942445011614235,15129.0,
feature_062,continuous,0.7407658665089613,-0.0014795945525053731,,,,
feature_124,binary,0.7436233395194475,-0.0016228580043393115,0.1676573898946231,0.1692802478989624,7402.0,
feature_095,binary,0.7518671821230047,0.0011550569781619002,0.16979083323808436,0.16863577625992246,17498.0,
feature_117,binary,0.753723442582853,-0.004380576687786741,0.16474291710388247,0.16912349379166922,953.0,
feature_073,binary,0.7625465795435331,0.0020178601328273427,0.17089893346876586,0.16888107333593852,3938.0,
feature_052,binary,0.7671729868148749,0.0062320067972979065,0.1752136752136752,0.1689816684163773,468.0,
feature_010,continuous,0.8115151837368121,0.0010665046771100722,,,,
feature_059,continuous,0.8145237098917698,-0.0010491631075845121,,,,
feature_090,continuous,0.8157165122267986,-0.0010422920055498533,,,,
feature_013,binary,0.8178766692199987,-0.001161948452692213,0.16805146073438756,0.16921340918707978,7462.0,
feature_026,binary,0.8191583365462801,0.0012905565335879776,0.17017994858611826,0.16888939205253028,5835.0,
feature_046,binary,0.8196724339528119,-0.0008276861612504793,0.16853055916775034,0.16935824532900082,19225.0,
feature_120,continuous,0.8305473636422916,-0.0009570590444648473,,,,
feature_078,continuous,0.8325111270625407,0.0009457999731901583,,,,
feature_043,binary,0.8411231444832227,0.0007271384712705664,0.16947546868767452,0.16874833021640395,20056.0,
feature_022,binary,0.858656127871878,0.0010158750515247839,0.16993464052287582,0.16891876547135104,5967.0,
feature_058,binary,0.8607073321947488,-0.0020939378403953546,0.16700749829584186,0.1691014361362372,1467.0,
feature_051,binary,0.9148113373064488,-0.0004702077962351059,0.16868547272579465,0.16915568052202976,12301.0,
feature_039,binary,0.9228062463533953,-0.0005317757803666723,0.16858846918489065,0.16912024496525732,7545.0,
feature_019,continuous,0.9380011138351655,0.0003478623391315723,,,,
feature_072,binary,0.9630966670254515,0.0004986120567747332,0.16950819672131148,0.16900958466453675,3050.0,
feature_101,continuous,0.9740980523387235,-0.00014520932808658788,,,,
feature_077,continuous,0.978599918635465,-0.00011996465144439674,,,,
feature_037,continuous,0.9919919519442253,4.4886914772799634e-05,,,,
feature_102,binary,1.0,0.000124966737134663,0.16915760869565216,0.1690326419585175,2944.0,
feature_023,binary,1.0,3.4530360489337664e-05,0.16906762705082032,0.16903309669033098,9996.0,
feature_108,binary,1.0,0.001422053899132858,0.17045454545454544,0.16903249155541258,264.0,
