,coef,OR,p
feature_050,0.051844754688212216,1.0532122235608923,0.45835080059347266
feature_005_hispanic,0.04325868299681738,1.0442079787652958,0.46382405278188765
feature_089,-0.017804541037761377,0.9823530232970002,0.4705688011502176
feature_029,-0.018070250893990506,0.9820920370912529,0.4758459205958442
feature_070,0.017223015088220193,1.0173721863751446,0.4773388531195717
feature_040,0.021119324122642613,1.0213439153333583,0.48130632838572895
feature_008,0.059308459097163244,1.0611024969831986,0.48483219471047667
feature_004,-0.02151162234650734,0.9787181024021261,0.49469295098834365
feature_094,-0.008137559226997246,0.9918954610791509,0.5003013104173382
feature_122,-0.01629999358948907,0.9838321324474363,0.5015242527870596
feature_116,-0.0562108890965656,0.9453397530208365,0.527949266389909
feature_017,-0.015251915013719931,0.9848638063708374,0.5296319386998902
feature_085,-0.015126416937936083,0.9849874126394583,0.5325985104888739
feature_105,-0.01538508581150525,0.9847326600046601,0.5330409311824473
feature_061,0.02747855109645422,1.0278595684100733,0.5332495238398347
feature_117,-0.05521591468072525,0.9462808099755308,0.535287064068791
feature_104,0.019358597411549546,1.0195471900556907,0.5365765806591043
feature_112,-0.019291852927243298,0.980893043957232,0.537976039186995
feature_087_medicare,0.020756137251022704,1.0209730439837796,0.5787369604779784
feature_079,0.03839042725907206,1.0391368610456573,0.5803106050414473
feature_013,-0.018576593496052892,0.9815948879282494,0.584055216833244
feature_087_private,-0.020223812337914877,0.9799793172982677,0.5916784205543357
feature_071,0.01763847866734034,1.0177949552814536,0.6000027121922781
feature_066,-0.006279518968217465,0.9937401560063515,0.6045203423934558
feature_096,0.005437539035028774,1.0054523492820049,0.6087103341918694
feature_069,-0.017409519177772573,0.9827411508698195,0.6087246289514427
feature_067,0.015251867691151616,1.015368771000298,0.6140194558618624
feature_095,0.012570916479829962,1.0126502625862326,0.6189466714115008
feature_041,0.019274353073569964,1.0194613025954424,0.6286644366810631
feature_005_black,-0.02974853118191233,0.970689601026242,0.6307133614959384
feature_001,-0.016217168352993742,0.9839136219511251,0.6321662436948805
feature_010,0.005702527293503385,1.0057188176529557,0.6361294076612649
feature_049,-0.013262542197497153,0.9868250177984556,0.6484713830350226
feature_056,-0.0053251247835988365,0.9946890285594644,0.6589870282221588
feature_026,0.01605570928297069,1.016185294783384,0.6685133561353039
feature_120,0.005047736411832449,1.0050604976961055,0.6696495446244273
feature_046,-0.010448388927291321,0.9896060058774361,0.67374879292278
feature_058,-0.029268804821641847,0.9711553781293392,0.6838417521006972
feature_073,0.016417238548359792,1.0165527419239515,0.7128614477349404
feature_118,-0.014633685009195782,0.9854728669766772,0.7161347628648277
feature_025,-0.008254951288247141,0.9917790272607672,0.7337750174072413
feature_101,0.004046783021304691,1.0040549823042242,0.7372359924702518
feature_100,-0.02857890783820881,0.9718256064628248,0.7420583585535301
feature_115,-0.008579738275826738,0.9914569626421883,0.7441029162461711
feature_037,0.003737192872834181,1.003744184885572,0.756294750622707
feature_088,-0.008011805734954764,0.9920202032403396,0.7606168523518537
feature_078,0.003104467050501565,1.00310929089887,0.7970690735682204
feature_043,0.0056830184291643895,1.005699197412364,0.8173433322189187
feature_124,-0.0072902575081670445,0.9927362519597006,0.8305670560084059
feature_090,-0.002103443224984792,0.9978987674614261,0.8620038363570863
feature_102,0.008749604839137644,1.0087879945147036,0.8644463932718316
feature_072,0.008148976983544965,1.0081822702704473,0.8714333614972425
feature_059,-0.0018821700849236326,0.9981196000864286,0.8762241991980287
feature_052,0.01802876244703525,1.0181922616696315,0.8840292242111699
feature_087_uninsured,-0.009942607122891535,0.9901066571882224,0.8841993238808583
feature_108,0.02053716174163608,1.020749500367585,0.9016385217794621
feature_022,0.004366377457855759,1.0043759239734142,0.9064316020917997
feature_036,-0.004875041127452056,0.9951368225989975,0.9074138670616967
feature_039,-0.003914124649306468,0.9960935255520433,0.9076331562115852
feature_106,0.001148193854160145,1.0011488532810826,0.9241176578823653
feature_051,-0.0023690191825021254,0.9976337847288311,0.9326435024335461
feature_019,-0.0006223036852918676,0.999377889905487,0.9588799582610086
feature_023,-0.0004949852524322448,0.9995051372325575,0.9869126682064424
feature_062,-6.82499713839029e-05,0.9999317523575925,0.99549347943109
feature_077,6.267058942811134e-05,1.0000626725532704,0.9958591154305758
