feature,n_pos,p1,p0,diff,pval
feature_071,7501,0.17171043860818558,0.16856867220405186,0.0031417664041337168,0.5139872628279252
feature_009,4985,0.16569709127382146,0.16941019660113296,-0.0037131053273115056,0.5197074327017673
feature_008,995,0.17688442211055277,0.16888072645648403,0.008003695654068749,0.5325181330858355
feature_032,1961,0.16369199388067313,0.16925831095568183,-0.005566317075008709,0.5392618163788894
feature_070,22580,0.17019486271036316,0.16808898614150256,0.002105876568860604,0.5396987655708188
feature_029,17476,0.16765850308995192,0.16978231459845036,-0.002123811508498441,0.5540707004010454
feature_040,10067,0.17105393861130427,0.1685322915884106,0.002521647022893675,0.5562519353207174
feature_112,9153,0.16693980115809023,0.16951061277449997,-0.002570811616409735,0.5634538880214438
feature_017,22498,0.1679704862654458,0.1699149152788888,-0.0019444290134429942,0.5719778923253279
feature_100,1018,0.16208251473477406,0.16918459842391081,-0.007102083689136757,0.5780894999477996
feature_050,1501,0.17455029980013326,0.16886946122600466,0.005680838574128599,0.5868557158199176
feature_061,4018,0.17222498755599802,0.1687616893567048,0.0034632981992932244,0.5893542658525355
feature_115,15204,0.16765324914496185,0.1696459363145189,-0.001992687169557056,0.5933853421874593
feature_025,22442,0.168033152125479,0.1698599317802453,-0.0018267796547662973,0.5960467106789531
feature_089,19867,0.1679669804197916,0.16974745295855043,-0.0017804725387588205,0.6117145550316699
feature_001,7532,0.16702071163037704,0.16939813506640294,-0.0023774234360258995,0.6236470402462395
feature_104,8996,0.17063139172965763,0.16869085942834847,0.0019405323013091669,0.6677848702134612
feature_041,5056,0.17108386075949367,0.16881007475970097,0.0022737859997926935,0.6971231784493142
feature_122,22607,0.16831070022559383,0.16964187931223304,-0.0013311790866392115,0.7015008091689285
feature_049,11099,0.16785295972610145,0.16937867921133132,-0.001525719485229865,0.7159061314390989
feature_118,5038,0.16712981341802302,0.1692540367421378,-0.002124223324114771,0.7175997366933216
feature_088,15129,0.16815387666071782,0.16942445011614235,-0.0012705734554245285,0.7374416624195319
feature_124,7402,0.1676573898946231,0.1692802478989624,-0.0016228580043393115,0.7436233395194475
feature_095,17498,0.16979083323808436,0.16863577625992246,0.0011550569781619002,0.7518671821230047
feature_117,953,0.16474291710388247,0.16912349379166922,-0.004380576687786741,0.753723442582853
feature_073,3938,0.17089893346876586,0.16888107333593852,0.0020178601328273427,0.7625465795435331
feature_052,468,0.1752136752136752,0.1689816684163773,0.0062320067972979065,0.7671729868148749
feature_013,7462,0.16805146073438756,0.16921340918707978,-0.001161948452692213,0.8178766692199987
feature_026,5835,0.17017994858611826,0.16888939205253028,0.0012905565335879776,0.8191583365462801
feature_046,19225,0.16853055916775034,0.16935824532900082,-0.0008276861612504793,0.8196724339528119
feature_043,20056,0.16947546868767452,0.16874833021640395,0.0007271384712705664,0.8411231444832227
feature_022,5967,0.16993464052287582,0.16891876547135104,0.0010158750515247839,0.858656127871878
feature_058,1467,0.16700749829584186,0.1691014361362372,-0.0020939378403953546,0.8607073321947488
feature_051,12301,0.16868547272579465,0.16915568052202976,-0.0004702077962351059,0.9148113373064488
feature_039,7545,0.16858846918489065,0.16912024496525732,-0.0005317757803666723,0.9228062463533953
feature_072,3050,0.16950819672131148,0.16900958466453675,0.0004986120567747332,0.9630966670254515
feature_102,2944,0.16915760869565216,0.1690326419585175,0.000124966737134663,1.0
feature_023,9996,0.16906762705082032,0.16903309669033098,3.4530360489337664e-05,1.0
feature_108,264,0.17045454545454544,0.16903249155541258,0.001422053899132858,1.0
