feature,kind,n1,n0,rate1,rate0,diff,beta,OR,p,n_levels,rate_min,rate_max,mean_resp1,mean_resp0,beta_per_sd,OR_per_sd,rates,chi2
feature_119,continuous,,,,,-0.004964402470578944,,,0.18821999673142908,,,,0.6664339801230478,0.6713983825936267,-0.015823771884950974,0.9843007662404649,,
feature_114,binary,1961.0,48039.0,0.17950025497195307,0.16861300193592707,0.010887253036026001,0.07575225704521019,1.0786953018898322,0.2074424765475057,,,,,,,,,
feature_064,ordinal,,,,,0.011717767300060494,0.013493497291396038,1.013584945381231,0.21025827647745932,5.0,0.1687424668541583,0.1804602341542188,,,,,,
feature_097,continuous,,,,,0.22246657296827266,,,0.215207099931235,,,,130.21202082347372,129.98955425050545,0.014789336965108629,1.0148992403399955,,
feature_065,continuous,,,,,0.17366835141181625,,,0.23226831191360298,,,,25.907369853289165,25.73370150187735,0.014150915754173042,1.0142515139211423,,
feature_076,binary,4161.0,45839.0,0.17519826964671953,0.1684809878051441,0.00671728184157544,0.04720652329962001,1.0483384930490975,0.26834068985695947,,,,,,,,,
feature_080,binary,5967.0,44033.0,0.1640690464219876,0.16971362387300434,-0.005644577451016736,-0.04060044263161942,0.9602127133757452,0.2749640705193297,,,,,,,,,
feature_083,binary,12476.0,37524.0,0.165918563642193,0.1700778168638738,-0.0041592532216807865,-0.029758093027652966,0.9706803194863893,0.2829085736691088,,,,,,,,,
feature_098,binary,2397.0,47603.0,0.1768877763871506,0.16864483330882507,0.008242943078325543,0.057685124042327174,1.0593813694643515,0.2934747295878175,,,,,,,,,
feature_081,binary,6032.0,43968.0,0.17374005305039789,0.16839519650655022,0.00534485654384767,0.0376945594940202,1.0384140107338626,0.29899533757692554,,,,,,,,,
feature_003,continuous,,,,,-0.839885464697943,,,0.3120372431056839,,,,249.1384287742546,249.97831423895255,-0.012063842823524663,0.9880086335875375,,
feature_007,binary,22371.0,27629.0,0.170890885521434,0.16754135147851895,0.0033495340429150477,0.02382684206507835,1.0241129692495208,0.3203927883157356,,,,,,,,,
feature_047,binary,10127.0,39873.0,0.17231164214476152,0.16820906377749353,0.004102578367267989,0.02904150382581842,1.029467320420832,0.3252706007829679,,,,,,,,,
feature_015,binary,11073.0,38927.0,0.1721304072970288,0.16816091658745858,0.003969490709570228,0.02811438120726723,1.0285133202888956,0.3254297748470777,,,,,,,,,
feature_068,binary,7546.0,42454.0,0.1729393055923668,0.16834691666274085,0.004592388929625962,0.03245117114854375,1.032983452516944,0.32670114616650536,,,,,,,,,
feature_018,ordinal,,,,,0.02229188589556841,0.004221746767597892,1.0042306708945312,0.3399058402869266,11.0,0.16768172888015717,0.18997361477572558,,,,,,
feature_055,continuous,,,,,-0.9004193736472814,,,0.35069827372485984,,,,223.07053951727403,223.9709588909213,-0.011182763020357624,0.9888795316489525,,
feature_042,ordinal,,,,,-0.011937784477247776,-0.010148366198432986,0.9899029547152869,0.3533504869022771,5.0,0.17201782449725778,0.16008004002001,,,,,,
feature_123,continuous,,,,,-0.005544489997621582,,,0.35518251215322516,,,,4.197278750591576,4.202823240589198,-0.011033202842314427,0.9890274397080713,,
feature_109,binary,2815.0,47185.0,0.16269982238010658,0.16941824732436156,-0.00671842494425498,-0.04851985051163641,0.9526384287579281,0.3555660907687894,,,,,,,,,
feature_094,continuous,,,,,-0.0328088812460976,,,0.36028523964433756,,,,139.94261713203974,139.97542601328584,-0.010916442551608521,0.9891429255813986,,
feature_002,binary,23681.0,26319.0,0.16743380769393185,0.17048520080550172,-0.003051393111569878,-0.021732177344128314,0.978502265036259,0.3633565029550617,,,,,,,,,
feature_107,binary,286.0,49714.0,0.1888111888111888,0.1689262581968862,0.019884930614302604,0.1355029267803504,1.1451125473224337,0.37131043519737783,,,,,,,,,
feature_074,binary,8587.0,41413.0,0.17223710259694888,0.168377079660976,0.0038600229359728733,0.02731840475691558,1.0276949736426093,0.38508881887930557,,,,,,,,,
feature_086,continuous,,,,,-0.020289580275971275,,,0.39157548123642727,,,,95.96628017037388,95.98656975064985,-0.010220263128217026,0.989831786290485,,
feature_067,binary,10000.0,40000.0,0.1719,0.168325,0.003574999999999995,0.025324097425194352,1.0256474763699313,0.3935735130325485,,,,,,,,,
feature_060,binary,2535.0,47465.0,0.17514792899408285,0.1687137891077636,0.006434139886319246,0.04519729233918712,1.046234253551326,0.39973321022839636,,,,,,,,,
feature_116,binary,978.0,49022.0,0.15950920245398773,0.16923014156909144,-0.009720939115103716,-0.07079114960554674,0.9316564486270748,0.4219748032763111,,,,,,,,,
feature_103,continuous,,,,,0.047646952662214304,,,0.42311151581023243,,,,15.025792711784193,14.978145759121979,0.009556982882452937,1.0096027966742602,,
feature_004,binary,9048.0,40952.0,0.16633510167992926,0.1696376245360422,-0.0033025228561129327,-0.02362942175379781,0.9766475670481025,0.4481238143231282,,,,,,,,,
feature_113,binary,5846.0,44154.0,0.16558330482381114,0.1694976672555148,-0.00391436243170365,-0.028066917827896727,0.9723232988609954,0.45301276062436846,,,,,,,,,
feature_079,binary,1511.0,48489.0,0.17604235605559232,0.16882179463383448,0.007220561421757837,0.050606029682016294,1.051908390954484,0.4608709841289612,,,,,,,,,
feature_105,binary,19901.0,30099.0,0.16757951861715492,0.1700056480281737,-0.0024261294110187737,-0.017292487087721367,0.9828561698510098,0.47862006973705207,,,,,,,,,
feature_069,binary,7490.0,42510.0,0.16622162883845126,0.16953657962832275,-0.0033149507898714847,-0.023730443439320896,0.9765489094480797,0.4803084152702356,,,,,,,,,
feature_036,binary,4679.0,45321.0,0.1654199615302415,0.16941373756095407,-0.003993776030712576,-0.028653271277350283,0.9717533408554753,0.48771434524953705,,,,,,,,,
feature_085,binary,27510.0,22490.0,0.16801163213376955,0.17029791018230325,-0.0022862780485337075,-0.01626785166897707,0.98386375520984,0.497408552800387,,,,,,,,,
feature_071,binary,7501.0,42499.0,0.17171043860818558,0.16856867220405186,0.0031417664041337168,0.02225224654495661,1.022501674457736,0.5032793707369589,,,,,,,,,
feature_008,binary,995.0,49005.0,0.17688442211055277,0.16888072645648403,0.008003695654068749,0.05598052073337767,1.0575770827099977,0.5048978005408097,,,,,,,,,
feature_009,binary,4985.0,45015.0,0.16569709127382146,0.16941019660113296,-0.0037131053273115056,-0.026622084144956523,0.9737291596868682,0.5068863069928462,,,,,,,,,
feature_048,continuous,,,,,0.19170285996762004,,,0.5082081050042502,,,,27.628314008518696,27.436611148551076,0.007848738086802394,1.007879620173845,,
feature_082,continuous,,,,,0.038867799136053094,,,0.5140624868502268,,,,26.027697586370092,25.98882978723404,0.007785389174466306,1.0078157741184517,,
feature_096,ordinal,,,,,0.007536134247917686,0.006848207694052959,1.006871710287947,0.5145364751033186,5.0,0.16938694267515925,0.17692307692307693,,,,,,
feature_032,binary,1961.0,48039.0,0.16369199388067313,0.16925831095568183,-0.005566317075008709,-0.040117509862668176,0.9606765435505786,0.5191707575174545,,,,,,,,,
feature_120,continuous,,,,,0.07105740156009777,,,0.5241229066381874,,,,5.848858258400379,5.777800856840281,0.0074398517686222595,1.0074675962280009,,
feature_070,binary,22580.0,27420.0,0.17019486271036316,0.16808898614150256,0.002105876568860604,0.014985094984161444,1.015097934452171,0.5318044046468446,,,,,,,,,
feature_087,categorical,,,,,,,,0.5402723157880647,,,,,,,,"{'medicaid': 0.16871653885110693, 'medicare': 0.1718131055218823, 'private': 0.16655052264808362, 'uninsured': 0.16617790811339198}",2.157980178908271
feature_029,binary,17476.0,32524.0,0.16765850308995192,0.16978231459845036,-0.002123811508498441,-0.01514279487628166,0.9849712807084472,0.5457237436073561,,,,,,,,,
feature_040,binary,10067.0,39933.0,0.17105393861130427,0.1685322915884106,0.002521647022893675,0.01788893852098068,1.0180499039828639,0.5463156386286314,,,,,,,,,
feature_100,binary,1018.0,48982.0,0.16208251473477406,0.16918459842391081,-0.007102083689136757,-0.051396860678999644,0.9499016171177864,0.5496003664658768,,,,,,,,,
feature_112,binary,9153.0,40847.0,0.16693980115809023,0.16951061277449997,-0.002570811616409735,-0.018373018654067774,0.9817947362938124,0.5530870327210076,,,,,,,,,
feature_066,continuous,,,,,-0.014473926940329118,,,0.5626922100892869,,,,3.492419545669664,3.506893472609993,-0.0069399228461954066,0.9930841028075047,,
feature_050,binary,1501.0,48499.0,0.17455029980013326,0.16886946122600466,0.005680838574128599,0.039945493348318525,1.0407540446281363,0.5630447227987467,,,,,,,,,
feature_017,binary,22498.0,27502.0,0.1679704862654458,0.1699149152788888,-0.0019444290134429942,-0.013849232602654053,0.9862462268311,0.5638510024366887,,,,,,,,,
feature_061,binary,4018.0,45982.0,0.17222498755599802,0.1687616893567048,0.0034632981992932244,0.024489227736458397,1.0247915517230688,0.574315963669134,,,,,,,,,
feature_115,binary,15204.0,34796.0,0.16765324914496185,0.1696459363145189,-0.001992687169557056,-0.014212613614823734,0.9858879087858754,0.584445157744706,,,,,,,,,
feature_025,binary,22442.0,27558.0,0.168033152125479,0.1698599317802453,-0.0018267796547662973,-0.013011022991265633,0.9870732544604571,0.5877583932673156,,,,,,,,,
feature_056,continuous,,,,,-0.001903956495548531,,,0.5921629181923816,,,,1.001271888310459,1.0031758448060075,-0.006393093846179012,0.9936272984984177,,
feature_089,binary,19867.0,30133.0,0.1679669804197916,0.16974745295855043,-0.0017804725387588205,-0.01268654567473623,0.9873935893091679,0.6031906367913668,,,,,,,,,
feature_001,binary,7532.0,42468.0,0.16702071163037704,0.16939813506640294,-0.0023774234360258995,-0.01699214811549768,0.9831514041958771,0.6119002265883513,,,,,,,,,
feature_104,binary,8996.0,41004.0,0.17063139172965763,0.16869085942834847,0.0019405323013091669,0.013774857861985148,1.0138701683431701,0.6565223561880491,,,,,,,,,
feature_041,binary,5056.0,44944.0,0.17108386075949367,0.16881007475970097,0.0022737859997926935,0.016118913001443837,1.0162495235023976,0.6825452625956215,,,,,,,,,
feature_122,binary,22607.0,27393.0,0.16831070022559383,0.16964187931223304,-0.0013311790866392115,-0.009479800183299733,0.9905649914720679,0.6926348071166161,,,,,,,,,
feature_010,continuous,,,,,0.01183441696091414,,,0.692776787110285,,,,7.510257927117841,7.498423510156927,0.0047142765362206225,1.0047254062204474,,
feature_118,binary,5038.0,44962.0,0.16712981341802302,0.1692540367421378,-0.002124223324114771,-0.015183669478819068,0.9849310212216383,0.702842581053355,,,,,,,,,
feature_049,binary,11099.0,38901.0,0.16785295972610145,0.16937867921133132,-0.001525719485229865,-0.010883713543367951,0.9891752997781458,0.7052146461855371,,,,,,,,,
feature_078,continuous,,,,,0.04681288466674971,,,0.7182870183586691,,,,68.03064363464269,67.98383074997594,0.00430526071892689,1.0043145416680446,,
feature_052,binary,468.0,49532.0,0.1752136752136752,0.1689816684163773,0.0062320067972979065,0.04374349394830797,1.0447143449650567,0.7203390703418946,,,,,,,,,
feature_117,binary,953.0,49047.0,0.16474291710388247,0.16912349379166922,-0.004380576687786741,-0.03150138590138084,0.9689896135287657,0.7208279736763117,,,,,,,,,
feature_088,binary,15129.0,34871.0,0.16815387666071782,0.16942445011614235,-0.0012705734554245285,-0.009056194465993012,0.9909846893527543,0.7276673711279773,,,,,,,,,
feature_124,binary,7402.0,42598.0,0.1676573898946231,0.1692802478989624,-0.0016228580043393115,-0.01158471268932728,0.9884821317212904,0.7309537843794438,,,,,,,,,
feature_095,binary,17498.0,32502.0,0.16979083323808436,0.16863577625992246,0.0011550569781619002,0.008216384995459533,1.0082502321234947,0.7423925251748773,,,,,,,,,
feature_073,binary,3938.0,46062.0,0.17089893346876586,0.16888107333593852,0.0020178601328273427,0.014308426129509048,1.0144112816399915,0.7457220491763558,,,,,,,,,
feature_026,binary,5835.0,44165.0,0.17017994858611826,0.16888939205253028,0.0012905565335879776,0.009166399010422382,1.0092085391050585,0.8047459319897879,,,,,,,,,
feature_013,binary,7462.0,42538.0,0.16805146073438756,0.16921340918707978,-0.001161948452692213,-0.00828808343547806,0.9917461680363667,0.8048926935308981,,,,,,,,,
feature_046,binary,19225.0,30775.0,0.16853055916775034,0.16935824532900082,-0.0008276861612504793,-0.0058951184562367615,0.9941222236598922,0.8101517537926626,,,,,,,,,
feature_059,continuous,,,,,-0.07089200462226586,,,0.8284411757035058,,,,107.71774017983908,107.78863218446135,-0.0025875333412346694,0.9974158114376305,,
feature_043,binary,20056.0,29944.0,0.16947546868767452,0.16874833021640395,0.0007271384712705664,0.005174888259495153,1.005188301120449,0.8316157381329559,,,,,,,,,
feature_058,binary,1467.0,48533.0,0.16700749829584186,0.1691014361362372,-0.0020939378403953546,-0.014976955618503991,0.9851346411599858,0.8330232113806587,,,,,,,,,
feature_022,binary,5967.0,44033.0,0.16993464052287582,0.16891876547135104,0.0010158750515247839,0.00721907511320205,1.0072451954530144,0.8442279266555323,,,,,,,,,
feature_101,continuous,,,,,0.0036200678329807445,,,0.8651588722874961,,,,4.494794131566493,4.491174063733513,0.0020262112724007777,1.0020282654256094,,
feature_062,continuous,,,,,-0.0021365764415466337,,,0.8729774629955569,,,,1.9064753904401324,1.908611966881679,-0.001910066572293252,0.9980917564439832,,
feature_106,continuous,,,,,0.018545937618796415,,,0.8968386860122166,,,,77.96131093232371,77.94276499470492,0.0015471171362457163,1.0015483145393904,,
feature_051,binary,12301.0,37699.0,0.16868547272579465,0.16915568052202976,-0.0004702077962351059,-0.003349384264038868,0.9966562186662341,0.9038300440011093,,,,,,,,,
feature_039,binary,7545.0,42455.0,0.16858846918489065,0.16912024496525732,-0.0005317757803666723,-0.003789129517930396,0.9962180401748313,0.9095809575696356,,,,,,,,,
feature_019,continuous,,,,,-0.0005917582095396057,,,0.9211846314076415,,,,9.3960482725982,9.39664003080774,-0.0011806346747924529,0.9988200620001254,,
feature_037,continuous,,,,,0.0035027538837617556,,,0.921528081468324,,,,13.017510648367251,13.01400789448349,0.0011754459355836982,1.0011761370429173,,
feature_072,binary,3050.0,46950.0,0.16950819672131148,0.16900958466453675,0.0004986120567747332,0.0035460580971051095,1.00355235279938,0.9432411268248879,,,,,,,,,
feature_090,continuous,,,,,0.024893305371751495,,,0.9495312350629376,,,,26.246254141031713,26.22136083565996,0.0007542231114757139,1.000754507609247,,
feature_108,binary,264.0,49736.0,0.17045454545454544,0.16903249155541258,0.001422053899132858,0.010090500531946182,1.0101415812980366,0.9509715347975227,,,,,,,,,
feature_077,continuous,,,,,-0.005418430269628516,,,0.9636527908176551,,,,79.99455750118315,79.99997593145278,-0.0005437722697273898,0.999456375547619,,
feature_102,binary,2944.0,47056.0,0.16915760869565216,0.1690326419585175,0.000124966737134663,0.0008894305703346642,1.000889826231,0.9859970742475676,,,,,,,,,
feature_023,binary,9996.0,40004.0,0.16906762705082032,0.16903309669033098,3.4530360489337664e-05,0.00024581608964523,1.000245846304896,0.9934259759481597,,,,,,,,,
