feature,kind,test,p,effect,detail
feature_021,binary,chi2,0.13274745869174762,0.00781473686740547,"{'rate_pos': np.float64(0.17590759075907592), 'rate_neg': np.float64(0.16809285389167045), 'prev': np.float64(0.1212)}"
feature_024,binary,chi2,0.13439642888044567,-0.0070876589479727525,"{'rate_pos': np.float64(0.16302186878727634), 'rate_neg': np.float64(0.1701095277352491), 'prev': np.float64(0.1509)}"
feature_034,binary,chi2,0.13877682985578113,-0.005578207624281212,"{'rate_pos': np.float64(0.1650214592274678), 'rate_neg': np.float64(0.17059966685174902), 'prev': np.float64(0.2796)}"
feature_044,cont,ttest,0.14838763696674034,-0.030860143356047587,"{'mean_resp': np.float64(12.480726455276859), 'mean_nonresp': np.float64(12.511586598632906)}"
feature_053,binary,chi2,0.16039464118351254,-0.024707776197919223,"{'rate_pos': np.float64(0.14457831325301204), 'rate_neg': np.float64(0.16928608945093127), 'prev': np.float64(0.00996)}"
feature_110,binary,chi2,0.1630689199309271,0.0051444244111240045,"{'rate_pos': np.float64(0.1726360555518639), 'rate_neg': np.float64(0.1674916311407399), 'prev': np.float64(0.30098)}"
feature_038,binary,chi2,0.17236371562053943,-0.008594882172951152,"{'rate_pos': np.float64(0.16112789526686808), 'rate_neg': np.float64(0.16972277743981923), 'prev': np.float64(0.07944)}"
feature_119,cont,ttest,0.18608842759238545,-0.004964402470578944,"{'mean_resp': np.float64(0.6664339801230478), 'mean_nonresp': np.float64(0.6713983825936267)}"
feature_064,cont,ttest,0.2144468873681128,0.01651465702764443,"{'mean_resp': np.float64(1.3607430194036914), 'mean_nonresp': np.float64(1.344228362376047)}"
feature_097,cont,ttest,0.21641520080832227,0.22246657296827266,"{'mean_resp': np.float64(130.21202082347372), 'mean_nonresp': np.float64(129.98955425050545)}"
feature_114,binary,chi2,0.21863139402061474,0.010887253036026001,"{'rate_pos': np.float64(0.17950025497195307), 'rate_neg': np.float64(0.16861300193592707), 'prev': np.float64(0.03922)}"
feature_065,cont,ttest,0.23900768390705196,0.17366835141181625,"{'mean_resp': np.float64(25.907369853289165), 'mean_nonresp': np.float64(25.73370150187735)}"
feature_076,binary,chi2,0.2777529157049008,0.00671728184157544,"{'rate_pos': np.float64(0.17519826964671953), 'rate_neg': np.float64(0.1684809878051441), 'prev': np.float64(0.08322)}"
feature_080,binary,chi2,0.2831094274429714,-0.005644577451016736,"{'rate_pos': np.float64(0.1640690464219876), 'rate_neg': np.float64(0.16971362387300434), 'prev': np.float64(0.11934)}"
feature_083,binary,chi2,0.2891225999333762,-0.0041592532216807865,"{'rate_pos': np.float64(0.165918563642193), 'rate_neg': np.float64(0.1700778168638738), 'prev': np.float64(0.24952)}"
feature_098,binary,chi2,0.30643225351009956,0.008242943078325543,"{'rate_pos': np.float64(0.1768877763871506), 'rate_neg': np.float64(0.16864483330882507), 'prev': np.float64(0.04794)}"
feature_081,binary,chi2,0.30757537738289503,0.00534485654384767,"{'rate_pos': np.float64(0.17374005305039789), 'rate_neg': np.float64(0.16839519650655022), 'prev': np.float64(0.12064)}"
feature_003,cont,ttest,0.3119952827181536,-0.839885464697943,"{'mean_resp': np.float64(249.1384287742546), 'mean_nonresp': np.float64(249.97831423895255)}"
feature_007,binary,chi2,0.32626455224926015,0.0033495340429150477,"{'rate_pos': np.float64(0.170890885521434), 'rate_neg': np.float64(0.16754135147851895), 'prev': np.float64(0.44742)}"
feature_015,binary,chi2,0.3325375049696313,0.003969490709570228,"{'rate_pos': np.float64(0.1721304072970288), 'rate_neg': np.float64(0.16816091658745858), 'prev': np.float64(0.22146)}"
feature_047,binary,chi2,0.3326128846496671,0.004102578367267989,"{'rate_pos': np.float64(0.17231164214476152), 'rate_neg': np.float64(0.16820906377749353), 'prev': np.float64(0.20254)}"
feature_068,binary,chi2,0.3349722388962291,0.004592388929625962,"{'rate_pos': np.float64(0.1729393055923668), 'rate_neg': np.float64(0.16834691666274085), 'prev': np.float64(0.15092)}"
feature_018,cont,ttest,0.34129920472900593,0.030652086541429036,"{'mean_resp': np.float64(3.223970657832466), 'mean_nonresp': np.float64(3.193318571291037)}"
feature_055,cont,ttest,0.3513802189091807,-0.9004193736472814,"{'mean_resp': np.float64(223.07053951727403), 'mean_nonresp': np.float64(223.9709588909213)}"
feature_042,cont,ttest,0.35200025943017743,-0.012125080264561161,"{'mean_resp': np.float64(1.1008045433033602), 'mean_nonresp': np.float64(1.1129296235679214)}"
feature_123,cont,ttest,0.35444254584975043,-0.005544489997621582,"{'mean_resp': np.float64(4.197278750591576), 'mean_nonresp': np.float64(4.202823240589198)}"
feature_094,cont,ttest,0.3610347976346402,-0.0328088812460976,"{'mean_resp': np.float64(139.94261713203974), 'mean_nonresp': np.float64(139.97542601328584)}"
feature_109,binary,chi2,0.3691612042175564,-0.00671842494425498,"{'rate_pos': np.float64(0.16269982238010658), 'rate_neg': np.float64(0.16941824732436156), 'prev': np.float64(0.0563)}"
feature_002,binary,chi2,0.36969267084626134,-0.003051393111569878,"{'rate_pos': np.float64(0.16743380769393185), 'rate_neg': np.float64(0.17048520080550172), 'prev': np.float64(0.47362)}"
feature_086,cont,ttest,0.3936264212988297,-0.020289580275971275,"{'mean_resp': np.float64(95.96628017037388), 'mean_nonresp': np.float64(95.98656975064985)}"
feature_074,binary,chi2,0.39379263638612694,0.0038600229359728733,"{'rate_pos': np.float64(0.17223710259694888), 'rate_neg': np.float64(0.168377079660976), 'prev': np.float64(0.17174)}"
feature_067,binary,chi2,0.40188709962345504,0.003574999999999995,"{'rate_pos': np.float64(0.1719), 'rate_neg': np.float64(0.168325), 'prev': np.float64(0.2)}"
feature_107,binary,chi2,0.41473731678589343,0.019884930614302604,"{'rate_pos': np.float64(0.1888111888111888), 'rate_neg': np.float64(0.1689262581968862), 'prev': np.float64(0.00572)}"
feature_060,binary,chi2,0.415090529930918,0.006434139886319246,"{'rate_pos': np.float64(0.17514792899408285), 'rate_neg': np.float64(0.1687137891077636), 'prev': np.float64(0.0507)}"
feature_103,cont,ttest,0.42731010940299424,0.047646952662214304,"{'mean_resp': np.float64(15.025792711784193), 'mean_nonresp': np.float64(14.978145759121979)}"
feature_116,binary,chi2,0.4472070955426565,-0.009720939115103716,"{'rate_pos': np.float64(0.15950920245398773), 'rate_neg': np.float64(0.16923014156909144), 'prev': np.float64(0.01956)}"
feature_004,binary,chi2,0.45744378599965274,-0.0033025228561129327,"{'rate_pos': np.float64(0.16633510167992926), 'rate_neg': np.float64(0.1696376245360422), 'prev': np.float64(0.18096)}"
feature_113,binary,chi2,0.46425732986683266,-0.00391436243170365,"{'rate_pos': np.float64(0.16558330482381114), 'rate_neg': np.float64(0.1694976672555148), 'prev': np.float64(0.11692)}"
feature_079,binary,chi2,0.48228199984288034,0.007220561421757837,"{'rate_pos': np.float64(0.17604235605559232), 'rate_neg': np.float64(0.16882179463383448), 'prev': np.float64(0.03022)}"
feature_105,binary,chi2,0.486215716896951,-0.0024261294110187737,"{'rate_pos': np.float64(0.16757951861715492), 'rate_neg': np.float64(0.1700056480281737), 'prev': np.float64(0.39802)}"
feature_069,binary,chi2,0.4907592891860041,-0.0033149507898714847,"{'rate_pos': np.float64(0.16622162883845126), 'rate_neg': np.float64(0.16953657962832275), 'prev': np.float64(0.1498)}"
feature_036,binary,chi2,0.5006395655122212,-0.003993776030712576,"{'rate_pos': np.float64(0.1654199615302415), 'rate_neg': np.float64(0.16941373756095407), 'prev': np.float64(0.09358)}"
feature_085,binary,chi2,0.5050378030449794,-0.0022862780485337075,"{'rate_pos': np.float64(0.16801163213376955), 'rate_neg': np.float64(0.17029791018230325), 'prev': np.float64(0.5502)}"
feature_048,cont,ttest,0.5103259286298956,0.19170285996762004,"{'mean_resp': np.float64(27.628314008518696), 'mean_nonresp': np.float64(27.436611148551076)}"
feature_082,cont,ttest,0.512963719537751,0.038867799136053094,"{'mean_resp': np.float64(26.027697586370092), 'mean_nonresp': np.float64(25.98882978723404)}"
feature_071,binary,chi2,0.5139872628279252,0.0031417664041337168,"{'rate_pos': np.float64(0.17171043860818558), 'rate_neg': np.float64(0.16856867220405186), 'prev': np.float64(0.15002)}"
feature_096,cont,ttest,0.5161913253846194,0.008816412502959947,"{'mean_resp': np.float64(1.2537860861334595), 'mean_nonresp': np.float64(1.2449696736304996)}"
feature_009,binary,chi2,0.5197074327017673,-0.0037131053273115056,"{'rate_pos': np.float64(0.16569709127382146), 'rate_neg': np.float64(0.16941019660113296), 'prev': np.float64(0.0997)}"
feature_120,cont,ttest,0.5241874869737211,0.07105740156009777,"{'mean_resp': np.float64(5.848858258400379), 'mean_nonresp': np.float64(5.777800856840281)}"
feature_008,binary,chi2,0.5325181330858355,0.008003695654068749,"{'rate_pos': np.float64(0.17688442211055277), 'rate_neg': np.float64(0.16888072645648403), 'prev': np.float64(0.0199)}"
feature_032,binary,chi2,0.5392618163788894,-0.005566317075008709,"{'rate_pos': np.float64(0.16369199388067313), 'rate_neg': np.float64(0.16925831095568183), 'prev': np.float64(0.03922)}"
feature_070,binary,chi2,0.5396987655708188,0.002105876568860604,"{'rate_pos': np.float64(0.17019486271036316), 'rate_neg': np.float64(0.16808898614150256), 'prev': np.float64(0.4516)}"
feature_087,cat,chi2,0.5402723157880647,,"{'medicaid': 0.16871653885110693, 'medicare': 0.1718131055218823, 'private': 0.16655052264808362, 'uninsured': 0.16617790811339198}"
feature_029,binary,chi2,0.5540707004010454,-0.002123811508498441,"{'rate_pos': np.float64(0.16765850308995192), 'rate_neg': np.float64(0.16978231459845036), 'prev': np.float64(0.34952)}"
feature_040,binary,chi2,0.5562519353207174,0.002521647022893675,"{'rate_pos': np.float64(0.17105393861130427), 'rate_neg': np.float64(0.1685322915884106), 'prev': np.float64(0.20134)}"
feature_066,cont,ttest,0.5624081668241123,-0.014473926940329118,"{'mean_resp': np.float64(3.492419545669664), 'mean_nonresp': np.float64(3.506893472609993)}"
feature_112,binary,chi2,0.5634538880214438,-0.002570811616409735,"{'rate_pos': np.float64(0.16693980115809023), 'rate_neg': np.float64(0.16951061277449997), 'prev': np.float64(0.18306)}"
feature_017,binary,chi2,0.5719778923253279,-0.0019444290134429942,"{'rate_pos': np.float64(0.1679704862654458), 'rate_neg': np.float64(0.1699149152788888), 'prev': np.float64(0.44996)}"
feature_100,binary,chi2,0.5780894999477996,-0.007102083689136757,"{'rate_pos': np.float64(0.16208251473477406), 'rate_neg': np.float64(0.16918459842391081), 'prev': np.float64(0.02036)}"
feature_050,binary,chi2,0.5868557158199176,0.005680838574128599,"{'rate_pos': np.float64(0.17455029980013326), 'rate_neg': np.float64(0.16886946122600466), 'prev': np.float64(0.03002)}"
feature_061,binary,chi2,0.5893542658525355,0.0034632981992932244,"{'rate_pos': np.float64(0.17222498755599802), 'rate_neg': np.float64(0.1687616893567048), 'prev': np.float64(0.08036)}"
feature_056,cont,ttest,0.5898531531235935,-0.001903956495548531,"{'mean_resp': np.float64(1.001271888310459), 'mean_nonresp': np.float64(1.0031758448060075)}"
feature_115,binary,chi2,0.5933853421874593,-0.001992687169557056,"{'rate_pos': np.float64(0.16765324914496185), 'rate_neg': np.float64(0.1696459363145189), 'prev': np.float64(0.30408)}"
feature_025,binary,chi2,0.5960467106789531,-0.0018267796547662973,"{'rate_pos': np.float64(0.168033152125479), 'rate_neg': np.float64(0.1698599317802453), 'prev': np.float64(0.44884)}"
feature_089,binary,chi2,0.6117145550316699,-0.0017804725387588205,"{'rate_pos': np.float64(0.1679669804197916), 'rate_neg': np.float64(0.16974745295855043), 'prev': np.float64(0.39734)}"
feature_001,binary,chi2,0.6236470402462395,-0.0023774234360258995,"{'rate_pos': np.float64(0.16702071163037704), 'rate_neg': np.float64(0.16939813506640294), 'prev': np.float64(0.15064)}"
feature_104,binary,chi2,0.6677848702134612,0.0019405323013091669,"{'rate_pos': np.float64(0.17063139172965763), 'rate_neg': np.float64(0.16869085942834847), 'prev': np.float64(0.17992)}"
feature_010,cont,ttest,0.6933446556620817,0.01183441696091414,"{'mean_resp': np.float64(7.510257927117841), 'mean_nonresp': np.float64(7.498423510156927)}"
feature_041,binary,chi2,0.6971231784493142,0.0022737859997926935,"{'rate_pos': np.float64(0.17108386075949367), 'rate_neg': np.float64(0.16881007475970097), 'prev': np.float64(0.10112)}"
feature_122,binary,chi2,0.7015008091689285,-0.0013311790866392115,"{'rate_pos': np.float64(0.16831070022559383), 'rate_neg': np.float64(0.16964187931223304), 'prev': np.float64(0.45214)}"
feature_049,binary,chi2,0.7159061314390989,-0.001525719485229865,"{'rate_pos': np.float64(0.16785295972610145), 'rate_neg': np.float64(0.16937867921133132), 'prev': np.float64(0.22198)}"
feature_078,cont,ttest,0.7168077107936557,0.04681288466674971,"{'mean_resp': np.float64(68.03064363464269), 'mean_nonresp': np.float64(67.98383074997594)}"
feature_118,binary,chi2,0.7175997366933216,-0.002124223324114771,"{'rate_pos': np.float64(0.16712981341802302), 'rate_neg': np.float64(0.1692540367421378), 'prev': np.float64(0.10076)}"
feature_088,binary,chi2,0.7374416624195319,-0.0012705734554245285,"{'rate_pos': np.float64(0.16815387666071782), 'rate_neg': np.float64(0.16942445011614235), 'prev': np.float64(0.30258)}"
feature_124,binary,chi2,0.7436233395194475,-0.0016228580043393115,"{'rate_pos': np.float64(0.1676573898946231), 'rate_neg': np.float64(0.1692802478989624), 'prev': np.float64(0.14804)}"
feature_095,binary,chi2,0.7518671821230047,0.0011550569781619002,"{'rate_pos': np.float64(0.16979083323808436), 'rate_neg': np.float64(0.16863577625992246), 'prev': np.float64(0.34996)}"
feature_117,binary,chi2,0.753723442582853,-0.004380576687786741,"{'rate_pos': np.float64(0.16474291710388247), 'rate_neg': np.float64(0.16912349379166922), 'prev': np.float64(0.01906)}"
feature_073,binary,chi2,0.7625465795435331,0.0020178601328273427,"{'rate_pos': np.float64(0.17089893346876586), 'rate_neg': np.float64(0.16888107333593852), 'prev': np.float64(0.07876)}"
feature_052,binary,chi2,0.7671729868148749,0.0062320067972979065,"{'rate_pos': np.float64(0.1752136752136752), 'rate_neg': np.float64(0.1689816684163773), 'prev': np.float64(0.00936)}"
feature_013,binary,chi2,0.8178766692199987,-0.001161948452692213,"{'rate_pos': np.float64(0.16805146073438756), 'rate_neg': np.float64(0.16921340918707978), 'prev': np.float64(0.14924)}"
feature_026,binary,chi2,0.8191583365462801,0.0012905565335879776,"{'rate_pos': np.float64(0.17017994858611826), 'rate_neg': np.float64(0.16888939205253028), 'prev': np.float64(0.1167)}"
feature_046,binary,chi2,0.8196724339528119,-0.0008276861612504793,"{'rate_pos': np.float64(0.16853055916775034), 'rate_neg': np.float64(0.16935824532900082), 'prev': np.float64(0.3845)}"
feature_059,cont,ttest,0.8284433033937179,-0.07089200462226586,"{'mean_resp': np.float64(107.71774017983908), 'mean_nonresp': np.float64(107.78863218446135)}"
feature_043,binary,chi2,0.8411231444832227,0.0007271384712705664,"{'rate_pos': np.float64(0.16947546868767452), 'rate_neg': np.float64(0.16874833021640395), 'prev': np.float64(0.40112)}"
feature_022,binary,chi2,0.858656127871878,0.0010158750515247839,"{'rate_pos': np.float64(0.16993464052287582), 'rate_neg': np.float64(0.16891876547135104), 'prev': np.float64(0.11934)}"
feature_058,binary,chi2,0.8607073321947488,-0.0020939378403953546,"{'rate_pos': np.float64(0.16700749829584186), 'rate_neg': np.float64(0.1691014361362372), 'prev': np.float64(0.02934)}"
feature_101,cont,ttest,0.8658590549936115,0.0036200678329807445,"{'mean_resp': np.float64(4.494794131566493), 'mean_nonresp': np.float64(4.491174063733513)}"
feature_062,cont,ttest,0.8737162186329998,-0.0021365764415466337,"{'mean_resp': np.float64(1.9064753904401324), 'mean_nonresp': np.float64(1.908611966881679)}"
feature_106,cont,ttest,0.896545690643271,0.018545937618796415,"{'mean_resp': np.float64(77.96131093232371), 'mean_nonresp': np.float64(77.94276499470492)}"
feature_051,binary,chi2,0.9148113373064488,-0.0004702077962351059,"{'rate_pos': np.float64(0.16868547272579465), 'rate_neg': np.float64(0.16915568052202976), 'prev': np.float64(0.24602)}"
feature_019,cont,ttest,0.9211542791948297,-0.0005917582095396057,"{'mean_resp': np.float64(9.3960482725982), 'mean_nonresp': np.float64(9.39664003080774)}"
feature_037,cont,ttest,0.922152556010784,0.0035027538837617556,"{'mean_resp': np.float64(13.017510648367251), 'mean_nonresp': np.float64(13.01400789448349)}"
feature_039,binary,chi2,0.9228062463533953,-0.0005317757803666723,"{'rate_pos': np.float64(0.16858846918489065), 'rate_neg': np.float64(0.16912024496525732), 'prev': np.float64(0.1509)}"
feature_090,cont,ttest,0.9485405944703172,0.024893305371751495,"{'mean_resp': np.float64(26.246254141031713), 'mean_nonresp': np.float64(26.22136083565996)}"
feature_072,binary,chi2,0.9630966670254515,0.0004986120567747332,"{'rate_pos': np.float64(0.16950819672131148), 'rate_neg': np.float64(0.16900958466453675), 'prev': np.float64(0.061)}"
feature_077,cont,ttest,0.9635616288004746,-0.005418430269628516,"{'mean_resp': np.float64(79.99455750118315), 'mean_nonresp': np.float64(79.99997593145278)}"
feature_102,binary,chi2,1.0,0.000124966737134663,"{'rate_pos': np.float64(0.16915760869565216), 'rate_neg': np.float64(0.1690326419585175), 'prev': np.float64(0.05888)}"
feature_108,binary,chi2,1.0,0.001422053899132858,"{'rate_pos': np.float64(0.17045454545454544), 'rate_neg': np.float64(0.16903249155541258), 'prev': np.float64(0.00528)}"
feature_023,binary,chi2,1.0,3.4530360489337664e-05,"{'rate_pos': np.float64(0.16906762705082032), 'rate_neg': np.float64(0.16903309669033098), 'prev': np.float64(0.19992)}"
