col,type,p,mean_resp,mean_nonresp,effect,rate1,rate0,n1,rates
feature_038,bin,0.17923590925972227,,,-0.0049612500146419825,0.16546474358974358,0.17042599360438557,14976.0,
feature_032,bin,0.1825817697633948,,,0.005631890454357469,0.17343796563027714,0.16780607517591967,10067.0,
feature_070,cont,0.18387690950490782,104.97494376701789,104.19242413303492,0.7825196339829716,,,,
feature_010,cont,0.20948742512242366,1.8119332307328044,1.8029480422592832,0.008985188473521255,,,,
feature_028,cont,0.21141924821573577,0.6666508819699303,0.6713536928741607,-0.0047028109042304145,,,,
feature_085,bin,0.21746234658697272,,,0.006426329933858194,0.17458745874587459,0.1681611288120164,6060.0,
feature_005,cat,0.23151897695571896,,,0.010713639830228633,,,,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_026,cont,0.2395162998074509,1.2413874748431395,1.2571655476138908,-0.015778072770751272,,,,
feature_045,cont,0.2572086532310953,1.1207529300343317,1.1059610617765263,0.01479186825780543,,,,
feature_093,bin,0.2682219928886605,,,-0.0037537387521068277,0.16698640420385352,0.17074014295596035,23978.0,
feature_057,cat,0.26858137121818315,,,0.008469719502900958,,,,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_059,cont,0.2715705764716944,7.527879720610867,7.4948427309700865,0.033036989640780945,,,,
feature_081,bin,0.2740012380258302,,,-0.009708317584347564,0.15961244263131055,0.16932076021565812,1961.0,
feature_046,bin,0.27861548698102373,,,0.008397079656779438,0.1769022788721514,0.16850519921537196,2589.0,
feature_020,cont,0.2928388544326058,5.888320113649816,5.76978750030082,0.11853261334899567,,,,
feature_104,bin,0.3018338227376992,,,0.004600189757409029,0.17272522013998645,0.16812503038257742,8858.0,
feature_071,bin,0.30440613738862127,,,0.005400212516429526,0.17369477911646586,0.16829456660003633,5976.0,
feature_096,cont,0.3108502340521285,1.965624482064638,1.986197627126802,-0.02057314506216401,,,,
feature_054,cont,0.3333174951772406,1.058620812122647,1.05668254999639,0.0019382621262569177,,,,
feature_111,bin,0.3389751042562632,,,0.00455408801489024,0.172806785051683,0.16825269703679277,7546.0,
feature_042,cont,0.34976488820655877,0.923404759086066,0.935287464202344,-0.01188270511627798,,,,
feature_062,cont,0.35037600731669627,26.041695276429504,25.9859889779318,0.0557062984977037,,,,
feature_016,bin,0.3583405793126079,,,0.0032734742082914936,0.17107148999598693,0.16779801578769543,17443.0,
feature_012,bin,0.36199179382836344,,,-0.003138188695638283,0.16711332312404287,0.17025151181968115,20896.0,
feature_015,bin,0.3761205445812471,,,-0.0033542404910958112,0.16652360515021458,0.1698778456413104,13980.0,
feature_027,bin,0.37857380495364534,,,-0.00422226926890884,0.16534693329754396,0.1695692025664528,7451.0,
feature_066,cont,0.37996696188481827,3.4768237243991953,3.4984824200418743,-0.02165869564267897,,,,
feature_075,bin,0.38468538116615936,,,0.004193442910575718,0.17251700680272108,0.16832356389214537,7350.0,
feature_109,bin,0.3854536658750173,,,-0.004407878755578104,0.16510664416142395,0.16951452291700206,6517.0,
feature_068,bin,0.3911682553313359,,,-0.004876110242394482,0.16455696202531644,0.16943307226771093,5056.0,
feature_121,cont,0.39213050289333434,107.54481472712204,107.82377638197,-0.2789616548479614,,,,
feature_116,bin,0.39929412373266593,,,-0.015401796948049024,0.15368852459016394,0.16909032153821296,488.0,
feature_048,cont,0.40010813502951265,12.974073635610276,13.003874569826486,-0.029800934216209995,,,,
feature_120,bin,0.41627353404434064,,,0.006595197550285314,0.17521902377972465,0.16862382622943933,2397.0,
feature_017,bin,0.4307368786095056,,,-0.004166364691141261,0.16527126590756866,0.16943763059870992,5972.0,
feature_056,cont,0.4309292734480749,139.94625310761216,139.97468293504681,-0.028429827434649724,,,,
feature_049,bin,0.44134085513059573,,,-0.005609929078014192,0.16366666666666665,0.16927659574468085,3000.0,
feature_080,bin,0.4449539745793255,,,0.007844457983769343,0.1765489673550966,0.16870450937132725,1501.0,
feature_079,bin,0.45354710067712867,,,0.0039503651558500386,0.1724137931034483,0.16846342794759825,6032.0,
feature_030,bin,0.4645280072229979,,,0.003018881432956949,0.17129587469265095,0.168276993259694,10981.0,
feature_036,bin,0.4814059653319218,,,-0.0056639233368449005,0.16355519480519481,0.16921911814203972,2464.0,
feature_009,bin,0.48159454003626045,,,-0.007210401571839387,0.1619486504279131,0.16915905199975248,1519.0,
feature_088,bin,0.48495291638085747,,,0.0025937694415685553,0.17074780542538445,0.1681540359838159,15151.0,
feature_018,cont,0.4869871515691689,1.0548123594175447,1.0640386975669627,-0.009226338149417979,,,,
feature_087,bin,0.49682498009814713,,,-0.002919188636868769,0.16659939455095862,0.1695185831878274,9910.0,
feature_052,bin,0.4995155734701594,,,-0.017517340040261065,0.15151515151515152,0.16903249155541258,264.0,
feature_055,cont,0.5047517092228128,224.26401089144073,223.6211532260005,0.642857665440232,,,,
feature_108,bin,0.505639033253345,,,-0.008576050200406665,0.1605316973415133,0.16910774754191996,978.0,
feature_113,bin,0.5091188462561029,,,-0.006906789723086115,0.16223585548738922,0.16914264521047534,1467.0,
feature_095,bin,0.5112445776723168,,,0.002253821191707056,0.17018334299861712,0.16792952180691006,22417.0,
feature_103,cont,0.5439961295375011,4.198899017402629,4.202493201453565,-0.0035941840509368106,,,,
feature_002,bin,0.5448990416756159,,,0.0021764018520841477,0.17036267036267036,0.1681862685105862,17316.0,
feature_003,cont,0.5460475473617904,4.481058363916183,4.493966741270185,-0.012908377354001743,,,,
feature_019,cont,0.566120746200909,249.43991949804663,249.91692537241596,-0.4770058743693255,,,,
feature_069,bin,0.5701499697054165,,,-0.0021232132294339012,0.16745455756042346,0.16957777078985736,15019.0,
feature_083,bin,0.5778622377591959,,,0.0022092543611870463,0.1705986198042048,0.16838936544301775,12462.0,
feature_022,bin,0.5925183355797236,,,-0.0030782442642112995,0.16617444378814727,0.16925268805235857,5079.0,
feature_014,cont,0.6020457350592788,12.497087723452113,12.508256924891102,-0.011169201438988807,,,,
feature_061,bin,0.6085706665125763,,,-0.004145527503972318,0.16500199760287654,0.16914752510684886,2503.0,
feature_041,bin,0.6137648634527899,,,0.004622211222037542,0.17338092809790923,0.16875871687587168,1961.0,
feature_004,bin,0.6262050248958319,,,-0.0035849089544160995,0.16557377049180327,0.16915867944621937,3050.0,
feature_107,bin,0.6381433360372275,,,-0.0022983511143095936,0.1669818967846528,0.1692802478989624,7402.0,
feature_090,cont,0.6457542991034194,2.215234994672665,2.2331639111496164,-0.017928916476951606,,,,
feature_118,cont,0.6657902671132521,15.007695039659051,14.981830433422376,0.025864606236675414,,,,
feature_078,cont,0.6689384391708386,65.03041316443706,64.9795080980916,0.050905066345464434,,,,
feature_091,bin,0.669996133534826,,,-0.001913462011447653,0.16737681634436796,0.16929027835581562,9153.0,
feature_110,bin,0.6810720333253273,,,0.0014450043520657097,0.1698010491933089,0.1683560448412432,20206.0,
feature_047,bin,0.6873269315164132,,,0.001749976715049284,0.17034068136272545,0.16859070464767617,9980.0,
feature_058,bin,0.7025285003644036,,,0.005032801833543127,0.1738703339882122,0.16883753215466907,1018.0,
feature_114,bin,0.7081006399810921,,,0.0018147444872446683,0.1704752012464295,0.16866045675918484,7702.0,
feature_098,bin,0.7153024625785731,,,0.003911494578607622,0.1727332892124421,0.16882179463383448,1511.0,
feature_086,bin,0.7182324873400854,,,-0.0012558107735268775,0.1683751363140676,0.1696309470875945,27510.0,
feature_073,bin,0.7237821412233081,,,0.0013399500958892752,0.1698779918661244,0.16853804177023513,14999.0,
feature_097,cont,0.7271786155397263,77.90446312300224,77.95432339421943,-0.049860271217184504,,,,
feature_094,cont,0.7288973085879201,9.3982597371848,9.396190407431472,0.002069329753327409,,,,
feature_008,bin,0.7297079195205769,,,0.009435650241057192,0.17832167832167833,0.16888602808062114,286.0,
feature_060,bin,0.7360463585133659,,,-0.006788460467375246,0.162217659137577,0.16900611960495224,487.0,
feature_101,cont,0.7442732608751521,26.121158991357877,26.246793492647942,-0.12563450129006526,,,,
feature_106,bin,0.7556331995642853,,,0.0013139633125864025,0.16996297299738103,0.16864900968479463,11073.0,
feature_023,cont,0.7568519529358224,27.3195027820528,27.407713522489356,-0.08821074043655486,,,,
feature_064,cont,0.7766638737802722,3.21652657748313,3.2073977811469687,0.009128796336161482,,,,
feature_077,cont,0.7888182818377961,95.98839824789866,95.98207108993334,0.0063271579653161325,,,,
feature_029,bin,0.8248425210673297,,,-0.0008186070686070912,0.16841216216216215,0.16923076923076924,17760.0,
feature_072,bin,0.8272717643410803,,,-0.003208927103370951,0.1657922350472193,0.16900116215059025,953.0,
feature_024,bin,0.8293846934286073,,,0.0008005366077850073,0.1694596443228454,0.1686591077150604,17544.0,
feature_089,bin,0.8307989754418225,,,0.0007718021052129653,0.1694013524264121,0.16862955032119914,20112.0,
feature_105,bin,0.8382368746910955,,,-0.0007450561521158139,0.16848220769789396,0.16922726385000977,19278.0,
feature_065,cont,0.8436819666412602,1.0034343553924467,1.002736023873126,0.0006983315193207495,,,,
feature_050,bin,0.8462984250159804,,,-0.004451753886462767,0.16452991452991453,0.1689816684163773,468.0,
feature_122,bin,0.8641731103976235,,,0.0008374936616750428,0.16963649322879543,0.16879899956712038,8418.0,
feature_115,bin,0.883597218391233,,,-0.0005336068913846248,0.16864629209484408,0.1691798989862287,22479.0,
feature_040,bin,0.8926646301145917,,,0.0007102783234595456,0.1695432819968136,0.16883300367335405,7532.0,
feature_034,bin,0.8933785264735903,,,0.0008565037824097843,0.16971020246129417,0.1688536986788844,5038.0,
feature_119,cont,0.895931093300622,1.9067905765360482,1.908547637956345,-0.001757061420296857,,,,
feature_025,bin,0.904418325981762,,,0.00048619366334815006,0.16927982992293383,0.16879363625958568,15052.0,
feature_037,bin,0.9059320931605461,,,0.00043850316048713034,0.16918146615035384,0.1687429629898667,22467.0,
feature_082,cont,0.9274888031912217,79.990055641056,80.00089042909056,-0.010834788034557619,,,,
feature_035,bin,0.951751827390736,,,0.0003941139507585567,0.16928391959798994,0.16888980564723138,6368.0,
feature_102,bin,0.9785464381083495,,,-0.00014579045076884567,0.16883807498005848,0.16898386543082733,15044.0,
feature_001,bin,0.9834050009733002,,,-0.00020266424874731959,0.16876152170269818,0.1689641859514455,5967.0,
feature_084,cont,0.9916977113723188,25.764328163845157,25.762800279161556,0.0015278846836004334,,,,
