feature,type,diff,effect,p,n_pos,n_neg,mean_pos,mean_neg
feature_045,multi,,6.057825615179578,0.19487124066085856,,,"{0: 0.16614950634696757, 1: 0.16833421098823942, 2: 0.17390830883153655, 3: 0.17731550272412086, 4: 0.15894039735099338}",
feature_033,multi,,5.89505895798081,0.2071236038013357,,,"{0: 0.17137446741360265, 1: 0.17125893474752132, 2: 0.1688510090857924, 3: 0.15886188500296383, 4: 0.16129032258064516}",
feature_010,cont,0.008985188473521255,0.014937111338631973,0.21073279137359002,8447.0,41553.0,1.8119332307328044,1.8029480422592832
feature_085,binary,0.006426329933858194,0.045258638776806664,0.2107512686657681,6060.0,43940.0,0.17458745874587459,0.1681611288120164
feature_028,cont,-0.0047028109042304145,-0.0149838304224865,0.21267772865754808,8447.0,41553.0,0.6666508819699303,0.6713536928741607
feature_005,multi,,4.292950531090976,0.23151897695571896,,,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}",
feature_081,binary,-0.009708317584347564,-0.07066569808632325,0.2608361143763823,1961.0,48039.0,0.15961244263131055,0.16932076021565812
feature_093,binary,-0.0037537387521068277,-0.026746770768412927,0.2631007562252703,23978.0,26022.0,0.16698640420385352,0.17074014295596035
feature_046,binary,0.008397079656779438,0.05878099262040057,0.26690401089645666,2589.0,47411.0,0.1769022788721514,0.16850519921537196
feature_057,multi,,2.6292027048109237,0.26858137121818315,,,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}",
feature_059,cont,0.033036989640780945,0.01315974023416316,0.27017427997752064,8447.0,41553.0,7.527879720610867,7.4948427309700865
feature_020,cont,0.11853261334899567,0.01224092297308537,0.28830772783523084,8447.0,41553.0,5.888320113649816,5.76978750030082
feature_104,binary,0.004600189757409029,0.032539329588578574,0.29459060375936996,8858.0,41142.0,0.17272522013998645,0.16812503038257742
feature_071,binary,0.005400212516429526,0.038097908899222266,0.29584987481374336,5976.0,44024.0,0.17369477911646586,0.16829456660003633
feature_096,cont,-0.02057314506216401,-0.012072346446239756,0.317609506221712,8447.0,41553.0,1.965624482064638,1.986197627126802
feature_111,binary,0.00455408801489024,0.03219749361138098,0.3306377024036429,7546.0,42454.0,0.172806785051683,0.16825269703679277
feature_054,cont,0.0019382621262569177,0.011571255360377713,0.3316623074591728,8447.0,41553.0,1.058620812122647,1.05668254999639
feature_062,cont,0.0557062984977037,0.011157680164694449,0.34979319028438793,8447.0,41553.0,26.041695276429504,25.9859889779318
feature_016,binary,0.0032734742082914936,0.023261836040488554,0.3518329843867676,17443.0,32557.0,0.17107148999598693,0.16779801578769543
feature_012,binary,-0.003138188695638283,-0.022379623289272642,0.35566110110605176,20896.0,29104.0,0.16711332312404287,0.17025151181968115
feature_116,binary,-0.015401796948049024,-0.11387139978366417,0.3664704059159597,488.0,49512.0,0.15368852459016394,0.16909032153821296
feature_015,binary,-0.0033542404910958112,-0.02397506905497112,0.3689992795714312,13980.0,36020.0,0.16652360515021458,0.1698778456413104
feature_027,binary,-0.00422226926890884,-0.03028677604577077,0.3695812529370307,7451.0,42549.0,0.16534693329754396,0.1695692025664528
feature_075,binary,0.004193442910575718,0.029662630392654203,0.3755512890423187,7350.0,42650.0,0.17251700680272108,0.16832356389214537
feature_109,binary,-0.004407878755578104,-0.03164056789616808,0.3758402608494178,6517.0,43483.0,0.16510664416142395,0.16951452291700206
feature_068,binary,-0.004876110242394482,-0.03505486645041135,0.38034735154187205,5056.0,44944.0,0.16455696202531644,0.16943307226771093
feature_066,cont,-0.02165869564267897,-0.010461444742362257,0.3841595379200903,8447.0,41553.0,3.4768237243991953,3.4984824200418743
feature_121,cont,-0.2789616548479614,-0.010202133724056215,0.39392768680636114,8447.0,41553.0,107.54481472712204,107.82377638197
feature_120,binary,0.006595197550285314,0.04633090288276531,0.4004783461326702,2397.0,47603.0,0.17521902377972465,0.16862382622943933
feature_048,cont,-0.029800934216209995,-0.010000907502204195,0.4021871016900713,8447.0,41553.0,12.974073635610276,13.003874569826486
feature_017,binary,-0.004166364691141261,-0.02990051614868312,0.42006538550474815,5972.0,44028.0,0.16527126590756866,0.16943763059870992
feature_080,binary,0.007844457983769343,0.05493078469441597,0.4244465427224309,1501.0,48499.0,0.1765489673550966,0.16870450937132725
feature_049,binary,-0.005609929078014192,-0.04043256425090776,0.426607619246687,3000.0,47000.0,0.16366666666666665,0.16927659574468085
feature_056,cont,-0.028429827434649724,-0.009459370223936479,0.4280494801435738,8447.0,41553.0,139.94625310761216,139.97468293504681
feature_079,binary,0.0039503651558500386,0.027940681564477484,0.4425963995061385,6032.0,43968.0,0.1724137931034483,0.16846342794759825
feature_052,binary,-0.017517340040261065,-0.13026685716297423,0.4490104943966846,264.0,49736.0,0.15151515151515152,0.16903249155541258
feature_030,binary,0.003018881432956949,0.021417206516514013,0.4557785192985975,10981.0,39019.0,0.17129587469265095,0.168276993259694
feature_009,binary,-0.007210401571839387,-0.05220109282895621,0.4602527611127568,1519.0,48481.0,0.1619486504279131,0.16915905199975248
feature_036,binary,-0.0056639233368449005,-0.04083837110497811,0.4644332693265416,2464.0,47536.0,0.16355519480519481,0.16921911814203972
feature_088,binary,0.0025937694415685553,0.018430165623853,0.4768750290459808,15151.0,34849.0,0.17074780542538445,0.1681540359838159
feature_108,binary,-0.008576050200406665,-0.06231324894190332,0.4785569471772293,978.0,49022.0,0.1605316973415133,0.16910774754191996
feature_113,binary,-0.006906789723086115,-0.04996972406899481,0.4867397975363221,1467.0,48533.0,0.16223585548738922,0.16914264521047534
feature_087,binary,-0.002919188636868769,-0.020879353128454667,0.4873972379143482,9910.0,40090.0,0.16659939455095862,0.1695185831878274
feature_095,binary,0.002253821191707056,0.016044331187478885,0.5035616226614794,22417.0,27583.0,0.17018334299861712,0.16792952180691006
feature_055,cont,0.642857665440232,0.007928572872643938,0.505232755595654,8447.0,41553.0,224.26401089144073,223.6211532260005
feature_002,binary,0.0021764018520841477,0.015477295695788443,0.5366017075691214,17316.0,32684.0,0.17036267036267036,0.1681862685105862
feature_003,cont,-0.012908377354001743,-0.007226273162546221,0.5449371670726653,8447.0,41553.0,4.481058363916183,4.493966741270185
feature_103,cont,-0.0035941840509368106,-0.007152083723254017,0.5490276397563201,8447.0,41553.0,4.198899017402629,4.202493201453565
feature_069,binary,-0.0021232132294339012,-0.015153154545653537,0.5613450599845557,15019.0,34981.0,0.16745455756042346,0.16957777078985736
feature_019,cont,-0.4770058743693255,-0.006851426595978322,0.565945523298182,8447.0,41553.0,249.43991949804663,249.91692537241596
feature_083,binary,0.0022092543611870463,0.015694727610921305,0.5684730778286353,12462.0,37538.0,0.1705986198042048,0.16838936544301775
feature_022,binary,-0.0030782442642112995,-0.022053234761439996,0.5789392291572978,5079.0,44921.0,0.16617444378814727,0.16925268805235857
feature_061,binary,-0.004145527503972318,-0.029790763874498773,0.5895679178168218,2503.0,47497.0,0.16500199760287654,0.16914752510684886
feature_041,binary,0.004622211222037542,0.03259721734314104,0.592354729273423,1961.0,48039.0,0.17338092809790923,0.16875871687587168
feature_014,cont,-0.011169201438988807,-0.00622661385186816,0.6018973870570274,8447.0,41553.0,12.497087723452113,12.508256924891102
feature_004,binary,-0.0035849089544160995,-0.02572587911946153,0.6086529790286878,3050.0,46950.0,0.16557377049180327,0.16915867944621937
feature_107,binary,-0.0022983511143095936,-0.01643308730782317,0.6261905676985102,7402.0,42598.0,0.1669818967846528,0.1692802478989624
feature_018,multi,,2.545991633848956,0.6364196460541915,,,"{0: 0.16844060648659503, 1: 0.17194359451909005, 2: 0.16725585505965532, 3: 0.16883441720860431, 4: 0.15915915915915915}",
feature_090,cont,-0.017928916476951606,-0.0054628197199754905,0.6511138934632519,8447.0,41553.0,2.215234994672665,2.2331639111496164
feature_091,binary,-0.001913462011447653,-0.013667966536815495,0.6587914720799,9153.0,40847.0,0.16737681634436796,0.16929027835581562
feature_118,cont,0.025864606236675414,0.00518825346516053,0.6637568533014889,8447.0,41553.0,15.007695039659051,14.981830433422376
feature_078,cont,0.050905066345464434,0.0051152336376139125,0.6682581877026774,8447.0,41553.0,65.03041316443706,64.9795080980916
feature_008,binary,0.009435650241057192,0.06578295699121676,0.6711502069338711,286.0,49714.0,0.17832167832167833,0.16888602808062114
feature_058,binary,0.005032801833543127,0.03544645285181395,0.6714613274062933,1018.0,48982.0,0.1738703339882122,0.16883753215466907
feature_110,binary,0.0014450043520657097,0.010285440381495698,0.6721781347761243,20206.0,29794.0,0.1698010491933089,0.1683560448412432
feature_047,binary,0.001749976715049284,0.012433578310428375,0.676375901774313,9980.0,40020.0,0.17034068136272545,0.16859070464767617
feature_098,binary,0.003911494578607622,0.027622106825471476,0.6894575622630903,1511.0,48489.0,0.1727332892124421,0.16882179463383448
feature_060,binary,-0.006788460467375246,-0.049131816202031775,0.6907639870218902,487.0,49513.0,0.162217659137577,0.16900611960495224
feature_114,binary,0.0018147444872446683,0.01288757875268528,0.695843401506526,7702.0,42298.0,0.1704752012464295,0.16866045675918484
feature_086,binary,-0.0012558107735268775,-0.00894194355032593,0.7092844961689106,27510.0,22490.0,0.1683751363140676,0.1696309470875945
feature_073,binary,0.0013399500958892752,0.00953185205678912,0.7140439335717149,14999.0,35001.0,0.1698779918661244,0.16853804177023513
feature_097,cont,-0.049860271217184504,-0.004159527253142763,0.7274692504281729,8447.0,41553.0,77.90446312300224,77.95432339421943
feature_094,cont,0.002069329753327409,0.004128510193307589,0.7294112975120628,8447.0,41553.0,9.3982597371848,9.396190407431472
feature_106,binary,0.0013139633125864025,0.009342684010072648,0.7447335902532304,11073.0,38927.0,0.16996297299738103,0.16864900968479463
feature_101,cont,-0.12563450129006526,-0.0038390808191453856,0.7494475425246784,8447.0,41553.0,26.121158991357877,26.246793492647942
feature_023,cont,-0.08821074043655486,-0.003688491437571606,0.7579394565536766,8447.0,41553.0,27.3195027820528,27.407713522489356
feature_064,cont,0.009128796336161482,0.0034009548853118116,0.7755443934634823,8447.0,41553.0,3.21652657748313,3.2073977811469687
feature_077,cont,0.0063271579653161325,0.0031884534044975734,0.7893810506672224,8447.0,41553.0,95.98839824789866,95.98207108993334
feature_072,binary,-0.003208927103370951,-0.023024276799534223,0.7934448911722285,953.0,49047.0,0.1657922350472193,0.16900116215059025
feature_050,binary,-0.004451753886462767,-0.03204052198279777,0.7981003909789003,468.0,49532.0,0.16452991452991453,0.1689816684163773
feature_029,binary,-0.0008186070686070912,-0.005833836030457252,0.8151477034706852,17760.0,32240.0,0.16841216216216215,0.16923076923076924
feature_024,binary,0.0008005366077850073,0.005698658382380641,0.8196501759274316,17544.0,32456.0,0.1694596443228454,0.1686591077150604
feature_089,binary,0.0007718021052129653,0.005495247193163323,0.8213204495749198,20112.0,29888.0,0.1694013524264121,0.16862955032119914
feature_105,binary,-0.0007450561521158139,-0.005308837297116693,0.8286683014284224,19278.0,30722.0,0.16848220769789396,0.16922726385000977
feature_065,cont,0.0006983315193207495,0.0023444907136507243,0.8442662874243899,8447.0,41553.0,1.0034343553924467,1.002736023873126
feature_122,binary,0.0008374936616750428,0.005957295647415991,0.8516507939601867,8418.0,41582.0,0.16963649322879543,0.16879899956712038
feature_115,binary,-0.0005336068913846248,-0.0038011234307365966,0.874136078094506,22479.0,27521.0,0.16864629209484408,0.1691798989862287
feature_034,binary,0.0008565037824097843,0.006090679684328714,0.8777236312808586,5038.0,44962.0,0.16971020246129417,0.1688536986788844
feature_040,binary,0.0007102783234595456,0.00505308363037379,0.8794893210258656,7532.0,42468.0,0.1695432819968136,0.16883300367335405
feature_025,binary,0.00048619366334815006,0.003461358867306779,0.8941210982913972,15052.0,34948.0,0.16927982992293383,0.16879363625958568
feature_119,cont,-0.001757061420296857,-0.0015704481000473741,0.8954209247097156,8447.0,41553.0,1.9067905765360482,1.908547637956345
feature_037,binary,0.00043850316048713034,0.00312293229154016,0.8964334483612808,22467.0,27533.0,0.16918146615035384,0.1687429629898667
feature_042,multi,,0.9840207885463821,0.9122092031042313,,,"{0: 0.17011596788581623, 1: 0.16924926529521775, 2: 0.16699462154007608, 3: 0.1671436748712078, 4: 0.16230717639168343}",
feature_082,cont,-0.010834788034557619,-0.0010873396648135372,0.9274118891144754,8447.0,41553.0,79.990055641056,80.00089042909056
feature_035,binary,0.0003941139507585567,0.002805152533043538,0.9375038019918951,6368.0,43632.0,0.16928391959798994,0.16888980564723138
feature_102,binary,-0.00014579045076884567,-0.0010385411163234969,0.968170561265152,15044.0,34956.0,0.16883807498005848,0.16898386543082733
feature_001,binary,-0.00020266424874731959,-0.0014440105606134163,0.968724401271583,5967.0,44033.0,0.16876152170269818,0.1689641859514455
feature_084,cont,0.0015278846836004334,0.00012539742640099992,0.9916167592300437,8447.0,41553.0,25.764328163845157,25.762800279161556
