T,X,beta_T,beta_X,beta_TX,p_TX,r2
feature_020,feature_002,-0.04122567770495039,-0.023887200945914885,0.10970190251918742,0.07275725329621009,9.2477808127156e-05
feature_018,feature_025,0.32863090421474067,0.23593214404250853,-0.035079942648064515,0.0912251927855241,0.014814420438646114
feature_012,feature_022,-0.04795766662151607,0.1394362298914252,0.09859887691238613,0.0963885800766556,0.0009278155710956693
feature_012,feature_015,-0.029002612362985097,1.7015199105863965,-0.021371853819553657,0.1014431625353688,0.5733104602727604
feature_020,hist_squam,-0.0011369140885429205,-0.8335169924077481,-0.07731518874124306,0.10628046881030073,0.02962409655176279
feature_020,feature_015,0.004375178251827743,1.684362787608713,0.02140547435699546,0.13220410589007428,0.5732654941583335
feature_020,feature_008,-0.024976223698225046,0.013107362252735778,-0.03254951057220089,0.14013937636882806,7.229849963763524e-05
feature_018,feature_003,0.32187496306104985,-0.015161498315867536,0.03067815275186455,0.14193607708921238,0.004780874025943738
feature_012,hist_squam,-0.013837201474579716,-0.8262706185083462,-0.060452365766711535,0.16869593993750226,0.029635591794155203
feature_012,feature_026,-0.03474165218186205,0.0011788424507090597,-0.026615640896528167,0.1827089829068434,0.00012642489183578576
feature_012,feature_014,0.005740777635231061,-1.080664348304538,-0.036774091852306186,0.1852125227595864,0.11155450196758987
feature_018,feature_021,0.3043669851002044,-0.2095879938429915,0.0597810005015037,0.1961972193315809,0.006222726367416609
feature_027,feature_033,0.0034425476765980803,0.001204726669287845,0.02797317188976528,0.1978421298864131,5.2543283078465564e-05
feature_027,feature_024,0.003499789821033222,-0.005817476407539473,0.0273698154994449,0.2025917225646891,3.46192629175901e-05
feature_012,feature_019,-0.034876177221620994,0.026455610855828874,-0.024664952761958375,0.21688269487285683,0.00013151189068072444
feature_020,feature_025,-0.0250856726972385,0.22931622916309796,-0.0264816718459248,0.22039334038796238,0.00987326587900561
feature_018,feature_002,0.3325824985162515,0.03487548346919507,-0.07144916885744526,0.22350713139944695,0.004766024519028633
feature_020,feature_004,-0.024833393762106533,-0.020554564336453543,0.02513426139218542,0.2459169291083888,8.599471788384161e-05
feature_018,smk_former,0.3483236395500429,0.40801007733850503,-0.04790991434269196,0.2519134447599018,0.01235095540994735
feature_027,feature_003,0.0035004121189942993,0.00391327565078321,-0.023729536017425275,0.2757092564966765,2.6394300191578957e-05
feature_018,feature_019,0.32182877307701385,0.020174615486292242,-0.0211999211969808,0.30976074704173523,0.004787026827669627
feature_018,feature_007,0.32195130066935784,0.014435079916815845,-0.021047705028489978,0.31334035292413515,0.004764212372577514
feature_020,feature_003,-0.024796688362749123,0.003301953546402067,-0.02203995950664713,0.3137153241695227,4.834142000853525e-05
feature_012,feature_004,-0.03487590483055018,-0.022933211774688846,0.019978043263280638,0.3172275271154306,0.00011404463736452986
feature_027,feature_002,-0.005436545472201506,-0.008947652235414268,0.061263757842708336,0.3191636236185827,2.24999050636443e-05
feature_018,feature_030,0.32196484773145806,-0.007446907823678701,-0.020464379298412348,0.3268823145303058,0.004796091053352769
feature_018,feature_017,0.3269312200287401,-0.2778693856392427,-0.019908312804484334,0.3353797530667675,0.021028646987801936
feature_012,feature_033,-0.03486070169029052,0.00046729900647219107,0.01848222608785796,0.35480526003281154,9.690611421131479e-05
feature_020,feature_014,0.007612287094233643,-1.090870072851894,-0.027834220700060468,0.35859023564591536,0.11151943411974874
feature_018,feature_020,0.3096147764226628,-0.03912954588709292,0.041111855756102295,0.3668939747941973,0.004775936529070934
feature_020,feature_018,-0.039129545887101075,0.30961477642266216,0.04111185575609927,0.3668939747942218,0.004775936529070712
feature_027,feature_012,0.022698381433344243,-0.023230349940059646,-0.03872676305663103,0.3745016211617894,7.711984973213237e-05
feature_012,feature_027,-0.02323034994006376,0.02269838143334134,-0.03872676305662866,0.37450162116181734,7.711984973202135e-05
feature_018,feature_009,0.3217859392391617,-0.0033097415734731762,-0.0185290138203874,0.3750737589737245,0.004768920758106643
feature_027,feature_025,0.0015497248773155125,0.21556915053613157,0.018777326293415546,0.3851846091842144,0.009832042445390377
feature_012,feature_018,-0.022308165794750454,0.33950149317772665,-0.035150174941055,0.39987468474406174,0.004808284872194646
feature_018,feature_012,0.3395014931776988,-0.022308165794749653,-0.03515017494105361,0.39987468474406174,0.004808284872195423
feature_020,feature_021,-0.015626735067657237,-0.1791498130975489,-0.03644554648043149,0.4510475257136916,0.0015126718546872864
feature_027,feature_030,0.00380973922543126,-0.009871499984393628,-0.01580475429397648,0.4687895513643408,5.375029580678703e-05
feature_018,feature_023,0.34248534583756873,-1.4274484370999638,-0.029608590131169083,0.47632949271108715,0.09938651860098124
feature_012,smk_former,-0.020172846105754115,0.40491663820980445,-0.027294043040620476,0.4951007566162539,0.007663736208672445
feature_020,feature_011,-0.021870866995846866,-0.9109662495467009,-0.03329908426044822,0.5016866717027424,0.03205756722153863
feature_018,feature_013,0.3219023409509902,-0.01199292554092041,0.013994723018431054,0.5021361890639746,0.004752966610057974
feature_027,feature_011,-0.00620982160642455,-0.930480675136461,0.03292527965052018,0.5057347589791037,0.03201924502081133
feature_018,feature_010,0.3223364418377149,0.0053520894728759675,0.014017555228531927,0.5059746903350139,0.004763199173266952
feature_020,feature_009,-0.025152695569091218,-0.006380926458661543,-0.014426457314303818,0.5085099387763241,5.7619375562811825e-05
feature_027,feature_032,0.004013865942374321,-0.03696699323932652,-0.014218049906563092,0.5122295731808237,0.0003511315031397011
feature_012,feature_007,-0.03487581106280465,0.013641852028079628,-0.012938054694597259,0.5171666710346952,7.943487208006417e-05
feature_027,feature_026,0.0034532794792299917,-0.00817492057471526,-0.013861147656108172,0.5254045701787449,3.8991410809763316e-05
feature_020,feature_017,-0.027977772613541587,-0.2877518075444368,0.013645803393132868,0.5293350729688443,0.016173109194042024
feature_027,feature_010,0.003523769219962389,0.012292598775740154,-0.013380980342784472,0.5347815664391294,2.1453460045783856e-05
feature_020,feature_016,-0.0217654470982589,0.7938008190634185,-0.03992841695219056,0.5371618830235126,0.013650410943535585
feature_027,hist_squam,-0.007825905831718423,-0.865282239151486,0.028310765600808793,0.5555910685749205,0.029558492044113094
feature_018,feature_008,0.3219535366167491,0.007606277032957049,-0.012138611967332992,0.5607099560041054,0.004742986724050491
feature_020,feature_027,-0.01656443335112013,0.011980546763088702,-0.027469268212376344,0.5629939287446801,3.322013055961914e-05
feature_027,feature_020,0.011980546763089298,-0.01656443335111816,-0.02746926821237118,0.5629939287447477,3.322013055961914e-05
feature_018,feature_032,0.3227384768677306,-0.0469978608943041,0.012001115657498942,0.5649330915487563,0.005107328562716451
feature_012,feature_025,-0.030340578121840208,0.226683430838443,-0.011114515601895822,0.5760554586074436,0.009869333977284733
feature_027,feature_015,0.003726697450634149,1.6884395168143156,0.007841153142064305,0.581443507085376,0.5732485741170229
feature_027,feature_014,0.01918847635814691,-1.094341414887968,-0.016407751018963107,0.5881337311278437,0.11150210101268054
feature_020,feature_019,-0.024817467704900696,0.010611296287097253,0.011492802856104687,0.5959160056985527,7.160286361906909e-05
feature_012,feature_013,-0.03476849632767925,-0.002982060856391712,-0.010489978914354547,0.5994647222958758,7.992954523894369e-05
feature_027,feature_031,0.011761163373282167,-0.19768047455594875,-0.02239885398803537,0.6094097128600418,0.002076315686391106
feature_018,feature_029,0.3219422614544678,-0.010002613063665485,0.010454850257392732,0.6159028415708657,0.004747000216916875
feature_012,feature_031,-0.043760575421403214,-0.21441526441917524,0.020074993675153564,0.6168947267519049,0.0021365973086721057
feature_018,feature_024,0.32195270191704745,0.006155722854054733,-0.01022969233315027,0.6270003749666944,0.004740169644485981
feature_020,feature_028,-0.027675883883340514,-0.8248653127593428,0.048381524296366635,0.6305888980741966,0.006201582109740533
feature_020,feature_013,-0.024821568715618546,-0.0113429543463165,0.01008181909204891,0.6428308731087268,4.404557402404308e-05
feature_020,feature_007,-0.024703937268030662,0.004168053784136609,0.00943460239216836,0.6642096974635796,3.962636374166273e-05
feature_020,feature_032,-0.02536786757563665,-0.03858961086029929,-0.009212894059843373,0.6723924983301584,0.000372462120874828
feature_012,feature_020,-0.04048451802943219,-0.03418847410430241,0.018367732692330455,0.6734717809223509,9.082847291208562e-05
feature_020,feature_012,-0.034188474104306706,-0.04048451802942841,0.018367732692324293,0.6734717809224218,9.08284729129738e-05
feature_012,feature_021,-0.030034790881221667,-0.18094472059328937,-0.017941045477147578,0.6848654450056635,0.0015382371857896038
feature_020,feature_010,-0.024819441669567552,0.010745272483099064,-0.008697639351583766,0.6892304721622091,4.236782342270651e-05
feature_027,feature_008,0.003686401071160292,0.001269991419241578,0.008626148305232796,0.6929512155864817,6.603490809165002e-06
feature_020,smk_current,-0.01736363586799993,-0.6285027161606961,-0.018580558302332562,0.6933780781951078,0.016943659564235714
feature_012,feature_008,-0.03481304371696771,-9.901529262320349e-05,0.007838110370716907,0.6947968381029919,6.676730851118418e-05
feature_027,feature_018,0.0002226372520487867,0.3167637831040281,0.017631340104483806,0.6995571038947108,0.004738678220870707
feature_018,feature_027,0.31676378310402564,0.0002226372520478183,0.017631340104485554,0.699557103894716,0.004738678220870596
feature_027,feature_021,0.007481436959679421,-0.18480024390381364,-0.016873517672991944,0.7271121876427155,0.0014757464697876532
feature_027,feature_022,0.005794634499271306,0.194876603961827,-0.019918498744402192,0.7577154484728451,0.0008131174560267462
feature_027,feature_004,0.0035208372607133526,-0.014858083066073436,0.006702979221946808,0.7581131871412905,3.547863112440819e-05
feature_027,feature_019,0.0036786036932456925,0.012166637447721125,0.00659138102613004,0.7625879848350835,4.242726461900492e-05
feature_012,feature_010,-0.03482556238636825,0.005087581870278536,0.005947200032132744,0.7659278252207458,7.581592543426385e-05
feature_027,smk_former,-0.0006582341237926438,0.387475324405227,0.01264619195951749,0.7720311019063216,0.007595634319486511
feature_012,feature_002,-0.03243295124046648,0.017193138198539203,-0.016172320493764165,0.7730960912107895,6.462984404986827e-05
feature_012,feature_011,-0.033727459556316425,-0.9269173507481003,0.012827915916818144,0.7769693553954441,0.03205867620768088
feature_020,feature_005,-0.0263251862201874,-0.1295141434955377,0.03668527283423553,0.7782617530846374,0.00011176661875544891
feature_020,feature_023,-0.020702749066240728,-1.434022893066394,-0.011859873428322861,0.7845223288266168,0.09463853802091404
feature_018,feature_026,0.3220937315289602,-0.015103000878848869,0.005393117199500067,0.7962352408814092,0.004770355733989429
feature_027,feature_016,0.006916374056267918,0.7863954002156597,-0.016284488082365888,0.8024856612087442,0.013614670397571249
feature_027,feature_029,0.0035390667739344612,-0.008139355687034269,0.0054604351273110485,0.8027070708970475,1.0298467971514569e-05
feature_027,feature_017,0.0004824806520090652,-0.28524032563501484,0.005425644259800387,0.8027762421318846,0.01613345276653766
feature_020,feature_031,-0.029404105187538193,-0.20761764785260117,0.010872058650694587,0.803881055040501,0.0020975419423618913
feature_012,smk_current,-0.039037161923812555,-0.639423426402727,0.010380783323225957,0.8102662168288434,0.016984268601532126
feature_018,feature_014,0.31602657430379044,-1.0952980937188395,-0.006793593196985482,0.8151686532908503,0.11590279784400037
feature_027,smk_current,0.008901364204811898,-0.6312661571347241,-0.009710291554550247,0.8367727173229479,0.01692076273955001
feature_027,feature_023,-0.0021874287205677478,-1.4401864683811025,0.008888248210031396,0.8378091286768345,0.09460459176816949
feature_018,feature_033,0.32212089612283556,0.00929480852344322,0.004098876818245144,0.8442744877782627,0.004757899086893391
feature_012,feature_009,-0.03485689585043931,-0.008669863502337873,-0.0038693226176863276,0.8463983725628502,8.413881980806615e-05
feature_012,feature_003,-0.03482383608088797,-0.001340019899995543,-0.0036908178116589682,0.8534039283183752,6.35771558822329e-05
feature_027,feature_009,0.0037997206560244703,-0.0094135033157427,-0.003980910263826319,0.8552209515737543,2.3742543923344073e-05
feature_018,feature_011,0.32477309114715597,-0.9179712581947542,-0.00846311040227789,0.8580360499331213,0.03676542258217719
feature_012,feature_028,-0.03862910218830292,-0.8187520704731749,0.015762744301715786,0.8640419384971406,0.006242434293372234
feature_020,feature_022,-0.026736096220037437,0.1857504813954694,0.010679574767424808,0.8684635895249193,0.0008383603172795739
feature_020,feature_030,-0.024924932364249367,-0.013532825942499185,-0.0036007438367585895,0.868585197568755,6.935566845855945e-05
feature_012,feature_024,-0.03482014332319283,0.004293038536826067,-0.0031033247130531853,0.8765505793285868,6.287710233610078e-05
feature_020,smk_former,-0.017800508408759623,0.39306084577647643,-0.006603681190281267,0.8796805145774974,0.007612080231691021
feature_027,feature_007,0.0034728245310057812,0.00802186721015149,-0.003155974477612144,0.8848810453812742,1.0990883425932019e-05
feature_018,feature_004,0.32188143878111575,-0.0134259947858801,0.0030015716071469267,0.8861684573467637,0.0047652181522106485
feature_012,feature_030,-0.03497270068108058,-0.016066478892365198,0.002810894836888952,0.8880861936456508,0.00010437606254465326
feature_027,feature_013,0.003586255299674306,-0.007425133475169753,-0.0028532657151455407,0.8951321420052252,1.4701657791715839e-05
feature_012,feature_005,-0.034346521051224044,-0.11236016050444714,-0.011891785028331006,0.9186234803881501,0.00014389511442824965
feature_020,feature_033,-0.024950562839233636,0.009301235204019227,0.0015301787440302568,0.9440391518419613,4.51560533537565e-05
