metric,llm,harness,workflow,reasoning_effort,condition,value,ci95_low,ci95_high,ci_method,ci_status,ci_valid_resamples,runs_planned,runs_attempted,runs_completed,runs_failed,runs_unfinished,runs_queued,reports_included,metric_available_runs,response_supported_available_runs,response_excluded_available_runs,response_ambiguous_available_runs
precision,gpt-6-astra,Codex,deliberative,medium,surprising-masked,93.83554648274404,88.69700332963374,98.27380952380952,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,persistent,medium,expected-unmasked,95.69027032917973,94.58542088900339,96.7815076030412,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
precision,gpt-5.6-sol,Codex,persistent,medium,expected-masked,96.04836412315672,94.42057250866634,97.72330100640968,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-5.6-sol,Codex,persistent,medium,surprising-unmasked,91.40845621106246,87.06787462761362,95.33623969216389,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
precision,gpt-5.6-sol,Codex,persistent,medium,surprising-masked,93.15838886873146,87.85623590644981,96.99569927868696,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,sequential,medium,expected-unmasked,93.38438389114133,91.5819683050571,95.04308805513573,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-5.6-sol,Codex,sequential,medium,expected-masked,94.90661053517161,92.11282743153286,97.00114477590549,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,10
precision,gpt-5.6-sol,Codex,sequential,medium,surprising-unmasked,90.2138733476574,86.52082636780241,93.52606290908128,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-5.6-sol,Codex,sequential,medium,surprising-masked,88.65485599333327,82.6212905028801,93.8228719313356,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,deliberative,medium,expected-unmasked,93.0951499777625,89.52320869458505,96.2197697258268,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,deliberative,medium,expected-masked,93.83134852591314,90.52360949323395,96.47109390817626,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,deliberative,medium,surprising-unmasked,89.09707098316137,85.12344507617603,92.65711204687138,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
precision,gpt-5.6-sol,Codex,deliberative,medium,surprising-masked,92.18865700045811,86.03138175962766,97.21778199374849,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
precision,gpt-5.6-terra,Codex,persistent,medium,expected-unmasked,97.61752136752136,95.63034188034187,99.44444444444444,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,4
precision,gpt-5.6-terra,Codex,persistent,medium,expected-masked,98.44267934623558,97.49640833556006,99.33491138059702,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,4
precision,gpt-5.6-terra,Codex,persistent,medium,surprising-unmasked,97.04940754005409,94.79253393665158,98.77717869209052,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
precision,gpt-5.6-terra,Codex,persistent,medium,surprising-masked,97.81922525107603,93.7015781922525,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-terra,Codex,sequential,medium,expected-unmasked,93.54504052139626,90.76230613165846,96.42351403823177,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-5.6-terra,Codex,sequential,medium,expected-masked,99.0625,97.1875,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
precision,gpt-5.6-terra,Codex,sequential,medium,surprising-unmasked,94.36625951078413,91.23259094196064,97.1405520970886,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
precision,gpt-5.6-terra,Codex,sequential,medium,surprising-masked,97.7432712215321,94.53416149068323,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,10
precision,gpt-5.6-terra,Codex,deliberative,medium,expected-unmasked,95.723520139281,92.79114906832298,98.33415678524375,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
precision,gpt-5.6-terra,Codex,deliberative,medium,expected-masked,99.76190476190476,99.28571428571428,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,3
precision,gpt-5.6-terra,Codex,deliberative,medium,surprising-unmasked,91.11548987411057,78.82539682539682,98.57142857142857,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,7
precision,gpt-5.6-terra,Codex,deliberative,medium,surprising-masked,91.58461538461539,79.96923076923076,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-luna,Codex,persistent,medium,expected-unmasked,59.45575559610647,36.918796755145436,78.49499185902695,run bootstrap,available,10000,10,10,9,1,0,0,10,9,8,10,9
precision,gpt-5.6-luna,Codex,persistent,medium,expected-masked,91.89341799569965,81.9224256712488,98.22663984760759,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,7
precision,gpt-5.6-luna,Codex,persistent,medium,surprising-unmasked,72.24447450570278,64.08027070041871,80.15004531930043,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
precision,gpt-5.6-luna,Codex,persistent,medium,surprising-masked,85.23722190932132,73.6501572327044,95.79912935323382,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,7
precision,gpt-5.6-luna,Codex,sequential,medium,expected-unmasked,76.16343553998257,62.903770231933905,86.79981882116782,run bootstrap,available,10000,10,10,10,0,0,0,10,8,8,10,9
precision,gpt-5.6-luna,Codex,sequential,medium,expected-masked,89.34198946290392,83.07408489632655,95.10767019366912,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
precision,gpt-5.6-luna,Codex,sequential,medium,surprising-unmasked,58.22154312388072,40.90283130847647,72.46355996944233,run bootstrap,available,10000,10,10,10,0,0,0,10,9,8,10,10
precision,gpt-5.6-luna,Codex,sequential,medium,surprising-masked,80.80001659201167,61.789506331923064,95.86931338703491,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
precision,gpt-5.6-luna,Codex,deliberative,medium,expected-unmasked,60.90439178127025,41.215822031772696,78.80982141787402,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-5.6-luna,Codex,deliberative,medium,expected-masked,90.50019740334527,84.04508474936797,96.09605844191245,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,5
precision,gpt-5.6-luna,Codex,deliberative,medium,surprising-unmasked,67.74918572863318,56.232134680063425,78.05600657820982,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
precision,gpt-5.6-luna,Codex,deliberative,medium,surprising-masked,90.04562213684055,82.35918159819713,96.72043520023645,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,8
precision,claude-opus-5,Custom runner,persistent,medium,expected-unmasked,92.46915966416708,86.15247219290413,98.41224565093414,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
precision,claude-opus-5,Custom runner,persistent,medium,expected-masked,93.88487318209175,89.38541857483055,98.38432778935294,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
precision,claude-opus-5,Custom runner,persistent,medium,surprising-unmasked,93.5116164597504,89.79631296120124,97.22691995829955,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,4,4
precision,claude-opus-5,Custom runner,persistent,medium,surprising-masked,91.9311552494754,82.40215455066337,98.25121115443696,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
precision,claude-opus-5,Custom runner,sequential,medium,expected-unmasked,97.98115609880315,95.79220779220779,99.76470588235294,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,5
precision,claude-opus-5,Custom runner,sequential,medium,expected-masked,93.77532338004586,91.09982379742613,96.4508229626656,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
precision,claude-opus-5,Custom runner,sequential,medium,surprising-unmasked,94.41729118777563,90.59145032207691,97.8371623570124,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
precision,claude-opus-5,Custom runner,sequential,medium,surprising-masked,92.89216247139588,86.38672768878719,96.82780320366132,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
precision,claude-opus-5,Custom runner,deliberative,medium,expected-unmasked,97.21185181861904,95.38106874031119,98.89379779099406,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,3
precision,claude-opus-5,Custom runner,deliberative,medium,expected-masked,96.50324669672545,94.62089375554896,98.5321100917431,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
precision,claude-opus-5,Custom runner,deliberative,medium,surprising-unmasked,93.32787642744208,86.53658536585367,97.68921337414488,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
precision,claude-opus-5,Custom runner,deliberative,medium,surprising-masked,94.62336724809997,89.95819397993311,98.391881342701,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,5
precision,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,expected-unmasked,97.6470588235294,92.94117647058825,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,9,3
precision,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,expected-masked,97.41244646006551,93.46182917611489,100.0,run bootstrap,available,10000,10,10,8,2,0,0,10,10,9,8,4
precision,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,surprising-unmasked,95.5,89.0,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
precision,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,surprising-masked,99.5,98.5,100.0,run bootstrap,available,10000,10,10,8,2,0,0,10,10,10,9,8
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,expected-unmasked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,1
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,expected-masked,96.02564102564102,90.38461538461539,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,4
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,surprising-unmasked,95.0,85.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,4
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,surprising-masked,89.73809523809524,79.16666666666666,98.33928571428562,run bootstrap,available,10000,10,10,8,2,0,0,10,10,10,10,6
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,expected-unmasked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,2
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,expected-masked,91.78571428571429,76.78571428571429,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,5
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,surprising-unmasked,86.0,73.0,98.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,4
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,surprising-masked,99.28571428571429,97.85714285714286,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,expected-unmasked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,2
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,expected-masked,94.88888888888889,86.88888888888889,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,surprising-unmasked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,2
precision,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,surprising-masked,99.5,98.5,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,5
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,expected-unmasked,99.23076923076923,97.6923076923077,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,expected-masked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,3
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,surprising-unmasked,82.4193780076133,68.87362637362637,93.83753501400561,run bootstrap,available,10000,10,10,8,2,0,0,10,10,10,10,9
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,surprising-masked,99.33333333333333,98.0,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,7
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,expected-unmasked,99.0909090909091,97.27272727272727,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,5
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,expected-masked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,surprising-unmasked,97.88770053475936,94.25133689839572,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,9
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,surprising-masked,97.36842105263158,92.10526315789473,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,expected-unmasked,99.41176470588235,98.23529411764706,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,4
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,expected-masked,97.89473684210526,93.68421052631578,100.0,run bootstrap,available,10000,10,10,7,3,0,0,10,10,10,10,6
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,surprising-unmasked,96.28070175438596,90.94736842105263,100.0,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
precision,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,surprising-masked,100.0,100.0,100.0,run bootstrap,available,10000,10,10,8,2,0,0,10,10,10,10,5
recall,gpt-6-astra,Codex,persistent,medium,expected-unmasked,68.33333333333333,66.66666666666666,71.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-6-astra,Codex,persistent,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-6-astra,Codex,persistent,medium,surprising-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
recall,gpt-6-astra,Codex,persistent,medium,surprising-masked,68.33333333333333,66.66666666666666,71.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-6-astra,Codex,sequential,medium,expected-unmasked,63.33333333333332,56.66666666666665,66.66666666666666,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,8
recall,gpt-6-astra,Codex,sequential,medium,expected-masked,73.33333333333333,68.33333333333333,78.33333333333334,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-6-astra,Codex,sequential,medium,surprising-unmasked,69.99999999999999,66.66666666666666,76.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
recall,gpt-6-astra,Codex,sequential,medium,surprising-masked,68.33333333333333,66.66666666666666,71.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-6-astra,Codex,deliberative,medium,expected-unmasked,68.33333333333333,66.66666666666666,71.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
recall,gpt-6-astra,Codex,deliberative,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-6-astra,Codex,deliberative,medium,surprising-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-6-astra,Codex,deliberative,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,persistent,medium,expected-unmasked,63.33333333333332,56.66666666666665,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
recall,gpt-5.6-sol,Codex,persistent,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-5.6-sol,Codex,persistent,medium,surprising-unmasked,61.66666666666666,51.66666666666665,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
recall,gpt-5.6-sol,Codex,persistent,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,sequential,medium,expected-unmasked,54.444444444444436,41.11111111111111,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-5.6-sol,Codex,sequential,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,10
recall,gpt-5.6-sol,Codex,sequential,medium,surprising-unmasked,58.33333333333333,46.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-5.6-sol,Codex,sequential,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,deliberative,medium,expected-unmasked,48.888888888888886,34.444444444444436,63.33333333333333,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,deliberative,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,deliberative,medium,surprising-unmasked,38.33333333333333,23.333333333333332,53.33333333333333,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
recall,gpt-5.6-sol,Codex,deliberative,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
recall,gpt-5.6-terra,Codex,persistent,medium,expected-unmasked,51.11111111111111,37.77777777777777,63.33333333333333,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,4
recall,gpt-5.6-terra,Codex,persistent,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,4
recall,gpt-5.6-terra,Codex,persistent,medium,surprising-unmasked,59.99999999999999,51.666666666666664,64.99999999999999,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
recall,gpt-5.6-terra,Codex,persistent,medium,surprising-masked,61.66666666666666,53.33333333333333,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-terra,Codex,sequential,medium,expected-unmasked,52.222222222222214,41.1111111111111,63.33333333333333,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
recall,gpt-5.6-terra,Codex,sequential,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
recall,gpt-5.6-terra,Codex,sequential,medium,surprising-unmasked,54.99999999999999,44.999999999999986,64.99999999999999,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
recall,gpt-5.6-terra,Codex,sequential,medium,surprising-masked,64.99999999999999,61.66666666666665,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,10
recall,gpt-5.6-terra,Codex,deliberative,medium,expected-unmasked,54.444444444444436,42.222222222222214,66.66666666666666,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
recall,gpt-5.6-terra,Codex,deliberative,medium,expected-masked,64.44444444444443,59.999999999999986,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,3
recall,gpt-5.6-terra,Codex,deliberative,medium,surprising-unmasked,35.0,23.33333333333333,46.666666666666664,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,9,7
recall,gpt-5.6-terra,Codex,deliberative,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-luna,Codex,persistent,medium,expected-unmasked,13.333333333333332,4.444444444444445,22.22222222222222,run bootstrap,available,10000,10,10,9,1,0,0,10,10,8,10,9
recall,gpt-5.6-luna,Codex,persistent,medium,expected-masked,37.77777777777777,23.333333333333332,52.222222222222214,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,7
recall,gpt-5.6-luna,Codex,persistent,medium,surprising-unmasked,21.666666666666664,11.666666666666664,31.666666666666664,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
recall,gpt-5.6-luna,Codex,persistent,medium,surprising-masked,41.666666666666664,30.0,53.33333333333333,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,7
recall,gpt-5.6-luna,Codex,sequential,medium,expected-unmasked,4.444444444444445,0.0,8.88888888888889,run bootstrap,available,10000,10,10,10,0,0,0,10,10,8,10,9
recall,gpt-5.6-luna,Codex,sequential,medium,expected-masked,51.11111111111111,41.1111111111111,59.999999999999986,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,5
recall,gpt-5.6-luna,Codex,sequential,medium,surprising-unmasked,6.666666666666666,0.0,13.333333333333332,run bootstrap,available,10000,10,10,10,0,0,0,10,10,8,10,10
recall,gpt-5.6-luna,Codex,sequential,medium,surprising-masked,36.666666666666664,23.33333333333333,49.99999999999999,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,6
recall,gpt-5.6-luna,Codex,deliberative,medium,expected-unmasked,4.444444444444445,0.0,10.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
recall,gpt-5.6-luna,Codex,deliberative,medium,expected-masked,41.11111111111111,27.77777777777777,54.444444444444436,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,5
recall,gpt-5.6-luna,Codex,deliberative,medium,surprising-unmasked,9.999999999999998,4.999999999999999,14.999999999999996,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,10
recall,gpt-5.6-luna,Codex,deliberative,medium,surprising-masked,39.99999999999999,26.666666666666664,53.33333333333333,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,8
recall,claude-opus-5,Custom runner,persistent,medium,expected-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
recall,claude-opus-5,Custom runner,persistent,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
recall,claude-opus-5,Custom runner,persistent,medium,surprising-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,4,4
recall,claude-opus-5,Custom runner,persistent,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
recall,claude-opus-5,Custom runner,sequential,medium,expected-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,5
recall,claude-opus-5,Custom runner,sequential,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
recall,claude-opus-5,Custom runner,sequential,medium,surprising-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
recall,claude-opus-5,Custom runner,sequential,medium,surprising-masked,63.33333333333333,56.666666666666664,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
recall,claude-opus-5,Custom runner,deliberative,medium,expected-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,3
recall,claude-opus-5,Custom runner,deliberative,medium,expected-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,4
recall,claude-opus-5,Custom runner,deliberative,medium,surprising-unmasked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,5,0,0,0,5,5,5,5,5
recall,claude-opus-5,Custom runner,deliberative,medium,surprising-masked,66.66666666666666,66.66666666666666,66.66666666666666,run bootstrap,available,10000,5,5,4,1,0,0,5,5,5,5,5
recall,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,expected-unmasked,63.33333333333332,56.66666666666665,66.66666666666666,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,9,3
