llm,harness,workflow,view,version,run_id,status,input_tokens,cached_input_tokens,output_tokens,gpu_hours,gpu_kwh,estimated_cost_usd,reported_missing_token_calls,unaccounted_infrastructure_attempts,cost_basis
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r004,completed,8529166,826368,256756,,,90.692148,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r005,completed,8764739,871936,254391,,,92.519516,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r006,completed,8120337,824448,244298,,,85.998238,4,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r007,completed,8333771,876032,244330,,,87.669922,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r008,completed,8465432,842624,251340,,,89.637704,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r009,completed,8438784,801024,260281,,,90.192674,0,1,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r010,completed,8257203,818176,250607,,,87.738796,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r001,completed,7950125,795648,240565,,,84.368668,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r002,completed,8255763,833920,253195,,,87.7121,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r003,completed,8230434,798336,244870,,,87.362816,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r004,completed,8222554,865664,253773,,,87.123214,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r005,completed,7597290,835456,238355,,,80.371546,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r006,completed,7687229,826112,237926,,,81.333582,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r007,completed,8316192,807296,252636,,,88.528056,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r008,completed,8064120,811776,247894,,,85.729916,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r009,completed,9077420,838528,265289,,,96.491898,0,1,Standard API
gpt-6-astra,Codex,deliberative,unmasked,surprising,997d9404f1e89442__deliberative__astra_medium__r010,completed,8545311,831488,257578,,,90.848618,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r001,completed,5470916,283392,187679,,,24.6170328,0,1,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r002,completed,5150062,221184,163178,,,23.067545600000003,0,1,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r003,completed,5199734,232704,162187,,,23.2049416,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r004,completed,5190367,275456,156737,,,22.9045664,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r005,completed,5265561,230400,169193,,,23.616664,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r006,completed,5154633,232704,171485,,,23.2104976,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r007,completed,5329901,270720,174633,,,23.837672,0,3,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r008,completed,5158010,228096,174262,,,23.2961344,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r009,completed,5068865,228096,163028,,,22.7148744,0,1,Standard API
gpt-5.6-sol,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__sol_medium__r010,completed,5155472,235008,172819,,,23.2322392,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r001,completed,5309954,235008,183603,,,24.0658472,0,1,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r002,completed,5319150,237312,173565,,,23.8935768,0,1,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r003,completed,5087850,307072,161309,,,22.4721208,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r004,completed,5146745,225792,162542,,,23.0249688,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r005,completed,5220471,235008,169085,,,23.4175552,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r006,completed,5207994,235008,181232,,,23.610587199999998,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r007,completed,5141109,299904,164275,,,22.7702816,0,3,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r008,completed,5270838,228096,169101,,,23.644226399999997,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r009,completed,5016643,225792,163658,,,22.5268808,0,0,Standard API
gpt-5.6-sol,Codex,persistent,masked,surprising,1a87643398283251__persistent__sol_medium__r010,completed,5064942,281216,162461,,,22.496610399999998,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r001,completed,5262503,230400,183629,,,23.893152,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r002,completed,4971562,235008,170163,,,22.4434792,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r003,completed,4922143,321920,152414,,,21.57794,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r004,completed,5361632,232704,190183,,,24.412453600000003,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r005,completed,5227307,375424,157382,,,22.7053416,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r006,completed,5638086,278912,201813,,,25.5845208,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r007,completed,5269543,281600,168779,,,23.439992,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r008,completed,5589775,344576,181073,,,24.7400864,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r009,completed,5650649,326144,200624,,,25.4409576,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__sol_medium__r010,completed,5093531,328832,159249,,,22.3753088,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r001,completed,5002257,221184,161637,,,22.4455056,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r002,completed,5399503,244224,202839,,,24.775585600000003,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r003,completed,5361668,376192,176461,,,23.6216008,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r004,completed,5373144,285440,181547,,,24.095932,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r005,completed,5468721,232704,192820,,,24.8935496,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r006,completed,5454021,271744,176259,,,24.362985600000002,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r007,completed,5355734,277248,188721,,,24.1992632,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r008,completed,5664611,244224,195448,,,25.688197600000002,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r009,completed,5201325,298112,177944,,,23.2909768,0,0,Standard API
gpt-5.6-sol,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__sol_medium__r010,completed,5138643,305280,171018,,,22.875924,0,1,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r001,completed,3836166,223488,157735,,,17.6948072,1,1,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r002,completed,3829259,269440,172669,,,17.800432,0,1,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r003,completed,3824989,252416,190090,,,18.193058399999998,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r004,completed,4193760,237312,192239,,,19.7654968,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r005,completed,3933172,241920,187674,,,18.615256,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r006,completed,3943233,232704,179466,,,18.524517600000003,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r007,completed,3923816,321280,174589,,,18.030436,0,2,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r008,completed,3905080,230400,178846,,,18.3678,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r009,completed,4128374,241920,198522,,,19.613024,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__sol_medium__r010,completed,4135021,285952,191244,,,19.3355368,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,surprising,1a87643398283251__sequential__sol_medium__r001,completed,3851301,343808,166481,,,17.4971152,0,1,Standard API
gpt-5.6-sol,Codex,sequential,masked,surprising,1a87643398283251__sequential__sol_medium__r002,completed,3639182,307328,179589,,,17.0421272,0,1,Standard API
gpt-5.6-sol,Codex,sequential,masked,surprising,1a87643398283251__sequential__sol_medium__r003,completed,3694437,311552,169301,,,17.0421808,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,surprising,1a87643398283251__sequential__sol_medium__r004,completed,3798276,223488,179262,,,17.9737872,0,0,Standard API
gpt-5.6-sol,Codex,sequential,masked,surprising,1a87643398283251__sequential__sol_medium__r005,completed,3571784,230400,172039,,,16.898476,0,0,Standard API
