metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,value,ci95_low,ci95_high,ci_method,ci_status,ci_valid_resamples
summary_score,claude-opus-5,Custom runner,sequential,medium,20,19,1,309733,79.45768759807642,78.26315244348348,80.75332085563781,joint whole-run bootstrap,available,9996
label_surprise_interaction,claude-opus-5,Custom runner,sequential,medium,20,19,1,309733,0,-61.44509943096562,61.44509943096562,Wilson-based MOVER,available,0
summary_score,claude-opus-5,Custom runner,deliberative,medium,20,18,2,1222954.0,80.06260534529166,78.96103514488448,81.13903806730906,joint whole-run bootstrap,available,9887
label_surprise_interaction,claude-opus-5,Custom runner,deliberative,medium,20,18,2,1222954.0,0,-61.44509943096562,61.44509943096562,Wilson-based MOVER,available,0
summary_score,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,76.10887912490017,71.72289761814534,78.66910713063527,joint whole-run bootstrap,available,9655
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,10,-30.099030708369355,51.17422662288616,Wilson-based MOVER,available,0
summary_score,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,72.25235792753023,,,joint whole-run bootstrap,insufficient eligible runs,6388
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,40,-4.173399396351897,83.8176434885041,Wilson-based MOVER,available,0
summary_score,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,40,40,0,265093.5,71.43119016854608,,,joint whole-run bootstrap,too many bootstrap draws lack eligible evidence,8804
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,40,40,0,265093.5,30,-12.583239905721292,73.41733902991137,Wilson-based MOVER,available,0
summary_score,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,40,40,0,822696.5,68.28298222760816,,,joint whole-run bootstrap,too many bootstrap draws lack eligible evidence,7915
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,40,40,0,822696.5,40,-7.646185198429208,84.12336141739237,Wilson-based MOVER,available,0
summary_score,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,70.63497705409694,66.87742797749115,74.01433145616073,joint whole-run bootstrap,available,9753
label_surprise_interaction,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,50,2.731394143132242,88.26325325497778,Wilson-based MOVER,available,0
summary_score,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,40,40,0,310695.5,72.01567134949133,67.4342767081382,75.49606216273625,joint whole-run bootstrap,available,9991
label_surprise_interaction,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,40,40,0,310695.5,20,-25.43961825153847,61.91804661866238,Wilson-based MOVER,available,0
summary_score,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,40,33,7,810756,75.42346268087331,72.54828143883942,77.61767415030936,joint whole-run bootstrap,available,9937
label_surprise_interaction,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,40,33,7,810756,20,-21.783838467907138,61.59612350255932,Wilson-based MOVER,available,0
