feature,type,effect,p,nu
feature_037,binary,0.026849135461385565,0.20451569124918997,2
feature_018,cat,0.08158197697202407,0.21911235021866027,4
feature_123,cont,0.005458145493611127,0.22229167580488768,17
feature_111,binary,0.0312985936833714,0.22481548890050165,2
feature_060,binary,-0.03436722493982902,0.22674790840096656,2
feature_072,binary,-0.07465678441486912,0.22974896191393265,2
feature_001,binary,0.0707994336886486,0.24143811179473568,2
feature_073,binary,-0.043643077063366675,0.24352913381705063,2
feature_108,binary,-0.03184946422509327,0.24414081059672624,2
feature_030,binary,0.03032145822878718,0.2603917460253776,2
feature_084,cont,-0.004880759238185097,0.2751188346483645,5796
feature_061,binary,-0.023353870409711597,0.27734348107366524,2
feature_017,binary,-0.04996844754720353,0.2788057056309014,2
feature_118,cont,-0.004801902215893823,0.2829493947013444,34
feature_074,binary,0.023422311550566732,0.29740564263428565,2
feature_015,binary,0.03185244205001325,0.3144321694284707,2
feature_097,cont,0.004374451780213094,0.3280063825245135,14
feature_096,cont,-0.004344371091703115,0.3313435507043106,5
feature_022,binary,0.023852667424264062,0.3334620094451715,2
feature_053,binary,-0.030350899359630645,0.33347732564645344,2
feature_045,binary,0.02447901177729772,0.3387569748193592,2
feature_114,binary,-0.01961251586383117,0.34443248979368046,2
feature_087,binary,0.02956000215900101,0.3481813547470277,2
feature_066,binary,-0.019097964030388326,0.35440736707411286,2
feature_088,binary,0.019010518285527134,0.3570570802503838,2
feature_036,binary,-0.055627641219246904,0.36033490664362416,2
feature_020,cont,-0.0040046481490871545,0.37054778386966125,1856
feature_071,cont,-0.0039767651824711885,0.373888610784924,11
feature_008,binary,-0.01830565413944374,0.37511593366403073,2
feature_050,binary,-0.12068062645597877,0.3913454774327474,2
feature_076,binary,-0.017816866683859622,0.39366766866261355,2
feature_004,binary,0.03742614392241084,0.4208210907158019,2
feature_016,cont,0.0034972847568342773,0.4342148757662105,1164
feature_052,binary,0.021377558105206695,0.46239007633789087,2
feature_106,binary,-0.015103721542577553,0.4634272830021721,2
feature_064,cat,0.13372563046138897,0.4794502059601774,5
feature_119,cont,-0.003110474458803737,0.4867372956169117,93
feature_082,cont,0.002988885724620181,0.5039293814972113,88
feature_081,binary,-0.018763613740269136,0.5189368626489576,2
feature_042,cont,0.0028239799823773014,0.5277485591658894,8527
feature_107,binary,-0.024254804066826452,0.528258837482083,2
feature_105,binary,0.013467279805797538,0.5461460794315068,2
feature_033,cont,0.002687421856272249,0.5478986953213084,5
feature_012,binary,0.011954406837554998,0.5604174231402679,2
feature_090,cont,0.002513757856457779,0.5740613915300264,819
feature_077,binary,-0.012627500436467542,0.6114457563310283,2
feature_069,binary,-0.01255672666545582,0.6233633029829523,2
feature_113,binary,-0.02843999527514285,0.6274570118763281,2
feature_058,binary,0.049510719361856026,0.6483476184927027,2
feature_048,binary,0.009186615182571245,0.660668968389674,2
feature_075,cont,-0.001892777629929085,0.6721291075096899,5
feature_035,binary,-0.019225840858952736,0.680349204413334,2
feature_046,binary,-0.00907576485627537,0.7016242442111295,2
feature_110,binary,0.015226462126104678,0.7237014242306877,2
feature_011,cont,0.0015344419785503689,0.7315207627343621,1348
feature_104,binary,0.013048505787938147,0.7354241935003043,2
feature_100,binary,0.024036618587379266,0.741251555676544,2
feature_093,binary,0.019647519074915465,0.7416787649993222,2
feature_117,binary,-0.014135218926748294,0.7453697664739175,2
feature_091,binary,0.01656859747133499,0.750135022335352,2
feature_049,binary,0.006745990983830552,0.7530588901602104,2
feature_115,binary,-0.014015562850260288,0.759219875472835,2
feature_007,binary,-0.006023315423925091,0.7702692019715673,2
feature_080,binary,-0.021744137020345278,0.7703873505776446,2
feature_120,binary,-0.02188626140753147,0.7743926326850282,2
feature_098,binary,-0.02992320702703477,0.7744591948344488,2
feature_027,binary,0.03994909148473624,0.7861833575452978,2
feature_019,cont,-0.0011826017818815837,0.7914476119457391,467
feature_044,cont,0.0011033865535277315,0.8051259791575758,5741
feature_086,binary,0.005450360045876401,0.8107213831064481,2
feature_055,cont,-0.0010518491799919858,0.8140575326342188,3686
feature_023,binary,0.00775769249842817,0.819642906442986,2
feature_122,binary,-0.004699856361551902,0.8196823342608103,2
feature_039,binary,0.005186669255706988,0.8556953074438376,2
feature_005,binary,-0.003661094123144082,0.8588629693819372,2
feature_024,binary,0.005400886234546931,0.8725186558849393,2
feature_034,binary,-0.0025327509601664744,0.9239317050549372,2
feature_003,cont,0.000354461457000668,0.9368274025311241,114
feature_056,cont,0.0003312767494225426,0.9409515963234868,25
feature_101,cont,-0.00029224845454203254,0.9478976351315107,9070
feature_085,binary,0.000756655398282291,0.9824167708013618,2
feature_031,cont,-3.530433340995764e-05,0.9937014916210813,77
