feature,kind,n0,n1,mean0,mean1,diff,t,p,r,F,means
feature_030,binary,41025.0,8975.0,4.3061779001833775,4.336499358412165,0.03032145822878718,1.1255144582438517,0.2603917460253776,,,
feature_097,continuous,,,,,0.0050248438732340955,,0.2611962317406869,0.0050248438732340955,,
feature_061,binary,32593.0,17407.0,4.319751018379883,4.296397147970171,-0.023353870409711597,-1.0863229383924595,0.27734348107366524,,,
feature_017,binary,47481.0,2519.0,4.314138012322873,4.26416956477567,-0.04996844754720353,-1.0832161160218,0.2788057056309014,,,
feature_011,continuous,,,,,0.004735716664714308,,0.28963717062270583,0.004735716664714308,,
feature_074,binary,35112.0,14888.0,4.304646374448148,4.328068685998715,0.023422311550566732,1.0420324920555188,0.29740564263428565,,,
feature_015,binary,44018.0,5982.0,4.307809775768582,4.339662217818595,0.03185244205001325,1.00603131188379,0.3144321694284707,,,
feature_044,continuous,,,,,0.004427194229855226,,0.32220793089459565,0.004427194229855226,,
feature_022,binary,39011.0,10989.0,4.30637826268894,4.3302309301132045,0.023852667424264062,0.9671904434235346,0.3334620094451715,,,
feature_053,binary,44042.0,5958.0,4.315237215103139,4.284886315743508,-0.030350899359630645,-0.9671942260800307,0.33347732564645344,,,
feature_118,continuous,,,,,-0.004313430427097831,,0.33479894735114135,-0.004313430427097831,,
feature_123,continuous,,,,,0.004295399590904566,,0.3368232675198376,0.004295399590904566,,
feature_045,binary,39927.0,10073.0,4.306689060222791,4.3311680720000885,0.02447901177729772,0.9566536841539699,0.3387569748193592,,,
feature_114,binary,28721.0,21279.0,4.319967296436775,4.300354780572944,-0.01961251586383117,-0.9454532969322024,0.34443248979368046,,,
feature_087,binary,44065.0,5935.0,4.308111829679172,4.337671831838173,0.02956000215900101,0.9381803411672918,0.3481813547470277,,,
feature_084,continuous,,,,,-0.0041598245344332645,,0.3522955934025932,-0.0041598245344332645,,
feature_066,binary,27617.0,22383.0,4.320169996513289,4.3010720324829,-0.019097964030388326,-0.9260832861849989,0.35440736707411286,,,
feature_088,binary,27365.0,22635.0,4.303014540307587,4.322025058593114,0.019010518285527134,0.9209961442765319,0.3570570802503838,,,
feature_036,binary,48496.0,1504.0,4.31329388138332,4.257666240164073,-0.055627641219246904,-0.9149905126033449,0.36033490664362416,,,
feature_008,binary,27669.0,22331.0,4.319796273187204,4.30149061904776,-0.01830565413944374,-0.886939524443644,0.37511593366403073,,,
feature_050,binary,49775.0,225.0,4.312163664754497,4.191483038298518,-0.12068062645597877,-0.8588248023335713,0.3913454774327474,,,
feature_076,binary,29788.0,20212.0,4.318822892123729,4.301006025439869,-0.017816866683859622,-0.8529933953982284,0.39366766866261355,,,
feature_004,binary,47459.0,2541.0,4.309718605301308,4.347144749223719,0.03742614392241084,0.8051151135989437,0.4208210907158019,,,
feature_052,binary,42555.0,7445.0,4.30843748353358,4.329815041638787,0.021377558105206695,0.7349448491633322,0.46239007633789087,,,
feature_106,binary,22531.0,27469.0,4.319918284476507,4.304814562933929,-0.015103721542577553,-0.7332208886214422,0.4634272830021721,,,
feature_064,cat(5),,,,,,,0.4794502059601774,,0.8724314412177243,"{'white': np.float64(4.315667554390914), 'hispanic': np.float64(4.314635687573159), 'asian': np.float64(4.30573528232173), 'black': np.float64(4.273362668088064), 'other': np.float64(4.407088298549452)}"
feature_081,binary,42608.0,7392.0,4.314394614590807,4.295631000850538,-0.018763613740269136,-0.6450077436014151,0.5189368626489576,,,
feature_107,binary,46114.0,3886.0,4.313505685307519,4.289250881240693,-0.024254804066826452,-0.6307145013042504,0.528258837482083,,,
feature_090,continuous,,,,,0.0027572559287074344,,0.537546805867963,0.0027572559287074344,,
feature_105,binary,34868.0,15132.0,4.307544864375019,4.321012144180816,0.013467279805797538,0.6035523150509268,0.5461460794315068,,,
feature_071,continuous,,,,,-0.0026952849853847994,,0.546728194966553,-0.0026952849853847994,,
feature_012,binary,26161.0,23839.0,4.305920979843435,4.31787538668099,0.011954406837554998,0.5822255365005569,0.5604174231402679,,,
feature_077,binary,38994.0,11006.0,4.31440016733152,4.301772666895053,-0.012627500436467542,-0.5080199021542955,0.6114457563310283,,,
feature_069,binary,39998.0,10002.0,4.3141324495376026,4.301575722872147,-0.01255672666545582,-0.4910991517935159,0.6233633029829523,,,
feature_113,binary,48540.0,1460.0,4.312451049797479,4.284011054522336,-0.02843999527514285,-0.4854055912523627,0.6274570118763281,,,
feature_075,multinary(5),,,,,0.048120682109732194,,0.6423825520087946,,0.6281510478501984,"[np.float64(4.303211723195664), np.float64(4.330031785852263), np.float64(4.298141333066143), np.float64(4.289095974615171), np.float64(4.3372166567249035)]"
feature_058,binary,49489.0,511.0,4.311114602383567,4.360625321745423,0.049510719361856026,0.45632423324188687,0.6483476184927027,,,
feature_082,continuous,,,,,0.0019789234433970856,,0.658134589251956,0.0019789234433970856,,
feature_048,binary,29896.0,20104.0,4.307926847702837,4.317113462885408,0.009186615182571245,0.43899278496559435,0.660668968389674,,,
feature_035,binary,47487.0,2513.0,4.312586892697016,4.293361051838064,-0.019225840858952736,-0.412029869271375,0.680349204413334,,,
feature_046,binary,37372.0,12628.0,4.3139127771075465,4.304837012251271,-0.00907576485627537,-0.38313390945617587,0.7016242442111295,,,
feature_101,continuous,,,,,0.0016936427097977223,,0.7049100394806981,0.0016936427097977223,,
feature_110,binary,47027.0,2973.0,4.310715236497427,4.325941698623532,0.015226462126104678,0.3535458303627975,0.7237014242306877,,,
feature_019,continuous,,,,,0.0015253726833565624,,0.7330468408389298,0.0015253726833565624,,
feature_104,binary,46110.0,3890.0,4.310605428185143,4.323653933973081,0.013048505787938147,0.337939707732045,0.7354241935003043,,,
feature_119,continuous,,,,,-0.0014916834813059458,,0.738724879397738,-0.0014916834813059458,,
feature_100,binary,49010.0,990.0,4.311144676887415,4.335181295474794,0.024036618587379266,0.3302852848351253,0.741251555676544,,,
feature_093,binary,48480.0,1520.0,4.311023317355567,4.330670836430483,0.019647519074915465,0.3296875772386287,0.7416787649993222,,,
feature_117,binary,46968.0,3032.0,4.312477761611164,4.2983425426844155,-0.014135218926748294,-0.32477691888117527,0.7453697664739175,,,
feature_091,binary,47957.0,2043.0,4.310943609042766,4.327512206514101,0.01656859747133499,0.31850087231900126,0.750135022335352,,,
feature_049,binary,32429.0,17571.0,4.309249925783908,4.315995916767738,0.006745990983830552,0.3146109320071331,0.7530588901602104,,,
feature_115,binary,47447.0,2553.0,4.31233623657458,4.298320673724319,-0.014015562850260288,-0.30653484812347787,0.759219875472835,,,
feature_007,binary,27629.0,22371.0,4.314315553722418,4.308292238298493,-0.006023315423925091,-0.2920244426265865,0.7702692019715673,,,
feature_080,binary,48980.0,1020.0,4.31206418233066,4.290320045310315,-0.021744137020345278,-0.2919430062035886,0.7703873505776446,,,
feature_120,binary,49080.0,920.0,4.312023309145344,4.2901370477378125,-0.02188626140753147,-0.2867152500253995,0.7743926326850282,,,
feature_098,binary,49512.0,488.0,4.311912652436029,4.281989445408994,-0.02992320702703477,-0.286703148546474,0.7744591948344488,,,
feature_027,binary,49749.0,251.0,4.311420057496192,4.351369148980928,0.03994909148473624,0.2715586075906258,0.7861833575452978,,,
feature_086,binary,35998.0,14002.0,4.3100942831081985,4.315544643154075,0.005450360045876401,0.2394979668201115,0.8107213831064481,,,
feature_023,binary,45052.0,4948.0,4.310852900685801,4.318610593184229,0.00775769249842817,0.22801409786324658,0.819642906442986,,,
feature_122,binary,27609.0,22391.0,4.313725291611275,4.3090254352497235,-0.004699856361551902,-0.2279548230629253,0.8196823342608103,,,
feature_026,multinary(5),,,,,0.041993125316113655,,0.825705390826838,,0.3763186753815746,"[np.float64(4.322796866467909), np.float64(4.306286730088699), np.float64(4.314861684661809), np.float64(4.280803741151796), np.float64(4.288001665720566)]"
feature_039,binary,42340.0,7660.0,4.310826004205471,4.316012673461178,0.005186669255706988,0.18186097535101586,0.8556953074438376,,,
feature_005,binary,27287.0,22713.0,4.313283690551825,4.309622596428681,-0.003661094123144082,-0.17782269205164744,0.8588629693819372,,,
feature_003,continuous,,,,,-0.0007798096619434595,,0.8615775119815993,-0.0007798096619434595,,
feature_056,continuous,,,,,-0.0007249849073275921,,0.8712211828400682,-0.0007249849073275921,,
feature_024,binary,44889.0,5111.0,4.31106852334455,4.3164694095790965,0.005400886234546931,0.160466573488492,0.8725186558849393,,,
feature_031,continuous,,,,,0.000556274791929148,,0.9010114589942974,0.000556274791929148,,
feature_042,continuous,,,,,0.00048766283211802914,,0.9131691740908403,0.00048766283211802914,,
feature_034,binary,41004.0,8996.0,4.3120762944881985,4.309543543528032,-0.0025327509601664744,-0.09548416239048713,0.9239317050549372,,,
feature_085,binary,44988.0,5012.0,4.311544754798322,4.312301410196604,0.000756655398282291,0.02203998795291898,0.9824167708013618,,,
