feature,kind,effect,p,n1,n0,abs_eff
feature_058,binary,0.049510719361856026,0.6483476184927027,511,49489,0.049510719361856026
feature_082,continuous_corr,0.0019789234433970856,0.658134589251956,50000,0,0.0019789234433970856
feature_048,binary,0.009186615182571245,0.660668968389674,20104,29896,0.009186615182571245
feature_035,binary,-0.019225840858952736,0.680349204413334,2513,47487,0.019225840858952736
feature_046,binary,-0.00907576485627537,0.7016242442111295,12628,37372,0.00907576485627537
feature_101,continuous_corr,0.0016936427097977223,0.7049100394806981,50000,0,0.0016936427097977223
feature_110,binary,0.015226462126104678,0.7237014242306877,2973,47027,0.015226462126104678
feature_019,continuous_corr,0.0015253726833565624,0.7330468408389298,50000,0,0.0015253726833565624
feature_104,binary,0.013048505787938147,0.7354241935003043,3890,46110,0.013048505787938147
feature_119,continuous_corr,-0.0014916834813059458,0.738724879397738,50000,0,0.0014916834813059458
feature_100,binary,0.024036618587379266,0.741251555676544,990,49010,0.024036618587379266
feature_093,binary,0.019647519074915465,0.7416787649993222,1520,48480,0.019647519074915465
feature_117,binary,-0.014135218926748294,0.7453697664739175,3032,46968,0.014135218926748294
feature_091,binary,0.01656859747133499,0.750135022335352,2043,47957,0.01656859747133499
feature_049,binary,0.006745990983830552,0.7530588901602104,17571,32429,0.006745990983830552
feature_115,binary,-0.014015562850260288,0.759219875472835,2553,47447,0.014015562850260288
feature_007,binary,-0.006023315423925091,0.7702692019715673,22371,27629,0.006023315423925091
feature_080,binary,-0.021744137020345278,0.7703873505776446,1020,48980,0.021744137020345278
feature_120,binary,-0.02188626140753147,0.7743926326850282,920,49080,0.02188626140753147
feature_098,binary,-0.02992320702703477,0.7744591948344488,488,49512,0.02992320702703477
feature_027,binary,0.03994909148473624,0.7861833575452978,251,49749,0.03994909148473624
feature_086,binary,0.005450360045876401,0.8107213831064481,14002,35998,0.005450360045876401
feature_023,binary,0.00775769249842817,0.819642906442986,4948,45052,0.00775769249842817
feature_122,binary,-0.004699856361551902,0.8196823342608103,22391,27609,0.004699856361551902
feature_026_anova,multicat_anova,0.3763186753815746,0.825705390826838,50000,0,0.3763186753815746
feature_075_slope,multicat_slope,-0.0017269701741906814,0.853029201201881,50000,0,0.0017269701741906814
feature_039,binary,0.005186669255706988,0.8556953074438376,7660,42340,0.005186669255706988
feature_005,binary,-0.003661094123144082,0.8588629693819372,22713,27287,0.003661094123144082
feature_003,continuous_corr,-0.0007798096619434595,0.8615775119815993,50000,0,0.0007798096619434595
feature_056,continuous_corr,-0.0007249849073275921,0.8712211828400682,50000,0,0.0007249849073275921
feature_024,binary,0.005400886234546931,0.8725186558849393,5111,44889,0.005400886234546931
feature_031,continuous_corr,0.000556274791929148,0.9010114589942974,50000,0,0.000556274791929148
feature_042,continuous_corr,0.00048766283211802914,0.9131691740908403,50000,0,0.00048766283211802914
feature_034,binary,-0.0025327509601664744,0.9239317050549372,8996,41004,0.0025327509601664744
feature_085,binary,0.000756655398282291,0.9824167708013618,5012,44988,0.000756655398282291
feature_033_slope,multicat_slope,-0.00020467440972229278,0.9829885291332895,50000,0,0.00020467440972229278
