,coef,se,p
feature_056,-0.01030987313116172,0.012076726268438295,0.3932725229833387
feature_018_1,0.024708290227879688,0.029079464334873052,0.39550204597370797
feature_088,0.02215980039024557,0.02622285071553181,0.3980790823852087
feature_064_6,0.04162478975549592,0.04928455054792588,0.39834488029501736
feature_095,0.020351015849688587,0.024280145114992387,0.4019323049082866
feature_042_4,-0.06114397493304607,0.07332316518387995,0.4043389706148668
feature_026_1,-0.024683824990718542,0.030083413780053872,0.411923855872675
feature_104,0.025602185492135887,0.03142367822880525,0.4152200970692663
feature_121,-0.009808547581358193,0.012107130211070828,0.41785605684618865
feature_004,-0.04053602568396928,0.05081966805686939,0.42507685411966123
feature_083,0.02154926790193786,0.027847644678419735,0.43903292161168705
feature_002,0.01893298731790598,0.025352130933254956,0.4551839160991774
feature_026_2,0.025798546089469607,0.03455547836278919,0.4553150793209281
feature_033_2,-0.025259213786834052,0.03400423406868982,0.4575873061490703
feature_014,-0.00889056960388849,0.012068915581523128,0.4613350721305711
feature_113,-0.05311129659499643,0.0727585364413746,0.465410641693793
feature_030,0.02100543490410483,0.02906839444356798,0.46991270694073084
feature_026_3,-0.0318591697598701,0.044191991771372154,0.4709548515921357
feature_049,-0.03632503670127088,0.05147232245364271,0.4803624101579621
feature_086,-0.01705339020035888,0.024274232905588524,0.4823483564614903
feature_087,-0.021028908980940612,0.03042914270976238,0.48951656835109914
feature_114,0.022197365068252588,0.03336796242770707,0.5059034828134252
feature_123_hispanic,-0.038053755922494506,0.05771952876189525,0.5097112555781427
feature_017,-0.02466089938550927,0.03752777755524429,0.5110926889602252
feature_061,-0.036396973036692676,0.055884713211514885,0.5148614023397773
feature_103,-0.0077657047774654904,0.01210681357989847,0.5212416653758605
feature_047,0.01904479867167306,0.030150509446954733,0.5276106344482996
feature_019,-0.0075063189903407206,0.012060607811918894,0.533689962407133
feature_080,0.043208773875437125,0.06964087563261513,0.5349606876374742
feature_003,-0.007305800162095379,0.012077067899653906,0.5452244371595389
feature_069,-0.015732011539150697,0.026406715348084565,0.5513369150249072
feature_048,-0.007101618342891491,0.012073711418971391,0.5564057680578293
feature_036,-0.03355939151176653,0.057236086351966066,0.557651931624372
feature_023,-0.007038129330690553,0.012119619364612233,0.5614278467235536
feature_055,0.006927809680465306,0.012037055844990307,0.5649260025910521
feature_052,-0.09628274355507828,0.17385806900868706,0.5797151577076682
feature_123_other,0.049418808833583794,0.09522458519465041,0.6037808866213369
feature_058,0.043360822595212116,0.08466146522991624,0.6085340214187049
feature_008,0.07981061948489612,0.15701021626638215,0.6112325799446354
feature_091,-0.014514461042424716,0.03133218413976972,0.6431891438294312
feature_042_2,-0.016476733850813084,0.03591487699335609,0.6463980257577678
feature_042_3,-0.021729410349274097,0.04928982594209917,0.6593217315305149
feature_064_3,-0.019270211768759104,0.044061684845218343,0.6618602727859161
feature_098,0.02934877270804301,0.06997698476719273,0.6749193831087239
feature_057_former,0.011656414512466448,0.02863531273530065,0.6839607377517686
feature_077,0.004800356678204422,0.012075080623289328,0.6909675173749315
feature_045_1,0.011542409408825541,0.029050797167227967,0.6911328541080312
feature_101,-0.004842398327395319,0.012209559233624602,0.691657189011774
feature_050,-0.049360781046956896,0.12657746192539698,0.6965624215741805
feature_025,0.009830433685865047,0.02632487918492621,0.708830299168911
feature_110,0.008838833724290618,0.024596419515923618,0.7193299177211843
feature_073,0.009405329259244359,0.026321302758215794,0.7208465328083408
feature_057_never,0.016169843487527164,0.04657906297908603,0.7284798934677197
feature_060,-0.043312544023136605,0.1250269281686575,0.7290227961405495
feature_035,-0.01258285261135662,0.03672848568514462,0.7319060923675242
feature_029,-0.008051993661116566,0.025257938422034523,0.7498852972821124
feature_042_1,-0.008995677334802554,0.02846330873795851,0.7519685942154705
feature_034,0.012055428601230553,0.04006585635914469,0.7634981270449772
feature_118,0.0034908501740912065,0.012075019249381341,0.7725072548531435
feature_102,-0.0074382238847884,0.02634152925509767,0.7776549764883343
feature_106,0.0081084293725478,0.02904552977565168,0.7801199445639473
feature_109,-0.01143934608567786,0.04116961432185564,0.7811206314220678
feature_089,0.006703618859679667,0.024626057719596566,0.7854555674783072
feature_064_4,-0.012634601699982081,0.04730577987790198,0.7894047340124312
feature_064_8,0.01749957358951607,0.06566364337906554,0.7898516658713877
feature_041,0.016117508971264006,0.06162911552879969,0.793688241809895
feature_018_2,-0.00819763221881238,0.03433602793066255,0.811301576367841
feature_078,0.0028474209475337527,0.012169975324288951,0.8150075147624628
feature_024,0.005896233350472187,0.025297163157884422,0.8157001885506707
feature_097,-0.0027743959734433943,0.012089976354287301,0.8184966221228546
feature_090,-0.002385294586596281,0.012227371371477367,0.8453316652846945
feature_105,-0.004520831684736416,0.024828348026384905,0.855517223384171
feature_084,0.002142532831966126,0.012073665294835705,0.8591509727593458
feature_107,-0.006054800544409792,0.03414477224015238,0.8592513019847794
feature_094,0.0019067482420986872,0.012086979026986489,0.8746520195406879
feature_119,-0.0018661344137876562,0.012101241526293239,0.8774440300741388
feature_040,0.004605524772526972,0.03373995313468229,0.8914255285715765
feature_064_2,0.005825243642091798,0.04295745075003448,0.8921335795370604
feature_072,-0.0111882051735395,0.08891566761737939,0.8998669683027534
feature_033_1,-0.003786058668883351,0.03138857527804629,0.9039928161881938
feature_037,0.0026458090660024074,0.024274870265258375,0.9132074500295051
feature_065,0.001296779641222165,0.012082949772169664,0.9145326582756055
feature_115,0.002375190597754617,0.024285190216001902,0.9220878704561997
feature_001,-0.0033787121864925725,0.03727534522314742,0.9277770507497937
feature_064_9,0.006688344595001456,0.08125300333257171,0.934396191141697
feature_018_3,0.0031808862435181735,0.04681522962736855,0.9458289836453707
feature_082,0.000718583439103978,0.012077596502647586,0.9525560781640654
feature_123_black,0.0034851765694199283,0.05936184996591606,0.9531825258770803
feature_064_1,0.0020106260637611346,0.0421130795336703,0.9619206608739947
feature_064_7,-0.0012724343540573518,0.05654232163963408,0.9820458373596055
feature_122,0.0005745249112218132,0.03224020798438773,0.9857823406033369
