feature,kind,n_levels,p,effect,detail
feature_026,cat/ord,5,0.10259253071468667,0.02175500525450677,"{0: 0.1703197265232254, 1: 0.1675237115758199, 2: 0.17477567298105684, 3: 0.16610371547784622, 4: 0.15302066772655007}"
feature_100,cat/ord,2,0.11574326628411497,0.019385469332172556,"{0: 0.16855422916028975, 1: 0.1879396984924623}"
feature_117,cat/ord,2,0.17374300997982106,0.008400223025381542,"{0: 0.16963604247988312, 1: 0.16123581945450158}"
feature_038,cat/ord,2,0.17923590925972227,0.0049612500146419825,"{0: 0.17042599360438557, 1: 0.16546474358974358}"
feature_032,cat/ord,2,0.1825817697633948,0.005631890454357469,"{0: 0.16780607517591967, 1: 0.17343796563027714}"
feature_070,cont,16634,0.18387690950490782,0.7825196339829716,m1=105 m0=104
feature_045,cat/ord,5,0.19487124066085856,0.018375105373127476,"{0: 0.16614950634696757, 1: 0.16833421098823942, 2: 0.17390830883153655, 3: 0.17731550272412086, 4: 0.15894039735099338}"
feature_033,cat/ord,5,0.2071236038013357,0.012512582410638823,"{0: 0.17137446741360265, 1: 0.17125893474752132, 2: 0.1688510090857924, 3: 0.15886188500296383, 4: 0.16129032258064516}"
feature_010,cont,44,0.20948742512242366,0.008985188473521255,m1=1.81 m0=1.8
feature_028,cont,268,0.21141924821573577,-0.0047028109042304145,m1=0.667 m0=0.671
feature_085,cat/ord,2,0.21746234658697272,0.006426329933858194,"{0: 0.1681611288120164, 1: 0.17458745874587459}"
feature_005,cat/ord,4,0.23151897695571896,0.010713639830228633,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_093,cat/ord,2,0.2682219928886605,0.0037537387521068277,"{0: 0.17074014295596035, 1: 0.16698640420385352}"
feature_057,cat/ord,3,0.26858137121818315,0.008469719502900958,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_059,cont,165,0.2715705764716944,0.033036989640780945,m1=7.53 m0=7.49
feature_081,cat/ord,2,0.2740012380258302,0.009708317584347564,"{0: 0.16932076021565812, 1: 0.15961244263131055}"
feature_046,cat/ord,2,0.27861548698102373,0.008397079656779438,"{0: 0.16850519921537196, 1: 0.1769022788721514}"
feature_020,cont,3662,0.2928388544326058,0.11853261334899567,m1=5.89 m0=5.77
feature_104,cat/ord,2,0.3018338227376992,0.004600189757409029,"{0: 0.16812503038257742, 1: 0.17272522013998645}"
feature_071,cat/ord,2,0.30440613738862127,0.005400212516429526,"{0: 0.16829456660003633, 1: 0.17369477911646586}"
feature_096,cont,1161,0.3108502340521285,-0.02057314506216401,m1=1.97 m0=1.99
feature_054,cont,98,0.3333174951772406,0.0019382621262569177,m1=1.06 m0=1.06
feature_111,cat/ord,2,0.3389751042562632,0.00455408801489024,"{0: 0.16825269703679277, 1: 0.172806785051683}"
feature_062,cont,299,0.35037600731669627,0.0557062984977037,m1=26 m0=26
feature_016,cat/ord,2,0.3583405793126079,0.0032734742082914936,"{0: 0.16779801578769543, 1: 0.17107148999598693}"
feature_012,cat/ord,2,0.36199179382836344,0.003138188695638283,"{0: 0.17025151181968115, 1: 0.16711332312404287}"
feature_015,cat/ord,2,0.3761205445812471,0.0033542404910958112,"{0: 0.1698778456413104, 1: 0.16652360515021458}"
feature_027,cat/ord,2,0.37857380495364534,0.00422226926890884,"{0: 0.1695692025664528, 1: 0.16534693329754396}"
feature_066,cont,1383,0.37996696188481827,-0.02165869564267897,m1=3.48 m0=3.5
feature_075,cat/ord,2,0.38468538116615936,0.004193442910575718,"{0: 0.16832356389214537, 1: 0.17251700680272108}"
feature_109,cat/ord,2,0.3854536658750173,0.004407878755578104,"{0: 0.16951452291700206, 1: 0.16510664416142395}"
feature_068,cat/ord,2,0.3911682553313359,0.004876110242394482,"{0: 0.16943307226771093, 1: 0.16455696202531644}"
feature_121,cont,11689,0.39213050289333434,-0.2789616548479614,m1=108 m0=108
feature_116,cat/ord,2,0.39929412373266593,0.015401796948049024,"{0: 0.16909032153821296, 1: 0.15368852459016394}"
feature_048,cont,17,0.40010813502951265,-0.029800934216209995,m1=13 m0=13
feature_120,cat/ord,2,0.41627353404434064,0.006595197550285314,"{0: 0.16862382622943933, 1: 0.17521902377972465}"
feature_017,cat/ord,2,0.4307368786095056,0.004166364691141261,"{0: 0.16943763059870992, 1: 0.16527126590756866}"
feature_056,cont,25,0.4309292734480749,-0.028429827434649724,m1=140 m0=140
feature_049,cat/ord,2,0.44134085513059573,0.005609929078014192,"{0: 0.16927659574468085, 1: 0.16366666666666665}"
feature_080,cat/ord,2,0.4449539745793255,0.007844457983769343,"{0: 0.16870450937132725, 1: 0.1765489673550966}"
feature_079,cat/ord,2,0.45354710067712867,0.0039503651558500386,"{0: 0.16846342794759825, 1: 0.1724137931034483}"
feature_030,cat/ord,2,0.4645280072229979,0.003018881432956949,"{0: 0.168276993259694, 1: 0.17129587469265095}"
feature_036,cat/ord,2,0.4814059653319218,0.0056639233368449005,"{0: 0.16921911814203972, 1: 0.16355519480519481}"
feature_009,cat/ord,2,0.48159454003626045,0.007210401571839387,"{0: 0.16915905199975248, 1: 0.1619486504279131}"
feature_088,cat/ord,2,0.48495291638085747,0.0025937694415685553,"{0: 0.1681540359838159, 1: 0.17074780542538445}"
feature_087,cat/ord,2,0.49682498009814713,0.002919188636868769,"{0: 0.1695185831878274, 1: 0.16659939455095862}"
feature_052,cat/ord,2,0.4995155734701594,0.017517340040261065,"{0: 0.16903249155541258, 1: 0.15151515151515152}"
feature_055,cont,23533,0.5047517092228128,0.642857665440232,m1=224 m0=224
feature_108,cat/ord,2,0.505639033253345,0.008576050200406665,"{0: 0.16910774754191996, 1: 0.1605316973415133}"
feature_113,cat/ord,2,0.5091188462561029,0.006906789723086115,"{0: 0.16914264521047534, 1: 0.16223585548738922}"
feature_095,cat/ord,2,0.5112445776723168,0.002253821191707056,"{0: 0.16792952180691006, 1: 0.17018334299861712}"
feature_103,cont,39,0.5439961295375011,-0.0035941840509368106,m1=4.2 m0=4.2
feature_002,cat/ord,2,0.5448990416756159,0.0021764018520841477,"{0: 0.1681862685105862, 1: 0.17036267036267036}"
feature_003,cont,114,0.5460475473617904,-0.012908377354001743,m1=4.48 m0=4.49
feature_019,cont,467,0.566120746200909,-0.4770058743693255,m1=249 m0=250
feature_069,cat/ord,2,0.5701499697054165,0.0021232132294339012,"{0: 0.16957777078985736, 1: 0.16745455756042346}"
feature_083,cat/ord,2,0.5778622377591959,0.0022092543611870463,"{0: 0.16838936544301775, 1: 0.1705986198042048}"
feature_022,cat/ord,2,0.5925183355797236,0.0030782442642112995,"{0: 0.16925268805235857, 1: 0.16617444378814727}"
feature_014,cont,119,0.6020457350592788,-0.011169201438988807,m1=12.5 m0=12.5
feature_061,cat/ord,2,0.6085706665125763,0.004145527503972318,"{0: 0.16914752510684886, 1: 0.16500199760287654}"
feature_041,cat/ord,2,0.6137648634527899,0.004622211222037542,"{0: 0.16875871687587168, 1: 0.17338092809790923}"
feature_004,cat/ord,2,0.6262050248958319,0.0035849089544160995,"{0: 0.16915867944621937, 1: 0.16557377049180327}"
feature_018,cat/ord,5,0.6364196460541915,0.012784435359930901,"{0: 0.16844060648659503, 1: 0.17194359451909005, 2: 0.16725585505965532, 3: 0.16883441720860431, 4: 0.15915915915915915}"
feature_107,cat/ord,2,0.6381433360372275,0.0022983511143095936,"{0: 0.1692802478989624, 1: 0.1669818967846528}"
feature_090,cont,1857,0.6457542991034194,-0.017928916476951606,m1=2.22 m0=2.23
feature_118,cont,34,0.6657902671132521,0.025864606236675414,m1=15 m0=15
feature_078,cont,586,0.6689384391708386,0.050905066345464434,m1=65 m0=65
feature_091,cat/ord,2,0.669996133534826,0.001913462011447653,"{0: 0.16929027835581562, 1: 0.16737681634436796}"
feature_110,cat/ord,2,0.6810720333253273,0.0014450043520657097,"{0: 0.1683560448412432, 1: 0.1698010491933089}"
feature_047,cat/ord,2,0.6873269315164132,0.001749976715049284,"{0: 0.16859070464767617, 1: 0.17034068136272545}"
feature_058,cat/ord,2,0.7025285003644036,0.005032801833543127,"{0: 0.16883753215466907, 1: 0.1738703339882122}"
feature_114,cat/ord,2,0.7081006399810921,0.0018147444872446683,"{0: 0.16866045675918484, 1: 0.1704752012464295}"
feature_098,cat/ord,2,0.7153024625785731,0.003911494578607622,"{0: 0.16882179463383448, 1: 0.1727332892124421}"
feature_086,cat/ord,2,0.7182324873400854,0.0012558107735268775,"{0: 0.1696309470875945, 1: 0.1683751363140676}"
feature_073,cat/ord,2,0.7237821412233081,0.0013399500958892752,"{0: 0.16853804177023513, 1: 0.1698779918661244}"
feature_097,cont,84,0.7271786155397263,-0.049860271217184504,m1=77.9 m0=78
feature_094,cont,43,0.7288973085879201,0.002069329753327409,m1=9.4 m0=9.4
feature_008,cat/ord,2,0.7297079195205769,0.009435650241057192,"{0: 0.16888602808062114, 1: 0.17832167832167833}"
feature_060,cat/ord,2,0.7360463585133659,0.006788460467375246,"{0: 0.16900611960495224, 1: 0.162217659137577}"
feature_101,cont,9070,0.7442732608751521,-0.12563450129006526,m1=26.1 m0=26.2
feature_106,cat/ord,2,0.7556331995642853,0.0013139633125864025,"{0: 0.16864900968479463, 1: 0.16996297299738103}"
feature_023,cont,8533,0.7568519529358224,-0.08821074043655486,m1=27.3 m0=27.4
feature_077,cont,13,0.7888182818377961,0.0063271579653161325,m1=96 m0=96
feature_064,cat/ord,11,0.8236615301702221,0.021811317101505412,"{0: 0.1697695481533662, 1: 0.16897784131522517, 2: 0.1700199662110275, 3: 0.16738056013179572, 4: 0.16704196519959058, 5: 0.15901060070671377, 6: 0.17613089509143406, 7: 0.17024174327545114, 8: 0.17130089374379345, 9: 0.16976556184316896, 10: 0.18082191780821918}"
feature_029,cat/ord,2,0.8248425210673297,0.0008186070686070912,"{0: 0.16923076923076924, 1: 0.16841216216216215}"
feature_072,cat/ord,2,0.8272717643410803,0.003208927103370951,"{0: 0.16900116215059025, 1: 0.1657922350472193}"
feature_024,cat/ord,2,0.8293846934286073,0.0008005366077850073,"{0: 0.1686591077150604, 1: 0.1694596443228454}"
feature_089,cat/ord,2,0.8307989754418225,0.0007718021052129653,"{0: 0.16862955032119914, 1: 0.1694013524264121}"
feature_105,cat/ord,2,0.8382368746910955,0.0007450561521158139,"{0: 0.16922726385000977, 1: 0.16848220769789396}"
feature_065,cont,179,0.8436819666412602,0.0006983315193207495,m1=1 m0=1
feature_050,cat/ord,2,0.8462984250159804,0.004451753886462767,"{0: 0.1689816684163773, 1: 0.16452991452991453}"
feature_122,cat/ord,2,0.8641731103976235,0.0008374936616750428,"{0: 0.16879899956712038, 1: 0.16963649322879543}"
feature_115,cat/ord,2,0.883597218391233,0.0005336068913846248,"{0: 0.1691798989862287, 1: 0.16864629209484408}"
feature_040,cat/ord,2,0.8926646301145917,0.0007102783234595456,"{0: 0.16883300367335405, 1: 0.1695432819968136}"
feature_034,cat/ord,2,0.8933785264735903,0.0008565037824097843,"{0: 0.1688536986788844, 1: 0.16971020246129417}"
feature_119,cont,800,0.895931093300622,-0.001757061420296857,m1=1.91 m0=1.91
feature_025,cat/ord,2,0.904418325981762,0.00048619366334815006,"{0: 0.16879363625958568, 1: 0.16927982992293383}"
feature_037,cat/ord,2,0.9059320931605461,0.00043850316048713034,"{0: 0.1687429629898667, 1: 0.16918146615035384}"
feature_042,cat/ord,5,0.9122092031042313,0.0078087914941328,"{0: 0.17011596788581623, 1: 0.16924926529521775, 2: 0.16699462154007608, 3: 0.1671436748712078, 4: 0.16230717639168343}"
feature_082,cont,78,0.9274888031912217,-0.010834788034557619,m1=80 m0=80
feature_035,cat/ord,2,0.951751827390736,0.0003941139507585567,"{0: 0.16888980564723138, 1: 0.16928391959798994}"
feature_102,cat/ord,2,0.9785464381083495,0.00014579045076884567,"{0: 0.16898386543082733, 1: 0.16883807498005848}"
feature_001,cat/ord,2,0.9834050009733002,0.00020266424874731959,"{0: 0.1689641859514455, 1: 0.16876152170269818}"
feature_084,cont,5796,0.9916977113723188,0.0015278846836004334,m1=25.8 m0=25.8
