feature,type,effect,p,nuniq
feature_084,pearson,-0.0060071351629550525,0.1792024326497842,800
feature_113,binary,-0.02888338960907788,0.19766022539346695,2
feature_037,binary,-0.028200736361404743,0.21791767426700323,2
feature_074,binary,0.03478206421630681,0.23131222065219584,2
feature_041,binary,0.028440671523067174,0.24240728408037782,2
feature_073,cat,0.08765884376398869,0.2704053990362866,5
feature_082,binary,-0.033770199589452154,0.27844207744148813,2
feature_106,binary,-0.03379865561024964,0.28256820364430296,2
feature_020,binary,-0.023518979779018068,0.29208775224471895,2
feature_093,binary,-0.08535340154520821,0.29223895022200247,2
feature_002,pearson,0.004646831799072226,0.29878482653818195,84
feature_070,binary,-0.029755819093031377,0.3015565940598723,2
feature_035,pearson,-0.0045953046499004994,0.3041751583384692,119
feature_068,binary,-0.02320111686456272,0.31078186628499643,2
feature_047,binary,0.08276742922682523,0.32128374339247445,2
feature_072,binary,-0.03627090151944312,0.3297750438787722,2
feature_107,binary,0.03353958373451604,0.33185210514317987,2
feature_122,pearson,-0.004324418994804234,0.3335691146844799,44
feature_030,binary,0.02676007092466648,0.3426057799456112,2
feature_109,binary,-0.07377902177287332,0.3467727657684929,2
feature_087,pearson,0.004152170780282646,0.3531822803101596,13
feature_114,binary,-0.09920504081764303,0.36321856506098876,2
feature_096,pearson,-0.00395983902783006,0.3759256966231398,179
feature_081,binary,-0.04515048563858137,0.3766636786938219,2
feature_119,binary,0.042153146734337454,0.3767152607560163,2
feature_102,binary,0.0603076717981903,0.3820847012286157,2
feature_108,pearson,0.0038636427684756777,0.3876327113114527,111
feature_025,pearson,-0.0038632985465174453,0.3876749979480538,17
feature_029,binary,-0.02458229150975111,0.41257923749979053,2
feature_051,binary,0.022000293964675066,0.41267341825206044,2
feature_062,pearson,-0.0035742091439628096,0.42417443284854284,5796
feature_088,pearson,0.0035348810390161264,0.42929061879508323,78
feature_038,binary,-0.038750307851064036,0.43901143296154593,2
feature_104,binary,0.03670054456641392,0.44950138845728727,2
feature_115,binary,0.026284510293609564,0.45205460747098136,2
feature_043,pearson,-0.0032995233633787975,0.4606485034642748,3686
feature_118,binary,-0.11429308417690365,0.4622286231406112,2
feature_095,binary,-0.030194846098948958,0.46470764038176227,2
feature_004,binary,0.016092199315036915,0.4716984558891367,2
feature_064,pearson,-0.003169261572609202,0.4785401519459197,8548
feature_061,binary,-0.035832227991421384,0.4870362739821796,2
feature_011,anova,0.0824709411083564,0.49394376252086514,5
feature_112,binary,-0.017259083584002077,0.5204920505836551,2
feature_117,binary,-0.018198557152909522,0.5305661029868318,2
feature_032,pearson,0.0027593916702576345,0.5372317681288502,1348
feature_069,binary,0.01825801916895209,0.5547229773973323,2
feature_121,pearson,-0.0026322708935424327,0.5561430738074316,5741
feature_103,pearson,0.0026206446661713972,0.557888741373337,467
feature_085,binary,-0.022120353689437877,0.5599033245732522,2
feature_014,binary,-0.013022594246169916,0.5615693322608619,2
feature_024,cat,0.06394594729707848,0.5919599301017197,5
feature_003,pearson,0.0023858494640448284,0.5937016424964427,11689
feature_120,binary,-0.012684122553275223,0.6102061601747433,2
feature_023,binary,-0.012870928238659651,0.6186388265020184,2
feature_013,pearson,-0.00215410906993984,0.6300461117275608,1156
feature_091,binary,-0.010839836479916265,0.633996018832659,2
feature_127,cat,0.048037900128961475,0.6382370172507521,5
feature_010,binary,0.01596745158073709,0.6424113491796318,2
feature_007,pearson,-0.0019348505555050097,0.6652797217254306,25
feature_123,binary,0.01560903438588479,0.6706289215238123,2
feature_083,binary,-0.028029605076726583,0.6723279611850321,2
feature_021,cat,0.06563420206029758,0.7051296188904601,5
feature_071,binary,0.0207012719069386,0.7168492385811199,2
feature_016,pearson,-0.001602072412025612,0.7201745238638361,11
feature_017,binary,-0.02449963094093377,0.7242284474252536,2
feature_076,binary,0.0067979193401903615,0.7618756892720591,2
feature_092,pearson,-0.0013173302583201973,0.7683324945457197,114
feature_058,binary,0.03226764875201393,0.769325409621552,2
feature_050,binary,-0.006606731524214204,0.7786276915201159,2
feature_100,binary,-0.01129791134090663,0.7808826652745583,2
feature_125,pearson,-0.0011338879083479013,0.7998518923469274,34
feature_089,anova,0.04788225740431962,0.8178943535107774,4
feature_045,binary,-0.013401573364007824,0.8191747955453612,2
feature_027,pearson,0.0010082754294985046,0.8216279263785571,3662
feature_001,cat,0.03593028303628376,0.8246456287303765,5
feature_097,binary,-0.004809119563671693,0.8300293162031444,2
feature_049,binary,-0.007302930285099762,0.8461423978581862,2
feature_116,binary,-0.0063371868153359046,0.8632559462661172,2
feature_018,binary,0.005853281487019579,0.8657894917533671,2
feature_110,binary,0.014100291685401167,0.9026397664133282,2
feature_028,binary,-0.0024620145134486293,0.9127339112228423,2
feature_054,binary,0.004386917250246647,0.913921512666475,2
feature_099,pearson,-0.0004372016827425677,0.9221238005404788,98
feature_060,pearson,0.0003883799814269331,0.9307969148686394,165
feature_012,binary,0.002592873669199136,0.9349122640241889,2
feature_022,binary,0.0018161650451862243,0.9355394405486879,2
feature_033,pearson,0.00036020328191402475,0.9358062799157993,165
feature_026,binary,0.0009479504245595294,0.9668874488755784,2
feature_098,binary,-0.0007707083039054652,0.980325090508796,2
feature_124,binary,-0.0004142423206392465,0.9853564053811756,2
